2018-2019,Crotone
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Alex Cordaz,it ITA,GK,32,32,0,0,"2,879",32.0,2,1,/en/players/e66ebabb/Alex-Cordaz,66ebabb,Alex-Cordaz
Mario Sampirisi,it ITA,"DF,MF",33,31,1,0,"2,794",31.0,4,1,/en/players/cda2ec29/Mario-Sampirisi,cda2ec29,Mario-Sampirisi
Andrea Barberis,it ITA,MF,30,29,1,2,"2,543",28.3,4,0,/en/players/32ebfe1e/Andrea-Barberis,32ebfe1e,Andrea-Barberi
Sauli Väisänen,fi FIN,DF,26,26,0,0,"2,193",24.4,7,0,/en/players/23214a49/Sauli-Vaisanen,23214a49,Sauli-Vai
Marco Firenze,it ITA,"MF,FW",29,24,4,4,"2,204",24.5,3,0,/en/players/5cac421a/Marco-Firenze,5cac421a,Marco-Firenz
Marcus Rohdén,se SWE,MF,29,23,2,3,"2,006",22.3,3,1,/en/players/b5b27493/Marcus-Rohden,b5b27493,Marcus-Rohd
Simeon Nwankwo,ng NGA,FW,33,22,3,14,"2,050",22.8,1,0,/en/players/80dbbd10/Simeon-Nwankwo,80dbbd10,Simeon-Nwankwo
Ahmad Benali,ly LBY,MF,23,21,2,5,"1,842",20.5,8,1,/en/players/a128b07e/Ahmad-Benali,128b07e,Ahmad-Benali
Salvatore Molina,it ITA,MF,29,18,2,1,"1,666",18.5,4,0,/en/players/54ab971f/Salvatore-Molina,54ab971f,Salvatore-Moli
Vladimir Golemić,si SVN,DF,18,17,0,0,"1,456",16.2,8,3,/en/players/1db295e5/Vladimir-Golemic,1db295e5,Vladimir-Golemic
Riccardo Marchizza,it ITA,DF,17,15,0,0,"1,402",15.6,1,0,/en/players/91d0fabf/Riccardo-Marchizza,91d0fabf,Riccardo-Marchizz
Niccolò Zanellato,it ITA,MF,18,15,1,2,"1,249",13.9,4,0,/en/players/741e058f/Niccolo-Zanellato,741e058f,Niccolo-Zanellato
Bruno Martella,it ITA,"MF,DF",15,14,4,0,"1,136",12.6,1,1,/en/players/1e12c53b/Bruno-Martella,1e12c53b,Bruno-Mart
Marcos Curado,ar ARG,DF,16,13,0,0,"1,234",13.7,3,0,/en/players/40598c33/Marcos-Curado,40598c33,Marcos-Curado
Ante Budimir,hr CRO,FW,17,13,2,3,"1,121",12.5,1,0,/en/players/8f3565b3/Ante-Budimir,8f3565b3,Ante-Budimi
Davide Faraoni,it ITA,"MF,DF",15,13,0,1,"1,118",12.4,5,0,/en/players/aae9d04a/Davide-Faraoni,9d04a,Davide-Faraoni
Nicolás Spolli,ar ARG,DF,12,12,0,0,"1,025",11.4,1,0,/en/players/9a560ebe/Nicolas-Spolli,9a560ebe,Nicolas-Spolli
Adrian Stoian,ro ROU,"FW,MF",17,9,0,0,866,9.6,2,0,/en/players/4468b31a/Adrian-Stoian,4468b31a,Adrian-Stoi
Stefano Pettinari,it ITA,FW,11,9,0,2,691,7.7,2,0,/en/players/23f49f0e/Stefano-Pettinari,23f49f0e,Stefano-Pettinari
Andrea Nalini,it ITA,"FW,MF",13,8,2,1,718,8.0,1,0,/en/players/65c75ea8/Andrea-Nalini,65c75ea8,Andrea-Nalini
Zinédine Machach,fr FRA,FW,15,7,0,0,619,6.9,0,1,/en/players/31377e38/Zinedine-Machach,31377e38,Zinedine-Machach
Giuseppe Cuomo,it ITA,DF,6,5,0,0,466,5.2,0,0,/en/players/ae5b04fe/Giuseppe-Cuomo,5b04fe,Giuseppe-Cuomo
Hrvoje Milić,hr CRO,"MF,DF",9,5,0,0,457,5.1,2,0,/en/players/1b625237/Hrvoje-Milic,1b625237,Hrvoje-Milic
Marco Festa,it ITA,GK,4,4,0,0,360,4.0,0,0,/en/players/c195ae4a/Marco-Festa,c195ae4a,Marco-Fest
Federico Valietti,it ITA,"MF,DF",5,3,1,0,303,3.4,1,0,/en/players/97e52135/Federico-Valietti,97e52135,Federico-Valietti
Claudio Spinelli,ar ARG,FW,6,2,0,1,179,2.0,1,0,/en/players/578606a7/Claudio-Spinelli,578606a7,Claudio-Spinelli
Alessandro Tripaldelli,it ITA,MF,3,2,0,0,146,1.6,0,0,/en/players/4571fa88/Alessandro-Tripaldelli,4571fa88,Alessandro-Tripaldelli
Samuel Mráz,sk SVK,FW,5,1,0,1,205,2.3,0,0,/en/players/be6c1ccc/Samuel-Mraz,be6c1ccc,Samuel-Mraz
Augustus Kargbo,sl SLE,FW,5,1,0,0,137,1.5,1,0,/en/players/0c8f27b5/Augustus-Kargbo,0c8f27b5,Augustus-Kargbo
Tomislav Gomelt,hr CRO,MF,3,1,0,0,105,1.2,0,0,/en/players/a5055b1b/Tomislav-Gomelt,5055b1b,Tomislav-Gomelt
Aristóteles Romero,ve VEN,MF,2,1,0,0,59,0.7,1,1,/en/players/9f069180/Aristoteles-Romero,9f069180,Aristoteles-Romero
Giovanni Crociata,it ITA,MF,5,0,0,0,86,1.0,0,0,/en/players/8c964914/Giovanni-Crociata,8c964914,Giovanni-Crociat
Giacomo Figliuzzi,it ITA,GK,0,0,,,,,,,/en/players/cb840680/Giacomo-Figliuzzi,cb840680,Giacomo-Figliuzzi
Francesco Latella,it ITA,GK,0,0,,,,,,,/en/players/e8378f6b/Francesco-Latella,8378f6b,Francesco-Lat
Gianni Liviera,it ITA,MF,0,0,,,,,,,/en/players/5d305b14/Gianni-Liviera,5d305b14,Gianni-Livi
Nicola Nanni,sm SMR,FW,0,0,,,,,,,/en/players/f495bea6/Nicola-Nanni,f495bea6,Nicola-Nanni
