2017-2018,Crystal-Palace
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Andros Townsend,eng ENG,"FW,MF",36,35,7,2,"3,120",34.7,3,0,/en/players/b28bbd58/Andros-Townsend,b28bbd58,Andros-Townsend
Luka Milivojević,rs SRB,MF,36,35,1,10,"3,080",34.2,8,0,/en/players/2ce2508a/Luka-Milivojevic,2ce2508a,Luka-Milivojevic
Wilfried Zaha,ci CIV,"FW,MF",29,28,3,9,"2,549",28.3,5,0,/en/players/b2bc3b1f/Wilfried-Zaha,b2bc3b1f,Wilfried-Zah
Yohan Cabaye,fr FRA,MF,31,28,1,0,"2,376",26.4,7,0,/en/players/ad7b19ef/Yohan-Cabaye,d7b19ef,Yohan-Cab
James McArthur,sct SCO,MF,33,27,1,5,"2,431",27.0,5,0,/en/players/cee31595/James-McArthur,cee31595,James-McArthu
Wayne Hennessey,wls WAL,GK,27,27,0,0,"2,430",27.0,1,0,/en/players/76eca7e2/Wayne-Hennessey,76eca7e2,Wayne-H
James Tomkins,eng ENG,DF,28,27,0,3,"2,387",26.5,8,0,/en/players/e7ca0439/James-Tomkins,7ca0439,James-Tomki
Patrick van Aanholt,nl NED,DF,28,25,1,5,"2,184",24.3,7,0,/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Patrick-van-Aanholt
Christian Benteke,be BEL,FW,31,24,5,3,"2,240",24.9,6,0,/en/players/ab070c55/Christian-Benteke,b070c55,Christian-Bentek
Ruben Loftus-Cheek,eng ENG,MF,24,21,3,2,"1,874",20.8,1,0,/en/players/e97fd090/Ruben-Loftus-Cheek,97fd090,Ruben-Loftus-Cheek
Jeffrey Schlupp,gh GHA,"DF,MF",24,21,1,0,"1,745",19.4,3,0,/en/players/3312f911/Jeffrey-Schlupp,3312f911,Jeffrey-Schlu
Joel Ward,eng ENG,DF,19,19,1,0,"1,613",17.9,4,0,/en/players/8a7ff278/Joel-Ward,8a7ff278,Joel-Ward
Mamadou Sakho,fr FRA,DF,19,18,2,1,"1,600",17.8,1,0,/en/players/87935cf3/Mamadou-Sakho,87935cf3,Mamadou-Sakho
Timothy Fosu-Mensah,nl NED,DF,21,17,0,0,"1,596",17.7,2,0,/en/players/a9142dc3/Timothy-Fosu-Mensah,9142dc3,Timothy-Fosu-Mensah
Scott Dann,eng ENG,DF,17,16,0,1,"1,435",15.9,4,0,/en/players/52105203/Scott-Dann,52105203,Scott-D
Martin Kelly,eng ENG,DF,15,12,0,0,"1,195",13.3,1,0,/en/players/d7492450/Martin-Kelly,d7492450,Martin-K
Julián Speroni,ar ARG,GK,11,11,0,0,990,11.0,0,0,/en/players/8e65a5e5/Julian-Speroni,8e65a5e5,Julian-Speroni
Aaron Wan-Bissaka,eng ENG,DF,7,7,0,0,627,7.0,1,0,/en/players/9e525177/Aaron-Wan-Bissaka,9e525177,Aaron-Wan-Bissak
Jason Puncheon,eng ENG,MF,10,6,0,0,645,7.2,5,0,/en/players/fd3f57ce/Jason-Puncheon,fd3f57ce,Jason-Puncheo
Bakary Sako,ml MLI,"FW,MF",16,4,0,3,478,5.3,0,0,/en/players/381d7d54/Bakary-Sako,381d7d54,Bakary-Sako
Jaïro Riedewald,nl NED,"MF,DF",12,4,0,0,442,4.9,0,0,/en/players/7a1f2c08/Jairo-Riedewald,7a1f2c08,Jairo-Riedewald
Alexander Sørloth,no NOR,FW,4,4,0,0,360,4.0,0,0,/en/players/e92cd3f7/Alexander-Sorloth,92cd3f7,Alexander-Sorloth
Lee Chung-yong,kr KOR,"FW,MF",7,1,0,0,135,1.5,0,0,/en/players/49b05a83/Lee-Chung-yong,49b05a83,Lee-Chung-yong
Damien Delaney,ie IRL,DF,2,1,0,0,96,1.1,0,0,/en/players/210d9ecb/Damien-Delaney,210d9ecb,Damien-D
Levi Lumeka,eng ENG,FW,1,0,0,0,26,0.3,0,0,/en/players/199ff86e/Levi-Lumeka,199ff86e,Levi-Lumek
Freddie Ladapo,eng ENG,FW,1,0,0,0,17,0.2,0,0,/en/players/da2b8db3/Freddie-Ladapo,da2b8db3,Freddie-Ladapo
Sullay Kaikai,sl SLE,MF,1,0,0,0,14,0.2,0,0,/en/players/fc166e49/Sullay-Kaikai,fc166e49,Sullay-Kaikai
Pape Souaré,sn SEN,DF,1,0,0,0,9,0.1,0,0,/en/players/46b5375e/Pape-Souare,46b5375e,Pape-Sou
