2018-2019,Derby-County
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Richard Keogh,ie IRL,DF,46,46,1,3,"4,121",45.8,5,0,/en/players/d07b5d5a/Richard-Keogh,d07b5d5a,Richard-Keogh
Fikayo Tomori,eng ENG,DF,44,43,1,1,"3,791",42.1,6,0,/en/players/7edfbb8a/Fikayo-Tomori,7edfbb8a,Fikayo-Tomori
Jayden Bogle,eng ENG,DF,40,39,7,2,"3,485",38.7,7,0,/en/players/ae5019e6/Jayden-Bogle,5019e6,Jayden-Bog
Harry Wilson,wls WAL,"MF,FW",40,37,3,15,"3,171",35.2,9,0,/en/players/c6dc9ecd/Harry-Wilson,c6dc9ecd,Harry-Wilso
Mason Mount,eng ENG,MF,35,35,4,8,"3,044",33.8,4,0,/en/players/9674002f/Mason-Mount,9674002f,Mason-Mount
Scott Carson,eng ENG,GK,30,30,1,0,"2,700",30.0,1,0,/en/players/3e1550ee/Scott-Carson,3e1550ee,Scott-Carso
Martyn Waghorn,eng ENG,"FW,MF",36,29,3,9,"2,168",24.1,7,0,/en/players/8ebea784/Martyn-Waghorn,8ebea784,Martyn-Wagho
Tom Lawrence,wls WAL,"FW,MF",33,28,2,6,"2,593",28.8,4,1,/en/players/7e2f45f4/Tom-Lawrence,7e2f45f4,Tom-Lawrenc
Craig Bryson,sct SCO,MF,28,25,2,3,"2,117",23.5,7,0,/en/players/10aaf318/Craig-Bryson,10aaf318,Craig-Bryso
Scott Malone,eng ENG,DF,27,24,1,2,"2,073",23.0,3,0,/en/players/f15a50e8/Scott-Malone,f15a50e8,Scott-Malo
Bradley Johnson,eng ENG,MF,28,22,3,2,"2,096",23.3,9,0,/en/players/e0d9bbbe/Bradley-Johnson,0d9bbbe,Bradley-Johnso
Tom Huddlestone,eng ENG,MF,24,21,0,0,"1,881",20.9,5,0,/en/players/464cbbc9/Tom-Huddlestone,464cbbc9,Tom-Huddlesto
Jack Marriott,eng ENG,FW,33,19,5,7,"1,865",20.7,3,0,/en/players/e4551dab/Jack-Marriott,4551dab,Jack-Marriott
Duane Holmes,us USA,"MF,DF",25,16,1,2,"1,492",16.6,7,0,/en/players/47a050ed/Duane-Holmes,47a050ed,Duane-Holm
Kelle Roos,nl NED,GK,16,16,0,0,"1,440",16.0,0,0,/en/players/b55e1ac0/Kelle-Roos,b55e1ac0,Kelle-Roo
Florian Jozefzoon,sr SUR,"FW,MF",27,13,1,2,"1,292",14.4,0,0,/en/players/e136a109/Florian-Jozefzoon,136a109,Florian-Jozefzoo
David Nugent,eng ENG,FW,31,11,1,2,"1,143",12.7,2,0,/en/players/f9b5e5bd/David-Nugent,f9b5e5bd,David-Nugent
Craig Forsyth,sct SCO,DF,13,10,4,0,962,10.7,0,0,/en/players/6f44cb44/Craig-Forsyth,6f44cb44,Craig-Forsyth
Mason Bennett,eng ENG,"FW,MF",30,9,4,3,"1,120",12.4,6,0,/en/players/aba031ad/Mason-Bennett,ba031ad,Mason-Bennett
Andre Wisdom,eng ENG,DF,11,9,0,0,835,9.3,2,0,/en/players/ab6a3628/Andre-Wisdom,b6a3628,Andre-Wisdom
Ashley Cole,eng ENG,DF,9,6,2,0,566,6.3,2,0,/en/players/be091289/Ashley-Cole,be091289,Ashley-Co
George Evans,eng ENG,"MF,DF",11,6,0,0,509,5.7,3,0,/en/players/40302e12/George-Evans,40302e12,George-Ev
Curtis Davies,eng ENG,DF,5,3,0,0,274,3.0,0,0,/en/players/607fb965/Curtis-Davies,607fb965,Curtis-Davi
Max Lowe,eng ENG,DF,3,3,0,0,270,3.0,2,0,/en/players/7af88b33/Max-Lowe,7af88b33,Max-Low
Joe Ledley,wls WAL,MF,4,3,0,1,225,2.5,2,0,/en/players/c221f149/Joe-Ledley,c221f149,Joe-Led
Andy King,wls WAL,MF,4,2,0,0,152,1.7,0,0,/en/players/d790907f/Andy-King,d790907f,Andy-King
Max Bird,eng ENG,MF,4,1,0,0,113,1.3,0,0,/en/players/46d27ca0/Max-Bird,46d27ca0,Max-Bird
Jayden Mitchell-Lawson,eng ENG,MF,1,0,0,0,8,0.1,0,0,/en/players/eb5efdc7/Jayden-Mitchell-Lawson,b5efdc7,Jayden-Mitchell-Lawso
Alex Pearce,ie IRL,FW,1,0,0,0,1,0.0,0,0,/en/players/66e0514a/Alex-Pearce,66e0514a,Alex-Pearc
Lee Buchanan,eng ENG,DF,0,0,,,,,,,/en/players/45e95f21/Lee-Buchanan,45e95f21,Lee-Buch
Calum MacDonald,eng ENG,"DF,MF",0,0,,,,,,,/en/players/40c6462a/Calum-MacDonald,40c6462a,Calum-MacDonald
Jonathan Mitchell,eng ENG,GK,0,0,,,,,,,/en/players/ec4a766a/Jonathan-Mitchell,c4a766a,Jonathan-Mitch
Henrich Ravas,sk SVK,GK,0,0,,,,,,,/en/players/7ad32ae1/Henrich-Ravas,7ad32ae1,Henrich-Rav
Luke Thomas,eng ENG,MF,0,0,,,,,,,/en/players/27819343/Luke-Thomas,27819343,Luke-Thom
Tyree Wilson,eng ENG,MF,0,0,,,,,,,/en/players/f075a56c/Tyree-Wilson,f075a56c,Tyree-Wilso
