2012-2013,Dijon
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Baptiste Reynet,fr FRA,GK,38,38,0,0,"3,420",38.0,3,0,/en/players/bcf1b2e9/Baptiste-Reynet,bcf1b2e9,Baptiste-Reynet
Sekou Baradji,fr FRA,"DF,MF",34,33,1,0,"2,803",31.1,7,0,/en/players/5693aa98/Sekou-Baradji,5693aa98,Sekou-Baradji
Florin Berenguer,fr FRA,MF,37,32,4,4,"2,843",31.6,2,0,/en/players/f7ff293a/Florin-Berenguer,f7ff293a,Florin-Berengu
Florent Mollet,fr FRA,MF,36,32,4,4,"2,578",28.6,7,0,/en/players/7e82a78f/Florent-Mollet,7e82a78f,Florent-Mollet
Cédric Varrault,fr FRA,DF,30,30,0,1,"2,550",28.3,8,0,/en/players/8cb8dc58/Cedric-Varrault,8cb8dc58,Cedric-Varrault
Thomas Guerbert,fr FRA,MF,30,27,8,5,"2,418",26.9,4,0,/en/players/deb14012/Thomas-Guerbert,deb14012,Thomas-Guerbert
Samuel Souprayen,fr FRA,DF,27,27,0,0,"2,359",26.2,9,0,/en/players/f7c9fcd6/Samuel-Souprayen,f7c9fcd6,Samuel-Sou
Júlio Tavares,cv CPV,FW,26,23,2,10,"1,865",20.7,0,0,/en/players/d520120b/Julio-Tavares,d520120b,Julio-Tav
Abdoulaye Bamba,ci CIV,DF,26,22,1,0,"2,002",22.2,7,1,/en/players/7fecbcdb/Abdoulaye-Bamba,7fecbcdb,Abdoulaye-Bamb
Pape Paye,fr FRA,"DF,MF",33,20,1,1,"1,937",21.5,4,1,/en/players/91cad9fd/Pape-Paye,91cad9fd,Pape-P
Ousseynou Cissé,ml MLI,"DF,MF",24,19,0,0,"1,800",20.0,4,1,/en/players/d42d12b7/Ousseynou-Cisse,d42d12b7,Ousseynou-Ci
Raphaël Cacérès,fr FRA,"DF,FW",17,14,0,5,"1,148",12.8,0,0,/en/players/07186947/Raphael-Caceres,07186947,Raphael-Cac
Brice Jovial,,FW,24,13,3,7,"1,407",15.6,6,1,/en/players/c8086ccb/Brice-Jovial,c8086ccb,Brice-Jovi
Rémi Mulumba,cd COD,MF,14,13,0,0,"1,142",12.7,4,1,/en/players/05099e0e/Remi-Mulumba,05099e0e,Remi-Mulumb
Zakaria Diallo,fr FRA,DF,11,11,1,3,990,11.0,1,0,/en/players/158da7ea/Zakaria-Diallo,158da7ea,Zakaria-Diallo
Jordan Marié,fr FRA,MF,15,10,1,0,965,10.7,2,0,/en/players/0d2158d5/Jordan-Marie,0d2158d5,Jordan-Mari
Koro Koné,ci CIV,"FW,MF",25,10,2,5,963,10.7,2,0,/en/players/92c63db5/Koro-Kone,92c63db5,Koro-Ko
Steven Paulle,fr FRA,DF,14,10,1,0,941,10.5,2,0,/en/players/55899662/Steven-Paulle,55899662,Steven-Pau
Romain Philippoteaux,fr FRA,"FW,MF",18,9,3,2,832,9.2,5,0,/en/players/f98b15f0/Romain-Philippoteaux,f98b15f0,Romain-Philippoteaux
William Rémy,fr FRA,DF,10,9,1,0,762,8.5,2,1,/en/players/40ff763c/William-Remy,40ff763c,William-Rem
Younousse Sankharé,sn SEN,MF,7,6,0,0,569,6.3,1,0,/en/players/c650629d/Younousse-Sankhare,c650629d,Younousse-Sankh
Lesly Malouda,gf GUF,"DF,MF",9,6,0,0,544,6.0,2,0,/en/players/22c5b270/Lesly-Malouda,22c5b270,Lesly-Maloud
Benjamin Corgnet,fr FRA,MF,4,3,0,3,260,2.9,0,0,/en/players/cfd8dde3/Benjamin-Corgnet,cfd8dde3,Benjamin-Corgnet
Grégory Thil,fr FRA,FW,6,1,0,1,202,2.2,1,0,/en/players/3cedf1c4/Gregory-Thil,3cedf1c4,Gregory-Thi
Hakeem Achour,,,2,0,0,0,68,0.8,0,0,No detected,,
Brian Babit,fr FRA,MF,2,0,0,0,31,0.3,0,0,/en/players/f7334edc/Brian-Babit,f7334edc,Brian-Babit
El Hamel,,,1,0,0,0,24,0.3,0,0,No detected,,
Enoch N'Dengila,cd COD,FW,3,0,0,0,21,0.2,0,0,/en/players/0bd0f82b/Enoch-NDengila,0bd0f82b,Enoch-NDengi
Sanaa Altama,td CHA,MF,1,0,0,0,18,0.2,0,0,/en/players/cdb97a30/Sanaa-Altama,cdb97a30,Sanaa-Altam
Christopher Joufreau,,,3,0,0,0,14,0.2,0,0,No detected,,
Zié Diabaté,ci CIV,DF,1,0,0,0,1,0.0,0,0,/en/players/5b35ad7e/Zie-Diabate,5b35ad7e,Zie-Diabat
