Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Sebastián Ribas,uy URU,FW,36,34,3.0,16.0,2009-2010,/en/players/ac90267e/Sebastian-Ribas,c90267e,Dijon,"3,005",33.4,3.0,0.0,112,8.0,14963,Dijon
,Grégory Malicki,fr FRA,GK,33,33,0.0,0.0,2009-2010,/en/players/506a9c32/Gregory-Malicki,506a9c32,Dijon,"2,920",32.4,3.0,1.0,112,4.0,13089,Dijon
,Samuel Souprayen,fr FRA,DF,31,31,1.0,0.0,2009-2010,/en/players/f7c9fcd6/Samuel-Souprayen,f7c9fcd6,Dijon,"2,780",30.9,5.0,2.0,112,4.0,12110,Dijon
,Chaher Zarour,fr FRA,DF,31,30,0.0,3.0,2009-2010,/en/players/cc478737/Chaher-Zarour,cc478737,Dijon,"2,723",30.3,5.0,0.0,112,4.0,14901,Dijon
,Anthony Vosalho,fr FRA,DF,27,27,0.0,1.0,2009-2010,/en/players/735b3a76/Anthony-Vosalho,735b3a76,Dijon,"2,379",26.4,4.0,0.0,112,4.0,14964,Dijon
,Alexis Zywiecki,fr FRA,DF,26,26,0.0,1.0,2009-2010,/en/players/418aa6e0/Alexis-Zywiecki,418aa6e0,Dijon,"2,340",26.0,7.0,0.0,112,4.0,14965,Dijon
,Lynel Kitambala,fr FRA,FW,34,26,2.0,13.0,2009-2010,/en/players/68fd876f/Lynel-Kitambala,68fd876f,Dijon,"2,304",25.6,2.0,0.0,112,4.0,12014,Dijon
,Christophe Mandanne,fr FRA,"FW,MF",36,24,1.0,11.0,2009-2010,/en/players/45d08d38/Christophe-Mandanne,45d08d38,Dijon,"2,333",25.9,5.0,0.0,112,4.0,12190,Dijon
,Éric Carrière,fr FRA,MF,31,21,3.0,0.0,2009-2010,/en/players/011f56f1/Eric-Carriere,011f56f1,Dijon,"2,013",22.4,3.0,0.0,112,4.0,11201,Dijon
,Stéphane Morisot,fr FRA,"DF,MF",24,20,1.0,0.0,2009-2010,/en/players/44478c87/Stephane-Morisot,44478c87,Dijon,"1,689",18.8,3.0,0.0,112,4.0,13838,Dijon
,Lesly Malouda,gf GUF,"DF,MF",23,18,1.0,0.0,2009-2010,/en/players/22c5b270/Lesly-Malouda,22c5b270,Dijon,"1,728",19.2,0.0,0.0,112,159.0,12306,Dijon
,Michaël Isabey,fr FRA,MF,24,17,5.0,2.0,2009-2010,/en/players/abbc95c6/Michael-Isabey,bbc95c6,Dijon,"1,423",15.8,1.0,0.0,112,4.0,11790,Dijon
,Arnaud Lebrun,fr FRA,DF,18,16,3.0,0.0,2009-2010,/en/players/c3d4e6e2/Arnaud-Lebrun,c3d4e6e2,Dijon,"1,379",15.3,3.0,0.0,112,4.0,14966,Dijon
,Yann M'Vila,fr FRA,MF,15,15,0.0,0.0,2009-2010,/en/players/d4133fa1/Yann-MVila,d4133fa1,Dijon,"1,251",13.9,3.0,0.0,112,4.0,8726,Dijon
,Charles Boateng,gh GHA,MF,23,12,2.0,1.0,2009-2010,/en/players/d244ee9d/Charles-Boateng,d244ee9d,Dijon,"1,185",13.2,2.0,0.0,112,17.0,14967,Dijon
,David Linarès,fr FRA,MF,15,12,1.0,0.0,2009-2010,/en/players/088df245/David-Linares,088df245,Dijon,"1,051",11.7,2.0,0.0,112,4.0,13721,Dijon
,Kévin Bru,mu MRI,MF,14,8,3.0,2.0,2009-2010,/en/players/2a709dc0/Kevin-Bru,2a709dc0,Dijon,771,8.6,2.0,0.0,112,154.0,13201,Dijon
,Hervé Batoménila,fr FRA,"DF,MF",10,8,0.0,0.0,2009-2010,/en/players/967fb855/Herve-Batomenila,967fb855,Dijon,658,7.3,2.0,0.0,112,4.0,14968,Dijon
,Jacques-Désiré Périatambée,mu MRI,MF,9,7,0.0,0.0,2009-2010,/en/players/ec96ccd7/Jacques-Desire-Periatambee,c96ccd7,Dijon,607,6.7,3.0,0.0,112,154.0,12882,Dijon
,Youcef Touati,dz ALG,MF,9,7,0.0,1.0,2009-2010,/en/players/f932c60a/Youcef-Touati,f932c60a,Dijon,573,6.4,0.0,0.0,112,37.0,14409,Dijon
,Mathieu Robail,fr FRA,"FW,MF",11,6,1.0,0.0,2009-2010,/en/players/ca2aa0ac/Mathieu-Robail,ca2aa0ac,Dijon,544,6.0,2.0,0.0,112,4.0,12883,Dijon
,Franck Grandel,gp GLP,GK,6,5,0.0,0.0,2009-2010,/en/players/6a52b478/Franck-Grandel,6a52b478,Dijon,500,5.6,0.0,0.0,112,56.0,13762,Dijon
,Wissam El Bekri,tn TUN,DF,5,4,0.0,0.0,2009-2010,/en/players/ea9ab33a/Wissam-El-Bekri,9ab33a,Dijon,289,3.2,0.0,0.0,112,46.0,14969,Dijon
,Antoine Goulard,fr FRA,DF,4,3,0.0,0.0,2009-2010,/en/players/39edaa69/Antoine-Goulard,39edaa69,Dijon,233,2.6,0.0,0.0,112,4.0,14970,Dijon
,Patrick N'Tolla,cm CMR,DF,4,3,0.0,0.0,2009-2010,/en/players/729daee7/Patrick-NTolla,729daee7,Dijon,233,2.6,0.0,0.0,112,36.0,14446,Dijon
,Florin Berenguer,fr FRA,MF,11,2,0.0,0.0,2009-2010,/en/players/f7ff293a/Florin-Berenguer,f7ff293a,Dijon,247,2.7,0.0,0.0,112,4.0,11898,Dijon
,Nicolas Belvito,fr FRA,FW,8,2,0.0,1.0,2009-2010,/en/players/d4d77fe9/Nicolas-Belvito,d4d77fe9,Dijon,207,2.3,0.0,0.0,112,4.0,14710,Dijon
,Stéphane Mangione,fr FRA,MF,7,1,0.0,1.0,2009-2010,/en/players/ea0d8ad6/Stephane-Mangione,0d8ad6,Dijon,175,1.9,0.0,0.0,112,4.0,14971,Dijon
,Maxime Jasse,fr FRA,DF,1,0,0.0,0.0,2009-2010,/en/players/3c2d7170/Maxime-Jasse,3c2d7170,Dijon,16,0.2,0.0,0.0,112,4.0,12009,Dijon
,Malek Chergui,,,1,0,0.0,0.0,2009-2010,No detected,,Dijon,4,0.0,0.0,0.0,112,,90550,Dijon
,﻿Sebastián Ribas,uy URU,FW,38,36,4.0,23.0,2010-2011,/en/players/ac90267e/Sebastian-Ribas,c90267e,Dijon,"3,281",36.5,3.0,0.0,112,8.0,14963,Dijon
,Jean-Daniel Padovani,fr FRA,GK,35,35,0.0,0.0,2010-2011,/en/players/0b92fa60/Jean-Daniel-Padovani,0b92fa60,Dijon,"3,150",35.0,4.0,0.0,112,4.0,14972,Dijon
,Éric Bauthéac,fr FRA,"FW,MF",36,34,3.0,6.0,2010-2011,/en/players/af859ca4/Eric-Bautheac,f859ca4,Dijon,"2,998",33.3,8.0,0.0,112,4.0,12679,Dijon
,Steven Paulle,fr FRA,DF,34,33,1.0,3.0,2010-2011,/en/players/55899662/Steven-Paulle,55899662,Dijon,"3,004",33.4,5.0,1.0,112,4.0,14973,Dijon
,Benjamin Corgnet,fr FRA,MF,32,27,2.0,1.0,2010-2011,/en/players/cfd8dde3/Benjamin-Corgnet,cfd8dde3,Dijon,"2,386",26.5,2.0,0.0,112,4.0,13050,Dijon
,Charley Fomen,cm CMR,DF,28,27,0.0,0.0,2010-2011,/en/players/e5bd9613/Charley-Fomen,5bd9613,Dijon,"2,269",25.2,7.0,0.0,112,36.0,14974,Dijon
,Younousse Sankharé,sn SEN,MF,27,26,0.0,6.0,2010-2011,/en/players/c650629d/Younousse-Sankhare,c650629d,Dijon,"2,303",25.6,6.0,1.0,112,34.0,11732,Dijon
,Alexis Zywiecki,fr FRA,DF,24,23,2.0,0.0,2010-2011,/en/players/418aa6e0/Alexis-Zywiecki,418aa6e0,Dijon,"2,054",22.8,5.0,0.0,112,4.0,14965,Dijon
,Stéphane Morisot,fr FRA,"DF,MF",28,23,0.0,0.0,2010-2011,/en/players/44478c87/Stephane-Morisot,44478c87,Dijon,"1,998",22.2,0.0,0.0,112,4.0,13838,Dijon
,Abdoulaye Bamba,ci CIV,DF,24,22,1.0,0.0,2010-2011,/en/players/7fecbcdb/Abdoulaye-Bamba,7fecbcdb,Dijon,"1,827",20.3,1.0,0.0,112,35.0,14975,Dijon
,Florin Berenguer,fr FRA,MF,23,20,4.0,2.0,2010-2011,/en/players/f7ff293a/Florin-Berenguer,f7ff293a,Dijon,"1,595",17.7,1.0,0.0,112,4.0,11898,Dijon
,Raphaël Cacérès,fr FRA,"DF,FW",30,19,2.0,6.0,2010-2011,/en/players/07186947/Raphael-Caceres,07186947,Dijon,"1,670",18.6,2.0,0.0,112,4.0,11875,Dijon
