2015-2016,Dortmund
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Roman Bürki,ch SUI,GK,33,33,0,0,"2,970",33.0,1,0,/en/players/9d12e142/Roman-Burki,9d12e142,Roman-Burki
Mats Hummels,de GER,DF,30,29,2,2,"2,493",27.7,1,0,/en/players/05d548d8/Mats-Hummels,05d548d8,Mats-Humm
Henrikh Mkhitaryan,am ARM,"MF,FW",31,28,15,11,"2,571",28.6,5,0,/en/players/dd0daf32/Henrikh-Mkhitaryan,dd0daf32,Henrikh-Mkhit
Pierre-Emerick Aubameyang,ga GAB,FW,31,28,5,25,"2,467",27.4,4,0,/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang,d5dd5f1f,Pierre-Emerick-Aubameyang
Shinji Kagawa,jp JPN,MF,29,26,7,9,"2,164",24.0,2,0,/en/players/5afafbfe/Shinji-Kagawa,5afafbfe,Shinji-Kagaw
Julian Weigl,de GER,MF,30,25,0,0,"2,245",24.9,5,0,/en/players/346d51d9/Julian-Weigl,346d51d9,Julian-Weig
Marco Reus,de GER,"MF,FW",26,24,3,12,"1,909",21.2,2,0,/en/players/36a3ff67/Marco-Reus,36a3ff67,Marco-Reu
Sokratis Papastathopoulos,gr GRE,DF,25,23,0,1,"2,113",23.5,5,0,/en/players/b682dcf6/Sokratis-Papastathopoulos,b682dcf6,Sokratis-Papastathopoulo
Marcel Schmelzer,de GER,DF,26,22,4,0,"2,060",22.9,2,0,/en/players/89565ac5/Marcel-Schmelzer,89565ac5,Marcel-Schmelz
İlkay Gündoğan,de GER,MF,25,22,3,1,"1,989",22.1,1,0,/en/players/819b3158/Ilkay-Gundogan,819b3158,Ilkay-Gundog
Matthias Ginter,de GER,"DF,MF",24,21,4,3,"1,889",21.0,0,0,/en/players/f521b80a/Matthias-Ginter,f521b80a,Matthias-Gint
Łukasz Piszczek,pl POL,DF,20,16,3,0,"1,520",16.9,3,0,/en/players/fe2db476/Lukasz-Piszczek,fe2db476,Lukasz-Piszczek
Gonzalo Castro,de GER,MF,25,16,7,3,"1,483",16.5,1,0,/en/players/68829001/Gonzalo-Castro,68829001,Gonzalo-Castro
Sven Bender,de GER,"DF,MF",19,14,0,0,"1,246",13.8,1,0,/en/players/070ec0b1/Sven-Bender,070ec0b1,Sven-Bend
Erik Durm,de GER,"DF,MF",14,10,1,1,865,9.6,2,0,/en/players/cf623c78/Erik-Durm,cf623c78,Erik-Durm
Adrián Ramos,co COL,"FW,MF",27,9,4,9,945,10.5,0,0,/en/players/c693cf7c/Adrian-Ramos,c693cf7c,Adrian-Ramo
Nuri Şahin,tr TUR,MF,9,6,2,0,505,5.6,1,0,/en/players/f4081572/Nuri-Sahin,f4081572,Nuri-Sahi
Neven Subotić,rs SRB,DF,6,5,0,0,464,5.2,2,0,/en/players/821233cc/Neven-Subotic,821233cc,Neven-Subotic
Christian Pulisic,us USA,"MF,FW",9,4,0,2,389,4.3,1,0,/en/players/1bf33a9a/Christian-Pulisic,1bf33a9a,Christian-Pulisic
Park Joo-ho,kr KOR,DF,5,4,0,0,309,3.4,0,0,/en/players/502fd802/Park-Joo-ho,502fd802,Park-Joo-ho
Jonas Hofmann,de GER,"MF,FW",7,4,1,1,287,3.2,0,0,/en/players/2903a856/Jonas-Hofmann,2903a856,Jonas-Hofm
Moritz Leitner,de GER,MF,9,2,1,0,326,3.6,0,0,/en/players/9460aaed/Moritz-Leitner,9460aaed,Moritz-Leit
Felix Passlack,de GER,"FW,DF",3,2,0,0,182,2.0,0,0,/en/players/5c899683/Felix-Passlack,5c899683,Felix-Passlack
Roman Weidenfeller,de GER,GK,1,1,0,0,90,1.0,0,0,/en/players/16b8fabd/Roman-Weidenfeller,16b8fabd,Roman-Weidenf
Adnan Januzaj,be BEL,"FW,MF",6,0,2,0,166,1.8,0,0,/en/players/4737cebe/Adnan-Januzaj,4737cebe,Adnan-Januzaj
Kevin Kampl,si SVN,MF,1,0,0,0,13,0.1,0,0,/en/players/b825a650/Kevin-Kampl,b825a650,Kevin-Kam
Hendrik Bonmann,de GER,GK,0,0,,,,,,,/en/players/03de98b7/Hendrik-Bonmann,03de98b7,Hendrik-Bonm
Jon Gorenc Stanković,si SVN,"DF,MF",0,0,,,,,,,/en/players/9c74fa25/Jon-Gorenc-Stankovic,9c74fa25,Jon-Gorenc-Stankovic
Pascal Stenzel,de GER,"DF,MF",0,0,,,,,,,/en/players/99f7e9aa/Pascal-Stenzel,99f7e9aa,Pascal-Stenz
