2016-2017,Eintracht-Braunschweig
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Jasmin Fejzić,ba BIH,GK,34,34,0,0,"3,060",34.0,3,0,/en/players/7eae6423/Jasmin-Fejzic,7eae6423,Jasmin-Fejzic
Ken Reichel,de GER,DF,32,32,4,7,"2,880",32.0,8,0,/en/players/e881ed15/Ken-Reichel,881ed15,Ken-Reich
Onel Hernández,cu CUB,"MF,FW",34,28,4,5,"2,575",28.6,3,0,/en/players/007b39a5/Onel-Hernandez,007b39a5,Onel-Hernandez
Gustav Valsvik,no NOR,DF,29,28,0,0,"2,435",27.1,3,0,/en/players/482e9289/Gustav-Valsvik,482e9289,Gustav-Valsvik
Saulo Decarli,ch SUI,DF,28,27,0,2,"2,431",27.0,6,0,/en/players/41df88b8/Saulo-Decarli,41df88b8,Saulo-Decarli
Quirin Moll,de GER,MF,29,27,0,0,"2,426",27.0,11,0,/en/players/0a12c10f/Quirin-Moll,0a12c10f,Quirin-Mo
Domi Kumbela,cd COD,FW,33,25,1,13,"2,294",25.5,2,0,/en/players/4298ae41/Domi-Kumbela,4298ae41,Domi-Kumb
Christoffer Nyman,se SWE,FW,31,24,2,11,"2,019",22.4,2,0,/en/players/f9e3ef15/Christoffer-Nyman,f9e3ef15,Christoffer-Nym
Nik Omladič,si SVN,MF,25,23,3,2,"1,921",21.3,5,0,/en/players/e60ea583/Nik-Omladic,60ea583,Nik-Omladic
Mirko Boland,de GER,MF,27,18,1,3,"1,721",19.1,4,0,/en/players/21799c6e/Mirko-Boland,21799c6e,Mirko-Boland
Phil Ofosu-Ayeh,gh GHA,"DF,MF",16,14,1,1,"1,306",14.5,3,0,/en/players/57467297/Phil-Ofosu-Ayeh,57467297,Phil-Ofosu-Ayeh
Patrick Schönfeld,de GER,MF,17,14,2,0,"1,194",13.3,5,0,/en/players/5913ef8b/Patrick-Schonfeld,5913ef8b,Patrick-Schonfeld
Marcel Correia,pt POR,"DF,MF",15,13,0,0,"1,092",12.1,2,0,/en/players/11644dea/Marcel-Correia,11644dea,Marcel-Correi
Maximilian Sauer,de GER,DF,15,13,0,0,"1,092",12.1,3,0,/en/players/6f0b65c1/Maximilian-Sauer,6f0b65c1,Maximilian-Sau
Joseph Baffo,se SWE,DF,15,11,1,0,"1,093",12.1,3,0,/en/players/ee18a2b7/Joseph-Baffo,18a2b7,Joseph-Baffo
Salim Khelifi,tn TUN,MF,18,11,2,1,938,10.4,1,0,/en/players/1b09b065/Salim-Khelifi,1b09b065,Salim-Khelifi
Hendrick Zuck,de GER,"MF,FW",17,8,1,0,840,9.3,2,0,/en/players/264d6a4a/Hendrick-Zuck,264d6a4a,Hendrick-Zuck
Julius Biada,de GER,"FW,MF",21,8,2,3,770,8.6,0,0,/en/players/1b87b3f1/Julius-Biada,1b87b3f1,Julius-Biad
Jan Hochscheidt,de GER,"MF,FW",13,6,0,0,590,6.6,0,0,/en/players/f03a7af1/Jan-Hochscheidt,f03a7af1,Jan-Hochscheidt
Suleiman Abdullahi,ng NGA,FW,13,5,1,1,481,5.3,0,0,/en/players/abf0cad0/Suleiman-Abdullahi,bf0cad0,Suleiman-Abdullahi
Niko Kijewski,de GER,"DF,MF",7,5,0,0,459,5.1,0,0,/en/players/4167becd/Niko-Kijewski,4167becd,Niko-Kijewski
Phillip Tietz,de GER,FW,2,0,0,0,15,0.2,0,0,/en/players/3397e7b5/Phillip-Tietz,3397e7b5,Phillip-Tietz
Orhan Ademi,ch SUI,FW,1,0,0,0,13,0.1,0,0,/en/players/681f5bbe/Orhan-Ademi,681f5bbe,Orhan-Ademi
Michael Schulze,de GER,DF,1,0,0,0,12,0.1,0,0,/en/players/8bccadbe/Michael-Schulze,8bccadbe,Michael-Schulz
Adam Matuszczyk,pl POL,MF,1,0,0,0,3,0.0,0,0,/en/players/ed07855f/Adam-Matuszczyk,d07855f,Adam-Matuszczyk
Marcel Engelhardt,de GER,GK,0,0,,,,,,,/en/players/9b5d0904/Marcel-Engelhardt,9b5d0904,Marcel-Engelhardt
