2020-2021,Eintracht-Frankfurt
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Kevin Trapp,de GER,GK,33,33,0,0,"2,970",33.0,0,0,/en/players/ce17b5eb/Kevin-Trapp,ce17b5eb,Kevin-T
André Silva,pt POR,FW,32,32,7,28,"2,760",30.7,1,0,/en/players/3effaa34/Andre-Silva,3effaa34,Andre-Silv
Filip Kostić,rs SRB,DF,30,29,14,4,"2,534",28.2,4,0,/en/players/b1cd37e6/Filip-Kostic,b1cd37e6,Filip-Kostic
Martin Hinteregger,at AUT,DF,29,29,1,2,"2,527",28.1,4,0,/en/players/080440a4/Martin-Hinteregger,080440a4,Martin-Hinteregg
Daichi Kamada,jp JPN,MF,32,28,12,5,"2,356",26.2,3,0,/en/players/15b287da/Daichi-Kamada,15b287da,Daichi-Kamad
Makoto Hasebe,jp JPN,"DF,MF",29,26,0,0,"2,288",25.4,5,0,/en/players/9ab16552/Makoto-Hasebe,9ab16552,Makoto-Haseb
Djibril Sow,ch SUI,MF,28,25,2,0,"2,175",24.2,6,0,/en/players/4c6facae/Djibril-Sow,4c6facae,Djibril-Sow
Obite N'Dicka,fr FRA,DF,23,23,1,3,"2,044",22.7,10,0,/en/players/441197b8/Obite-NDicka,441197b8,Obite-NDick
Sebastian Rode,de GER,MF,27,19,0,1,"1,625",18.1,10,0,/en/players/e12b0b5b/Sebastian-Rode,12b0b5b,Sebastian-Rod
Erik Durm,de GER,DF,21,19,2,1,"1,480",16.4,1,0,/en/players/cf623c78/Erik-Durm,cf623c78,Erik-Durm
Stefan Ilsanker,at AUT,"MF,DF",27,17,0,1,"1,578",17.5,4,0,/en/players/8494acc4/Stefan-Ilsanker,8494acc4,Stefan-Ilsank
Tuta,br BRA,DF,19,16,0,0,"1,459",16.2,5,0,/en/players/35d64857/Tuta,35d64857,Tut
Amin Younes,de GER,MF,26,16,3,3,"1,391",15.5,5,0,/en/players/228f73ae/Amin-Younes,228f73ae,Amin-You
David Abraham,ar ARG,DF,14,14,0,1,"1,222",13.6,5,1,/en/players/565bf0da/David-Abraham,565bf0da,David-Abraham
Aymen Barkok,ma MAR,"MF,DF",26,9,3,2,977,10.9,5,0,/en/players/a2a85828/Aymen-Barkok,2a85828,Aymen-Barkok
Bas Dost,nl NED,FW,12,9,2,4,817,9.1,3,0,/en/players/dc90cfbe/Bas-Dost,dc90cfbe,Bas-Dost
Luka Jović,rs SRB,FW,18,8,1,4,894,9.9,2,0,/en/players/4d8cd038/Luka-Jovic,4d8cd038,Luka-Jovic
Almamy Touré,ml MLI,DF,17,8,1,1,704,7.8,2,0,/en/players/c8c60119/Almamy-Toure,c8c60119,Almamy-Tou
Steven Zuber,ch SUI,"DF,MF",20,6,3,0,585,6.5,1,0,/en/players/b6a6e0a7/Steven-Zuber,b6a6e0a7,Steven-Zub
Timothy Chandler,us USA,DF,15,3,0,1,432,4.8,2,0,/en/players/b3b7f5a6/Timothy-Chandler,b3b7f5a6,Timothy-Chand
Dominik Kohr,de GER,"MF,DF",7,2,0,0,260,2.9,1,0,/en/players/0fbecd11/Dominik-Kohr,0fbecd11,Dominik-Koh
Ajdin Hrustic,au AUS,"MF,DF",11,1,0,1,272,3.0,2,0,/en/players/1f2d714c/Ajdin-Hrustic,1f2d714c,Ajdin-Hrustic
Danny da Costa,de GER,DF,6,1,0,0,110,1.2,0,0,/en/players/5ddb8f9f/Danny-da-Costa,5ddb8f9f,Danny-da-Cost
Elias Bördner,de GER,GK,1,1,0,0,90,1.0,0,0,/en/players/8758ddf4/Elias-Bordner,8758ddf4,Elias-Bord
Ragnar Ache,de GER,"FW,DF",7,0,0,1,100,1.1,1,0,/en/players/dc38e3bc/Ragnar-Ache,dc38e3bc,Ragnar-Ach
Yannick Brugger,de GER,DF,0,0,,,,,,,/en/players/6bf9da17/Yannick-Brugger,6bf9da17,Yannick-Brugg
Simon Falette,gn GUI,DF,0,0,,,,,,,/en/players/b82880c6/Simon-Falette,b82880c6,Simon-Falett
Frederik Rønnow,dk DEN,GK,0,0,,,,,,,/en/players/a70b8345/Frederik-Ronnow,70b8345,Frederik-Ronnow
Markus Schubert,de GER,GK,0,0,,,,,,,/en/players/289b90cd/Markus-Schubert,289b90cd,Markus-Schubert
Jetro Willems,nl NED,"DF,MF",0,0,,,,,,,/en/players/9050ddc4/Jetro-Willems,9050ddc4,Jetro-Willem
