,Player,Link,Player_name(param),Player_id(param)
0,﻿Oka Nikolov,/en/players/99655abd/Oka-Nikolov,Oka-Nikolov,99655abd
1,Alexander Schur,/en/players/f6269f26/Alexander-Schur,Alexander-Schur,f6269f26
2,Ervin Skela,/en/players/65b54dbb/Ervin-Skela,Ervin-Skela,65b54dbb
3,Christoph Preuß,/en/players/8b4a6fcb/Christoph-Preuss,Christoph-Preuss,8b4a6fcb
4,Markus Kreuz,/en/players/abf5cf2c/Markus-Kreuz,Markus-Kreuz,abf5cf2c
5,Chris,/en/players/5e5ecc12/Chris,Chris,5e5ecc12
6,Cha Du-ri,/en/players/50baf9b9/Cha-Du-ri,Cha-Du-ri,50baf9b9
7,Sven Günther,/en/players/90cac23c/Sven-Gunther,Sven-Gunther,90cac23c
8,Henning Bürger,/en/players/64002842/Henning-Burger,Henning-Burger,64002842
9,Uwe Bindewald,/en/players/c705c1e7/Uwe-Bindewald,Uwe-Bindewald,c705c1e7
10,Andree Wiedener,/en/players/716b8e40/Andree-Wiedener,Andree-Wiedener,716b8e40
11,Ingo Hertzsch,/en/players/8084a11e/Ingo-Hertzsch,Ingo-Hertzsch,8084a11e
12,Ioannis Amanatidis,/en/players/ce639756/Ioannis-Amanatidis,Ioannis-Amanatidis,ce639756
13,Geri Çipi,/en/players/b329b04d/Geri-Cipi,Geri-Cipi,b329b04d
14,Jurica Puljiz,/en/players/91e11d84/Jurica-Puljiz,Jurica-Puljiz,91e11d84
15,Markus Beierle,/en/players/ab232e74/Markus-Beierle,Markus-Beierle,ab232e74
16,Stefan Lexa,/en/players/a71dc2f6/Stefan-Lexa,Stefan-Lexa,a71dc2f6
17,Andreas Möller,/en/players/2ea0fe2e/Andreas-Moller,Andreas-Moller,2ea0fe2e
18,Nico Frommer,/en/players/2f349e65/Nico-Frommer,Nico-Frommer,2f349e65
19,Jean-Clotaire Tsoumou-Madza,/en/players/d86c8c6a/Jean-Clotaire-Tsoumou-Madza,Jean-Clotaire-Tsoumou-Madza,d86c8c6a
20,Markus Pröll,/en/players/a41c070b/Markus-Proll,Markus-Proll,a41c070b
21,Mehmet Dragusha,/en/players/11fb2158/Mehmet-Dragusha,Mehmet-Dragusha,11fb2158
22,Jermaine Jones,/en/players/0c577541/Jermaine-Jones,Jermaine-Jones,0c577541
23,Jens Keller,/en/players/1e42fbe3/Jens-Keller,Jens-Keller,1e42fbe3
24,David Montero,/en/players/918d0e3f/David-Montero,David-Montero,918d0e3f
25,Vivaldo Nascimento,/en/players/a81b37f2/Vivaldo-Nascimento,Vivaldo-Nascimento,a81b37f2
26,Lars Weißenfeldt,/en/players/ecadad83/Lars-Weissenfeldt,Lars-Weissenfeldt,ecadad83
27,﻿Markus Pröll,/en/players/a41c070b/Markus-Proll,Markus-Proll,a41c070b
28,Arie van Lent,/en/players/0da5b5a5/Arie-van-Lent,Arie-van-Lent,0da5b5a5
29,Torben Hoffmann,/en/players/967a7889/Torben-Hoffmann,Torben-Hoffmann,967a7889
30,Alexander Meier,/en/players/362aa29d/Alexander-Meier,Alexander-Meier,362aa29d
31,Patrick Ochs,/en/players/20eb7a41/Patrick-Ochs,Patrick-Ochs,20eb7a41
