Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Oka Nikolov,mk MKD,GK,31,31,0.0,0.0,2003-2004,99655abd,Eintracht-Frankfurt,"2,790",31.0,1.0,0.0,20.0,81.0,
,Alexander Schur,de GER,MF,31,31,2.0,4.0,2003-2004,f6269f26,Eintracht-Frankfurt,"2,721",30.2,11.0,0.0,20.0,13.0,
,Ervin Skela,al ALB,"FW,MF",30,30,7.0,8.0,2003-2004,65b54dbb,Eintracht-Frankfurt,"2,682",29.8,3.0,1.0,20.0,78.0,
,Christoph Preuß,de GER,"DF,MF",29,28,3.0,3.0,2003-2004,8b4a6fcb,Eintracht-Frankfurt,"2,534",28.2,3.0,0.0,20.0,13.0,
,Markus Kreuz,de GER,MF,30,25,2.0,1.0,2003-2004,bf5cf2c,Eintracht-Frankfurt,"2,266",25.2,5.0,0.0,20.0,13.0,
,Chris,br BRA,"DF,MF",25,24,0.0,3.0,2003-2004,5e5ecc12,Eintracht-Frankfurt,"2,110",23.4,9.0,0.0,20.0,2.0,
,Cha Du-ri,kr KOR,"DF,MF",31,24,3.0,1.0,2003-2004,50baf9b9,Eintracht-Frankfurt,"2,064",22.9,2.0,0.0,20.0,30.0,
,Sven Günther,de GER,"DF,MF",25,19,0.0,0.0,2003-2004,90cac23c,Eintracht-Frankfurt,"1,673",18.6,4.0,0.0,20.0,13.0,
,Henning Bürger,de GER,"DF,MF",21,19,2.0,1.0,2003-2004,64002842,Eintracht-Frankfurt,"1,480",16.4,5.0,1.0,20.0,13.0,
,Uwe Bindewald,de GER,DF,21,18,0.0,0.0,2003-2004,c705c1e7,Eintracht-Frankfurt,"1,561",17.3,2.0,0.0,20.0,13.0,
,Andree Wiedener,de GER,DF,17,17,0.0,0.0,2003-2004,716b8e40,Eintracht-Frankfurt,"1,462",16.2,2.0,0.0,20.0,13.0,
,Ingo Hertzsch,de GER,DF,18,15,0.0,1.0,2003-2004,8084a11e,Eintracht-Frankfurt,"1,323",14.7,4.0,0.0,20.0,13.0,
,Ioannis Amanatidis,gr GRE,"FW,MF",15,15,0.0,6.0,2003-2004,ce639756,Eintracht-Frankfurt,"1,281",14.2,2.0,1.0,20.0,55.0,
,Geri Çipi,al ALB,DF,13,13,0.0,0.0,2003-2004,b329b04d,Eintracht-Frankfurt,"1,123",12.5,1.0,1.0,20.0,78.0,
,Jurica Puljiz,hr CRO,DF,14,12,0.0,1.0,2003-2004,91e11d84,Eintracht-Frankfurt,979,10.9,3.0,0.0,20.0,16.0,
,Markus Beierle,de GER,FW,20,11,2.0,4.0,2003-2004,b232e74,Eintracht-Frankfurt,"1,181",13.1,1.0,0.0,20.0,13.0,
,Stefan Lexa,at AUT,MF,29,9,2.0,0.0,2003-2004,71dc2f6,Eintracht-Frankfurt,"1,232",13.7,4.0,0.0,20.0,24.0,
,Andreas Möller,de GER,MF,11,9,0.0,0.0,2003-2004,2ea0fe2e,Eintracht-Frankfurt,606,6.7,1.0,0.0,20.0,13.0,
,Nico Frommer,de GER,FW,20,7,2.0,2.0,2003-2004,2f349e65,Eintracht-Frankfurt,812,9.0,2.0,0.0,20.0,13.0,
,Jean-Clotaire Tsoumou-Madza,cg CGO,DF,8,7,0.0,0.0,2003-2004,d86c8c6a,Eintracht-Frankfurt,711,7.9,1.0,0.0,20.0,80.0,
,Markus Pröll,de GER,GK,3,3,0.0,0.0,2003-2004,41c070b,Eintracht-Frankfurt,270,3.0,0.0,0.0,20.0,13.0,
,Mehmet Dragusha,al ALB,MF,14,2,0.0,1.0,2003-2004,11fb2158,Eintracht-Frankfurt,372,4.1,0.0,0.0,20.0,78.0,
,Jermaine Jones,us USA,MF,4,2,0.0,0.0,2003-2004,0c577541,Eintracht-Frankfurt,190,2.1,0.0,0.0,20.0,75.0,
,Jens Keller,de GER,DF,2,2,0.0,0.0,2003-2004,1e42fbe3,Eintracht-Frankfurt,96,1.1,1.0,0.0,20.0,13.0,
,David Montero,es ESP,MF,1,1,0.0,0.0,2003-2004,918d0e3f,Eintracht-Frankfurt,77,0.9,0.0,0.0,20.0,1.0,
,Vivaldo Nascimento,br BRA,DF,2,0,,0.0,2003-2004,81b37f2,Eintracht-Frankfurt,63,0.7,0.0,0.0,20.0,2.0,
,Lars Weißenfeldt,de GER,DF,1,0,0.0,0.0,2003-2004,cadad83,Eintracht-Frankfurt,31,0.3,1.0,0.0,20.0,13.0,
,﻿Markus Pröll,de GER,GK,33,33,0.0,0.0,2004-2005,41c070b,Eintracht-Frankfurt,"2,970",33.0,1.0,0.0,20.0,13.0,
,Arie van Lent,de GER,FW,32,30,6.0,16.0,2004-2005,0da5b5a5,Eintracht-Frankfurt,"2,689",29.9,1.0,0.0,20.0,13.0,
,Torben Hoffmann,de GER,DF,29,29,1.0,4.0,2004-2005,967a7889,Eintracht-Frankfurt,"2,539",28.2,2.0,1.0,20.0,13.0,
,Alexander Meier,de GER,"FW,MF",34,27,8.0,9.0,2004-2005,362aa29d,Eintracht-Frankfurt,"2,468",27.4,3.0,0.0,20.0,13.0,
,Patrick Ochs,de GER,"DF,MF",28,27,4.0,1.0,2004-2005,20eb7a41,Eintracht-Frankfurt,"2,369",26.3,6.0,0.0,20.0,13.0,
,Benjamin Köhler,de GER,MF,29,23,5.0,7.0,2004-2005,7172ae94,Eintracht-Frankfurt,"2,106",23.4,2.0,0.0,20.0,13.0,
,Cha Du-ri,kr KOR,"DF,MF",29,23,7.0,8.0,2004-2005,50baf9b9,Eintracht-Frankfurt,"2,093",23.3,2.0,0.0,20.0,30.0,
,Christopher Reinhard,de GER,"DF,FW",24,23,3.0,2.0,2004-2005,caee3cc3,Eintracht-Frankfurt,"2,041",22.7,2.0,0.0,20.0,13.0,
,Alexander Schur,de GER,MF,23,22,2.0,2.0,2004-2005,f6269f26,Eintracht-Frankfurt,"1,770",19.7,8.0,3.0,20.0,13.0,
,Andree Wiedener,de GER,DF,21,19,0.0,0.0,2004-2005,716b8e40,Eintracht-Frankfurt,"1,800",20.0,3.0,0.0,20.0,13.0,
,Chris,br BRA,"DF,MF",20,17,1.0,2.0,2004-2005,5e5ecc12,Eintracht-Frankfurt,"1,469",16.3,6.0,1.0,20.0,2.0,
,Aleksandar Vasoski,mk MKD,DF,15,15,0.0,0.0,2004-2005,3a4af2e2,Eintracht-Frankfurt,"1,267",14.1,5.0,0.0,20.0,81.0,
,Jermaine Jones,us USA,MF,14,14,3.0,3.0,2004-2005,0c577541,Eintracht-Frankfurt,"1,158",12.9,6.0,0.0,20.0,75.0,
,Jens Keller,de GER,DF,15,13,0.0,0.0,2004-2005,1e42fbe3,Eintracht-Frankfurt,"1,175",13.1,4.0,0.0,20.0,13.0,
,Markus Husterer,de GER,DF,17,12,0.0,0.0,2004-2005,b59b260,Eintracht-Frankfurt,"1,177",13.1,2.0,0.0,20.0,13.0,
,Markus Weissenberger,at AUT,MF,24,12,4.0,2.0,2004-2005,870a35d4,Eintracht-Frankfurt,955,10.6,3.0,0.0,20.0,24.0,
,Christian Lenze,de GER,MF,16,9,1.0,2.0,2004-2005,41f27736,Eintracht-Frankfurt,776,8.6,5.0,0.0,20.0,13.0,
,Stefan Lexa,at AUT,MF,13,6,1.0,2.0,2004-2005,71dc2f6,Eintracht-Frankfurt,529,5.9,1.0,0.0,20.0,24.0,
,Daniyel Cimen,de GER,"DF,MF",9,5,1.0,1.0,2004-2005,18eb0b,Eintracht-Frankfurt,575,6.4,1.0,0.0,20.0,13.0,
,Alexander Huber,tj TJK,"DF,MF",7,5,1.0,0.0,2004-2005,90617ba2,Eintracht-Frankfurt,492,5.5,0.0,0.0,20.0,167.0,
,Mehmet Dragusha,al ALB,MF,5,4,1.0,0.0,2004-2005,11fb2158,Eintracht-Frankfurt,295,3.3,0.0,0.0,20.0,78.0,
,Markus Beierle,de GER,FW,15,3,0.0,3.0,2004-2005,b232e74,Eintracht-Frankfurt,476,5.3,0.0,0.0,20.0,13.0,
