Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Nino,es ESP,"FW,MF",41,37,0.0,10.0,2002-2003,/en/players/03dc5b1f/Nino,03dc5b1f,Elche,"3,333",37.0,2.0,0.0,71,1.0,2036,Elche
,Benja,es ESP,DF,36,36,1.0,2.0,2002-2003,/en/players/f04bc5bc/Benja,f04bc5bc,Elche,"3,141",34.9,12.0,3.0,71,1.0,5103,Elche
,Jose Velasco,,,36,34,2.0,1.0,2002-2003,No detected,,Elche,"2,869",31.9,9.0,1.0,71,,90214,Elche
,Raul Perez,,,33,33,0.0,1.0,2002-2003,No detected,,Elche,"2,717",30.2,10.0,1.0,71,,90215,Elche
,Curro Montoya,es ESP,MF,31,30,1.0,0.0,2002-2003,/en/players/e18e8059/Curro-Montoya,18e8059,Elche,"2,518",28.0,11.0,1.0,71,1.0,5104,Elche
,Raúl Ivars,es ESP,FW,30,28,6.0,5.0,2002-2003,/en/players/c16d1aa5/Raul-Ivars,c16d1aa5,Elche,"2,464",27.4,4.0,1.0,71,1.0,5105,Elche
,Pepelu,es ESP,MF,32,27,1.0,0.0,2002-2003,/en/players/ac7a2a99/Pepelu,c7a2a99,Elche,"2,421",26.9,5.0,0.0,71,1.0,5106,Elche
,José Luis Rondo,gq EQG,DF,29,23,1.0,0.0,2002-2003,/en/players/75ff5751/Jose-Luis-Rondo,75ff5751,Elche,"2,212",24.6,8.0,0.0,71,10.0,5107,Elche
,Jorge Aizkorreta,es ESP,GK,23,23,0.0,0.0,2002-2003,/en/players/eafa7da1/Jorge-Aizkorreta,fa7da1,Elche,"2,070",23.0,4.0,0.0,71,1.0,5108,Elche
,Manolo Serrano,es ESP,MF,27,21,1.0,5.0,2002-2003,/en/players/b89f1066/Manolo-Serrano,b89f1066,Elche,"1,396",15.5,3.0,1.0,71,1.0,5109,Elche
,Miguel Melgar,es ESP,MF,23,20,5.0,3.0,2002-2003,/en/players/bfa43647/Miguel-Melgar,bfa43647,Elche,"1,778",19.8,5.0,0.0,71,1.0,5110,Elche
,Meca,es ESP,FW,30,18,3.0,8.0,2002-2003,/en/players/6219c657/Meca,6219c657,Elche,"1,752",19.5,4.0,0.0,71,1.0,5111,Elche
,Toni Jiménez,es ESP,GK,18,18,0.0,0.0,2002-2003,/en/players/c59ba0f4/Toni-Jimenez,c59ba0f4,Elche,"1,620",18.0,0.0,0.0,71,1.0,2999,Elche
,Leandro Sena,br BRA,MF,23,18,0.0,1.0,2002-2003,/en/players/1721d7af/Leandro-Sena,1721d7af,Elche,"1,528",17.0,5.0,0.0,71,2.0,5112,Elche
,Ricardo Cavas,es ESP,DF,18,18,0.0,0.0,2002-2003,/en/players/639b2723/Ricardo-Cavas,639b2723,Elche,"1,452",16.1,8.0,1.0,71,1.0,3012,Elche
,José Juan Luque,es ESP,MF,19,16,3.0,3.0,2002-2003,/en/players/eb874847/Jose-Juan-Luque,b874847,Elche,"1,402",15.6,8.0,0.0,71,1.0,2316,Elche
,David Cuéllar,es ESP,MF,35,15,1.0,2.0,2002-2003,/en/players/d386f165/David-Cuellar,d386f165,Elche,"1,768",19.6,2.0,0.0,71,1.0,1278,Elche
,Mariano Armentano,ar ARG,FW,22,14,3.0,4.0,2002-2003,/en/players/5819b50b/Mariano-Armentano,5819b50b,Elche,"1,430",15.9,4.0,0.0,71,5.0,5113,Elche
,Juan Cabrejo,es ESP,DF,14,10,0.0,0.0,2002-2003,/en/players/3f2dbe00/Juan-Cabrejo,3f2dbe00,Elche,862,9.6,4.0,0.0,71,1.0,5114,Elche
