2013-2014,Empoli
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Davide Bassi,it ITA,GK,42,42,0,0,"3,780",42.0,0,0,/en/players/b260a8e3/Davide-Bassi,b260a8e3,Davide-Bassi
Massimo Maccarone,it ITA,FW,42,42,10,15,"3,525",39.2,3,0,/en/players/1586379d/Massimo-Maccarone,1586379d,Massimo-Maccaro
Daniele Rugani,it ITA,DF,40,40,0,2,"3,577",39.7,3,0,/en/players/14b8fcdf/Daniele-Rugani,14b8fcdf,Daniele-Rugani
Mirko Valdifiori,it ITA,MF,40,40,6,0,"3,508",39.0,7,0,/en/players/c710f7d5/Mirko-Valdifiori,c710f7d5,Mirko-Valdifiori
Francesco Tavano,it ITA,FW,40,40,4,22,"3,104",34.5,1,0,/en/players/d4a26b3a/Francesco-Tavano,d4a26b3a,Francesco-Tavano
Lorenzo Tonelli,it ITA,DF,37,37,0,3,"3,289",36.5,10,1,/en/players/8cc29864/Lorenzo-Tonelli,8cc29864,Lorenzo-Tonelli
Vincent Laurini,fr FRA,DF,37,37,1,0,"3,198",35.5,9,3,/en/players/3535098b/Vincent-Laurini,3535098b,Vincent-Laurini
Daniele Croce,it ITA,MF,37,37,4,1,"3,094",34.4,6,1,/en/players/e931f5da/Daniele-Croce,931f5da,Daniele-Croc
Elseid Hysaj,al ALB,DF,32,31,0,1,"2,563",28.5,4,3,/en/players/2f3452eb/Elseid-Hysaj,2f3452eb,Elseid-Hysaj
Simone Verdi,it ITA,"FW,MF",40,30,5,5,"2,401",26.7,3,0,/en/players/0375723e/Simone-Verdi,0375723e,Simone-Verdi
Franco Signorelli,ve VEN,MF,33,21,2,0,"1,998",22.2,1,0,/en/players/9f1f4ae9/Franco-Signorelli,9f1f4ae9,Franco-Signorelli
Davide Moro,it ITA,MF,20,16,1,1,"1,348",15.0,5,0,/en/players/235d7b4d/Davide-Moro,235d7b4d,Davide-Moro
Manuel Pucciarelli,it ITA,"FW,MF",37,14,2,6,"1,597",17.7,2,0,/en/players/a1c7b425/Manuel-Pucciarelli,1c7b425,Manuel-Pucciarelli
Mário Rui,pt POR,"DF,MF",26,14,1,0,"1,510",16.8,4,2,/en/players/0b5a292a/Mario-Rui,0b5a292a,Mario-Rui
Federico Barba,it ITA,DF,14,8,0,0,804,8.9,1,0,/en/players/c010b898/Federico-Barba,c010b898,Federico-Barb
Mirko Eramo,it ITA,MF,14,8,1,0,685,7.6,4,1,/en/players/d19fd132/Mirko-Eramo,d19fd132,Mirko-Eramo
Luca Castiglia,it ITA,MF,19,3,0,0,534,5.9,3,0,/en/players/b5674e01/Luca-Castiglia,b5674e01,Luca-Castigli
Ronaldo Pompeu,br BRA,MF,5,1,0,0,120,1.3,1,0,/en/players/86c9bfe8/Ronaldo-Pompeu,86c9bfe8,Ronaldo-Pompeu
Samuele Romeo,it ITA,DF,1,1,0,0,54,0.6,0,0,/en/players/051845e8/Samuele-Romeo,051845e8,Samuele-Romeo
Levan Mchedlidze,ge GEO,"FW,MF",23,0,1,2,353,3.9,5,0,/en/players/54ab361e/Levan-Mchedlidze,54ab361e,Levan-Mchedlidz
Francesco Pratali,it ITA,DF,2,0,0,0,62,0.7,1,0,/en/players/22996f9e/Francesco-Pratali,22996f9e,Francesco-Pratali
Pietro Accardi,it ITA,DF,3,0,0,0,60,0.7,0,1,/en/players/f858882a/Pietro-Accardi,f858882a,Pietro-Accardi
Irakli Shekiladze,ge GEO,FW,3,0,0,0,39,0.4,0,0,/en/players/2eed7bb8/Irakli-Shekiladze,2eed7bb8,Irakli-Shekiladz
Cristiano Camillucci,it ITA,MF,1,0,0,0,3,0.0,0,0,/en/players/d0e00ece/Cristiano-Camillucci,d0e00ece,Cristiano-Camillucci
