2009-2010,Energie-Cottbus
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Gerhard Tremmel,de GER,GK,34,34,0,0,"3,023",33.6,2,0,/en/players/4370cecc/Gerhard-Tremmel,4370cecc,Gerhard-Tremm
Emil Jula,ro ROU,FW,33,32,8,12,"2,890",32.1,4,1,/en/players/bd1d5486/Emil-Jula,bd1d5486,Emil-Ju
Ovidiu Burcă,ro ROU,DF,32,32,0,0,"2,850",31.7,6,0,/en/players/d8ab649d/Ovidiu-Burca,d8ab649d,Ovidiu-Burc
Markus Brzenska,de GER,DF,31,31,0,0,"2,691",29.9,9,1,/en/players/bbea3c59/Markus-Brzenska,bbea3c59,Markus-Brzensk
Stanislav Angelov,bg BUL,"DF,MF",31,30,3,3,"2,601",28.9,6,0,/en/players/192a10a8/Stanislav-Angelov,192a10a8,Stanislav-Angelov
Marc-André Kruska,de GER,MF,28,28,2,3,"2,475",27.5,13,0,/en/players/7ab2fee8/Marc-Andre-Kruska,7ab2fee8,Marc-Andre-Krusk
Adam Straith,ca CAN,"DF,FW",23,21,0,1,"1,858",20.6,1,0,/en/players/57072aac/Adam-Straith,57072aac,Adam-Straith
Marco Kurth,de GER,MF,25,21,1,0,"1,769",19.7,5,0,/en/players/9e09d696/Marco-Kurth,9e09d696,Marco-Kurth
Stiven Rivić,hr CRO,MF,23,19,4,5,"1,755",19.5,5,0,/en/players/a6d3d511/Stiven-Rivic,6d3d511,Stiven-Rivic
Shao Jiayi,cn CHN,MF,25,19,4,8,"1,733",19.3,2,0,/en/players/2969d5da/Shao-Jiayi,2969d5da,Shao-Jiayi
Alexander Bittroff,de GER,DF,22,18,0,2,"1,542",17.1,5,0,/en/players/12420924/Alexander-Bittroff,12420924,Alexander-Bittroff
Sascha Dum,de GER,"DF,MF",21,16,0,0,"1,439",16.0,5,0,/en/players/a67c9d5e/Sascha-Dum,67c9d5e,Sascha-Dum
Sergiu Radu,ro ROU,FW,22,13,0,3,"1,205",13.4,2,0,/en/players/9d535200/Sergiu-Radu,9d535200,Sergiu-Radu
Nils Petersen,de GER,FW,22,13,1,10,"1,102",12.2,0,0,/en/players/f93e6e94/Nils-Petersen,f93e6e94,Nils-Pet
Léonard Kweuke,cm CMR,FW,29,12,2,5,"1,299",14.4,1,0,/en/players/bf779fb9/Leonard-Kweuke,bf779fb9,Leonard-Kweuk
Igor Mitreski,mk MKD,DF,13,11,0,0,"1,037",11.5,1,0,/en/players/3bc433f4/Igor-Mitreski,3bc433f4,Igor-Mitreski
Nils Miatke,de GER,"DF,MF",13,6,0,0,418,4.6,3,0,/en/players/ebd1a73e/Nils-Miatke,bd1a73e,Nils-Miatk
Clemens Fandrich,de GER,MF,10,5,0,1,443,4.9,1,0,/en/players/2f0cd69e/Clemens-Fandrich,2f0cd69e,Clemens-Fandrich
Dennis Sørensen,dk DEN,"FW,MF",7,4,1,0,445,4.9,1,0,/en/players/d9d1807a/Dennis-Sorensen,d9d1807a,Dennis-So
Roger,br BRA,MF,8,3,0,0,347,3.9,1,0,/en/players/3bc07f80/Roger,3bc07f80,Rog
Daniel Ziebig,de GER,"DF,MF",3,2,0,0,175,1.9,0,0,/en/players/8df91f6b/Daniel-Ziebig,8df91f6b,Daniel-Ziebig
Valeriy Sokolenko,ua UKR,DF,4,2,0,1,163,1.8,1,0,/en/players/aca80603/Valeriy-Sokolenko,ca80603,Valeriy-Sokolenko
Heiko Schwarz,de GER,MF,5,1,0,0,119,1.3,1,0,/en/players/c7b00398/Heiko-Schwarz,c7b00398,Heiko-Schwarz
Thomas Franke,de GER,MF,3,1,0,0,107,1.2,0,0,/en/players/39eb4485/Thomas-Franke,39eb4485,Thomas-Frank
Mariusz Kukiełka,pl POL,"DF,MF",2,0,0,0,49,0.5,0,0,/en/players/b53ff1e0/Mariusz-Kukielka,b53ff1e0,Mariusz-Kukielk
Frank Lehmann,de GER,GK,1,0,0,0,37,0.4,0,0,/en/players/7be7f0ea/Frank-Lehmann,7be7f0ea,Frank-Lehm
Julian Börner,de GER,"DF,MF",1,0,0,0,18,0.2,0,0,/en/players/a354cc49/Julian-Borner,354cc49,Julian-Bo
Marc-Philipp Zimmermann,de GER,FW,1,0,0,0,1,0.0,0,0,/en/players/13d5a7b9/Marc-Philipp-Zimmermann,13d5a7b9,Marc-Philipp-Zimmerm
