2002-2003,Energie-Cottbus
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Zsolt Lőw,hu HUN,"DF,MF",31,31,0,0,"2,642",29.4,5,1,/en/players/61c26afc/Zsolt-Low,61c26afc,Zsolt-Low
Vragel da Silva,br BRA,DF,28,28,0,1,"2,497",27.7,7,0,/en/players/74fea9ca/Vragel-da-Silva,74fea9ca,Vragel-da-Silv
Marko Topić,ba BIH,FW,29,28,3,6,"2,333",25.9,6,0,/en/players/878fa37c/Marko-Topic,878fa37c,Marko-Topic
Timo Rost,de GER,MF,27,26,2,2,"2,278",25.3,4,1,/en/players/83bb3128/Timo-Rost,83bb3128,Timo-Rost
Laurențiu Reghecampf,ro ROU,MF,30,24,3,3,"2,045",22.7,7,0,/en/players/346cebbd/Laurentiu-Reghecampf,346cebbd,Laurentiu-Reghecampf
André Lenz,de GER,GK,23,23,0,0,"2,070",23.0,2,0,/en/players/7a8a36d2/Andre-Lenz,7a8a36d2,Andre-Lenz
Silvio Schröter,de GER,MF,25,23,1,0,"2,042",22.7,4,0,/en/players/85c4cc2e/Silvio-Schroter,85c4cc2e,Silvio-Schrot
Gregg Berhalter,us USA,DF,23,22,1,0,"1,989",22.1,6,0,/en/players/90f969fa/Gregg-Berhalter,90f969fa,Gregg-Berhalt
Moussa Latoundji,bj BEN,MF,25,21,1,1,"1,906",21.2,4,0,/en/players/d720f552/Moussa-Latoundji,d720f552,Moussa-Latoundji
Christian Beeck,de GER,DF,16,16,0,1,"1,351",15.0,6,1,/en/players/96e3cf62/Christian-Beeck,96e3cf62,Christian-Beeck
Marco Gebhardt,de GER,"DF,MF",18,16,1,3,"1,340",14.9,4,0,/en/players/832b7808/Marco-Gebhardt,832b7808,Marco-Gebhardt
Robert Vágner,cz CZE,FW,20,16,3,2,"1,340",14.9,1,0,/en/players/6821ca67/Robert-Vagner,6821ca67,Robert-Vag
Radosław Kałużny,pl POL,MF,15,14,0,2,"1,256",14.0,6,0,/en/players/b80ff723/Radoslaw-Kaluzny,b80ff723,Radoslaw-Kaluz
Andrzej Juskowiak,pl POL,FW,24,11,2,5,"1,149",12.8,0,0,/en/players/d234cdc4/Andrzej-Juskowiak,d234cdc4,Andrzej-Juskowiak
Marcel Rozgonyi,de GER,DF,16,10,0,0,"1,073",11.9,1,0,/en/players/2f109f9a/Marcel-Rozgonyi,2f109f9a,Marcel-Rozgonyi
Tomislav Piplica,ba BIH,GK,9,9,0,0,810,9.0,0,0,/en/players/87a8d51c/Tomislav-Piplica,87a8d51c,Tomislav-Piplic
Andrzej Kobylański,pl POL,"FW,MF",16,8,1,1,744,8.3,1,0,/en/players/44f82058/Andrzej-Kobylanski,44f82058,Andrzej-Kobylanski
Paulo Rink,de GER,"FW,MF",13,8,0,3,698,7.8,2,0,/en/players/0fc15098/Paulo-Rink,0fc15098,Paulo-Rink
Vasile Miriuță,hu HUN,MF,7,7,1,0,617,6.9,2,0,/en/players/92f3bf58/Vasile-Miriuta,92f3bf58,Vasile-Miriut
Faruk Hujdurović,ba BIH,DF,11,7,0,0,616,6.8,4,0,/en/players/3914969c/Faruk-Hujdurovic,3914969c,Faruk-Hujdurovic
Bruno Akrapović,ba BIH,MF,7,7,0,0,598,6.6,3,1,/en/players/27935851/Bruno-Akrapovic,27935851,Bruno-Akrapovic
Lars Jungnickel,de GER,"FW,MF",23,5,1,2,696,7.7,1,0,/en/players/1c574ece/Lars-Jungnickel,1c574ece,Lars-Jungnick
Thomas Reichenberger,de GER,FW,11,5,0,0,496,5.5,0,0,/en/players/0e43f0a9/Thomas-Reichenberger,0e43f0a9,Thomas-Reichenberg
Ronny Thielemann,de GER,MF,7,3,0,0,310,3.4,2,1,/en/players/baae37ac/Ronny-Thielemann,baae37ac,Ronny-Thielem
Vilmos Sebők,hu HUN,DF,3,2,0,1,203,2.3,0,0,/en/players/897182a4/Vilmos-Sebok,897182a4,Vilmos-Sebok
Gunnar Berntsen,de GER,GK,2,2,0,0,180,2.0,0,0,/en/players/9cfa989a/Gunnar-Berntsen,9cfa989a,Gunnar-Bernt
Markus Feldhoff,de GER,FW,3,1,0,0,107,1.2,0,0,/en/players/a3c194c7/Markus-Feldhoff,3c194c7,Markus-Feldhoff
Torsten Mattuschka,de GER,MF,4,1,0,0,82,0.9,0,0,/en/players/81e97d1d/Torsten-Mattuschka,81e97d1d,Torsten-Mattuschk
Franklin,br BRA,FW,3,0,0,0,51,0.6,0,0,/en/players/de27b666/Franklin,de27b666,Frankli
Patrick Jahn,de GER,DF,2,0,0,0,7,0.1,0,0,/en/players/b2529f0a/Patrick-Jahn,b2529f0a,Patrick-Jah
﻿2003-2004,Energie-Cottbus
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Laurențiu Reghecampf,ro ROU,MF,32,31,1,9,"2,760",30.7,7,1,/en/players/346cebbd/Laurentiu-Reghecampf,346cebbd,Laurentiu-Reghecampf
Gregg Berhalter,us USA,DF,31,31,0,5,"2,754",30.6,7,0,/en/players/90f969fa/Gregg-Berhalter,90f969fa,Gregg-Berhalt
Timo Rost,de GER,MF,29,29,0,2,"2,441",27.1,5,0,/en/players/83bb3128/Timo-Rost,83bb3128,Timo-Rost
Santiago Silva,uy URU,FW,32,29,4,9,"2,239",24.9,4,0,/en/players/621a2e90/Santiago-Silva,621a2e90,Santiago-Silv
Ronny Nikol,de GER,"DF,MF",30,28,0,0,"2,549",28.3,3,0,/en/players/ffd08edd/Ronny-Nikol,ffd08edd,Ronny-Niko
Marco Gebhardt,de GER,"DF,MF",27,27,2,3,"2,061",22.9,2,0,/en/players/832b7808/Marco-Gebhardt,832b7808,Marco-Gebhardt
Georg Koch,de GER,GK,26,26,0,0,"2,309",25.7,4,0,/en/players/2aeb9841/Georg-Koch,2aeb9841,Georg-Koch
Vragel da Silva,br BRA,DF,29,25,0,2,"2,199",24.4,6,0,/en/players/74fea9ca/Vragel-da-Silva,74fea9ca,Vragel-da-Silv
Christian Beeck,de GER,DF,25,25,0,1,"1,952",21.7,9,2,/en/players/96e3cf62/Christian-Beeck,96e3cf62,Christian-Beeck
Zsolt Lőw,hu HUN,"DF,MF",26,23,0,4,"2,158",24.0,5,1,/en/players/61c26afc/Zsolt-Low,61c26afc,Zsolt-Low
Moussa Latoundji,bj BEN,MF,28,23,1,4,"1,967",21.9,5,2,/en/players/d720f552/Moussa-Latoundji,d720f552,Moussa-Latoundji
Jiří Kaufman,cz CZE,"FW,MF",23,16,3,3,"1,426",15.8,5,0,/en/players/f636c42d/Jiri-Kaufman,f636c42d,Jiri-Kaufm
Robert Vágner,cz CZE,FW,27,15,0,3,"1,476",16.4,3,0,/en/players/6821ca67/Robert-Vagner,6821ca67,Robert-Vag
Benjamin Schöckel,de GER,DF,16,13,0,0,"1,278",14.2,2,0,/en/players/66d94507/Benjamin-Schockel,66d94507,Benjamin-Schock
Adebowale Ogungbure,ng NGA,MF,14,9,0,0,892,9.9,3,0,/en/players/ea58354c/Adebowale-Ogungbure,58354c,Adebowale-Ogungbu
Tomislav Piplica,ba BIH,GK,9,8,0,0,725,8.1,0,0,/en/players/87a8d51c/Tomislav-Piplica,87a8d51c,Tomislav-Piplic
Markus Anfang,de GER,MF,8,5,0,0,438,4.9,0,0,/en/players/6f326dd6/Markus-Anfang,6f326dd6,Markus-Anfang
Faruk Hujdurović,ba BIH,DF,5,3,0,0,244,2.7,2,1,/en/players/3914969c/Faruk-Hujdurovic,3914969c,Faruk-Hujdurovic
Torsten Mattuschka,de GER,MF,4,3,0,0,207,2.3,1,0,/en/players/81e97d1d/Torsten-Mattuschka,81e97d1d,Torsten-Mattuschk
Adrian Iordache,ro ROU,FW,29,2,4,5,742,8.2,2,1,/en/players/711150a3/Adrian-Iordache,711150a3,Adrian-Iordach
Lars Jungnickel,de GER,"FW,MF",3,1,0,0,115,1.3,0,0,/en/players/1c574ece/Lars-Jungnickel,1c574ece,Lars-Jungnick
Tomasz Bandrowski,pl POL,MF,2,1,0,0,111,1.2,0,0,/en/players/b6e37d4b/Tomasz-Bandrowski,b6e37d4b,Tomasz-Bandrowski
