2015-2016,Espanyol
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Álvaro González,es ESP,DF,36,36,1,0,"3,226",35.8,10,0,/en/players/42dcf26d/Alvaro-Gonzalez,42dcf26d,Alvaro-Gonzalez
Pau López,es ESP,GK,36,35,0,0,"3,195",35.5,4,0,/en/players/20b9f052/Pau-Lopez,20b9f052,Pau-Lopez
Marco Asensio,es ESP,"MF,FW",34,33,8,4,"2,825",31.4,3,0,/en/players/45af8a54/Marco-Asensio,45af8a54,Marco-Asensio
Papakouli Diop,sn SEN,MF,30,29,1,3,"2,481",27.6,15,1,/en/players/7329018e/Papakouli-Diop,7329018e,Papakouli-Dio
Javi López,es ESP,"DF,MF",31,28,2,0,"2,422",26.9,11,0,/en/players/ffad706e/Javi-Lopez,ffad706e,Javi-Lopez
Víctor Sánchez,es ESP,MF,29,28,6,1,"2,290",25.4,15,2,/en/players/ad4d0985/Victor-Sanchez,d4d0985,Victor-Sanchez
Hernán Pérez,py PAR,"MF,FW",32,27,1,7,"2,445",27.2,12,0,/en/players/e1cea3f7/Hernan-Perez,1cea3f7,Hernan-Perez
Enzo Roco,cl CHI,DF,33,26,0,2,"2,466",27.4,9,0,/en/players/37f827ec/Enzo-Roco,37f827ec,Enzo-Roco
Felipe Caicedo,ec ECU,FW,31,26,0,8,"2,136",23.7,6,0,/en/players/93b891d1/Felipe-Caicedo,93b891d1,Felipe-Caicedo
Víctor Álvarez,es ESP,"MF,DF",27,25,2,1,"1,959",21.8,6,0,/en/players/563f3469/Victor-Alvarez,563f3469,Victor-Alvarez
Rubén Duarte,es ESP,DF,22,21,1,0,"1,863",20.7,5,0,/en/players/1fe0492d/Ruben-Duarte,1fe0492d,Ruben-Duart
Gerard Moreno,es ESP,"FW,MF",32,19,3,7,"1,915",21.3,5,1,/en/players/81f0781e/Gerard-Moreno,81f0781e,Gerard-Moreno
Óscar Duarte,cr CRC,"DF,MF",14,13,0,1,"1,195",13.3,5,0,/en/players/aa0ac32d/Oscar-Duarte,0ac32d,Oscar-Duart
Abraham González,es ESP,MF,20,13,1,1,"1,101",12.2,1,0,/en/players/682bd745/Abraham-Gonzalez,682bd745,Abraham-Gonzalez
Juan Rafael Fuentes,es ESP,DF,10,9,0,0,757,8.4,2,0,/en/players/5b54a75f/Juan-Rafael-Fuentes,5b54a75f,Juan-Rafael-Fuent
Burgui,es ESP,"MF,FW",26,8,3,1,984,10.9,0,0,/en/players/45e304c8/Burgui,45e304c8,Burgui
José Cañas,es ESP,MF,13,7,0,0,692,7.7,5,0,/en/players/ab77f2d9/Jose-Canas,b77f2d9,Jose-C
Anaitz Arbilla,es ESP,DF,7,7,0,0,630,7.0,3,0,/en/players/850c0a0d/Anaitz-Arbilla,850c0a0d,Anaitz-Arbi
Joan Jordán,es ESP,MF,9,5,0,1,626,7.0,3,0,/en/players/2a0c8ba4/Joan-Jordan,2a0c8ba4,Joan-Jord
Salva Sevilla,es ESP,MF,15,5,0,1,533,5.9,3,0,/en/players/75bd85ea/Salva-Sevilla,75bd85ea,Salva-Sevi
Rober Correa,es ESP,DF,7,5,0,0,467,5.2,4,1,/en/players/46bd3a5b/Rober-Correa,46bd3a5b,Rober-Co
Antonio Raillo,es ESP,DF,4,4,0,0,360,4.0,1,0,/en/players/b857bd29/Antonio-Raillo,b857bd29,Antonio-Raillo
Giedrius Arlauskis,lt LTU,GK,3,3,0,0,225,2.5,0,0,/en/players/1858bbf7/Giedrius-Arlauskis,1858bbf7,Giedrius-Arlauski
Mamadou Sylla,sn SEN,FW,14,2,0,0,339,3.8,3,0,/en/players/e5ec95f8/Mamadou-Sylla,5ec95f8,Mamadou-S
Paco Montañés,es ESP,MF,7,2,0,0,275,3.1,1,0,/en/players/9cc493b1/Paco-Montanes,9cc493b1,Paco-Mont
Michaël Ciani,fr FRA,DF,2,2,0,0,135,1.5,0,0,/en/players/2ce3dc98/Michael-Ciani,2ce3dc98,Michael-Ciani
Francesco Bardi,it ITA,GK,0,0,,,,,,,/en/players/0acda699/Francesco-Bardi,0acda699,Francesco-Bardi
Lluis López,es ESP,DF,0,0,,,,,,,/en/players/a685f013/Lluis-Lopez,685f013,Lluis-Lopez
Andrés Prieto,es ESP,GK,0,0,,,,,,,/en/players/113fb4ea/Andres-Prieto,113fb4ea,Andres-Prieto
