2006-2007,Everton
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Joseph Yobo,ng NGA,DF,38,38,0,2,"3,420",38.0,3,0,/en/players/acd633df/Joseph-Yobo,cd633df,Joseph-Yobo
Lee Carsley,ie IRL,MF,38,38,3,1,"3,374",37.5,3,0,/en/players/8393a60b/Lee-Carsley,8393a60b,Lee-C
Joleon Lescott,eng ENG,DF,38,36,1,2,"3,317",36.9,2,0,/en/players/62393d3b/Joleon-Lescott,62393d3b,Joleon-Lescott
Tim Howard,us USA,GK,36,36,0,0,"3,240",36.0,1,0,/en/players/c444465e/Tim-Howard,c444465e,Tim-Howard
Mikel Arteta,es ESP,MF,35,35,9,9,"3,137",34.9,9,0,/en/players/d934d1e6/Mikel-Arteta,d934d1e6,Mikel-Artet
Phil Neville,eng ENG,"DF,MF",35,35,5,1,"3,113",34.6,7,0,/en/players/3db5e0ec/Phil-Neville,3db5e0ec,Phil-Nevi
Andrew Johnson,eng ENG,FW,32,32,2,11,"2,717",30.2,4,0,/en/players/facd1b3e/Andrew-Johnson,facd1b3e,Andrew-Johnso
Leon Osman,eng ENG,MF,34,31,1,3,"2,810",31.2,5,0,/en/players/a014c247/Leon-Osman,014c247,Leon-Osm
Alan Stubbs,eng ENG,DF,24,24,0,2,"2,089",23.2,3,0,/en/players/474865f9/Alan-Stubbs,474865f9,Alan-Stubb
Tim Cahill,au AUS,"FW,MF",18,17,3,5,"1,404",15.6,5,0,/en/players/e5a2dfc2/Tim-Cahill,5a2dfc2,Tim-Cahi
James Beattie,eng ENG,FW,33,15,3,2,"1,459",16.2,4,0,/en/players/7c881089/James-Beattie,7c881089,James-Beatti
Manuel Fernandes,pt POR,MF,19,15,1,2,"1,311",14.6,4,0,/en/players/13ac19de/Manuel-Fernandes,13ac19de,Manuel-Fernand
Tony Hibbert,eng ENG,DF,13,12,0,0,970,10.8,1,1,/en/players/c878c4bf/Tony-Hibbert,c878c4bf,Tony-Hibbert
Gary Naysmith,sct SCO,"DF,MF",15,10,0,1,988,11.0,0,0,/en/players/71cbf286/Gary-Naysmith,71cbf286,Gary-Naysmith
Nuno Valente,pt POR,DF,14,10,0,0,897,10.0,1,0,/en/players/ac474cf2/Nuno-Valente,c474cf2,Nuno-Valent
James Vaughan,eng ENG,FW,14,7,1,4,652,7.2,5,0,/en/players/4fb0dc59/James-Vaughan,4fb0dc59,James-Vaugh
James McFadden,sct SCO,"FW,MF",19,6,1,2,786,8.7,1,0,/en/players/2cfdae75/James-McFadden,2cfdae75,James-McFadd
Victor Anichebe,ng NGA,FW,19,5,1,3,616,6.8,6,0,/en/players/4aed5c19/Victor-Anichebe,4aed5c19,Victor-Anicheb
Andy van der Meyde,nl NED,"FW,MF",8,5,0,0,387,4.3,1,0,/en/players/d44b1ec0/Andy-van-der-Meyde,d44b1ec0,Andy-van-der-Meyd
David Weir,sct SCO,DF,5,2,0,0,151,1.7,0,0,/en/players/ba286fd8/David-Weir,ba286fd8,David-Wei
Iain Turner,sct SCO,GK,1,1,0,0,90,1.0,0,0,/en/players/bab68c3c/Iain-Turner,bab68c3c,Iain-Tu
Richard Wright,eng ENG,GK,1,1,0,0,90,1.0,0,0,/en/players/d9e2e2ae/Richard-Wright,d9e2e2ae,Richard-Wright
Anderson Silva,br BRA,MF,1,0,0,0,2,0.0,0,0,/en/players/3e908744/Anderson-Silva,3e908744,Anderson-Silv
Mark Hughes,eng ENG,DF,1,0,0,0,1,0.0,0,0,/en/players/5f4b1c49/Mark-Hughes,5f4b1c49,Mark-Hugh
