,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Bertrand Laquait,/en/players/ab05bd3c/Bertrand-Laquait,b05bd3c,Bertrand-Laquait,fr FRA,GK
1,Olivier Sorlin,/en/players/935faf11/Olivier-Sorlin,935faf11,Olivier-Sorli,fr FRA,MF
2,Guillaume Lacour,/en/players/53660034/Guillaume-Lacour,53660034,Guillaume-Lacou,fr FRA,MF
3,Aldo Angoula,/en/players/301a013a/Aldo-Angoula,301a013a,Aldo-Angou,fr FRA,DF
4,Kévin Bérigaud,/en/players/3250c6cd/Kevin-Berigaud,3250c6cd,Kevin-Berigaud,fr FRA,FW
5,Yannick Sagbo,/en/players/8320d584/Yannick-Sagbo,8320d584,Yannick-Sagbo,ci CIV,FW
6,Oumar Pouye,/en/players/485d0163/Oumar-Pouye,485d0163,Oumar-Pou,sn SEN,MF
7,Cédric Cambon,/en/players/0f4567db/Cedric-Cambon,0f4567db,Cedric-Cambo,fr FRA,"DF,MF"
8,Youssef Adnane,/en/players/0cb152eb/Youssef-Adnane,0cb152eb,Youssef-Ad,fr FRA,FW
9,Nicolas Farina,/en/players/3c5c18f8/Nicolas-Farina,3c5c18f8,Nicolas-Fari,fr FRA,MF
10,Felipe Saad,/en/players/7a7eb049/Felipe-Saad,7a7eb049,Felipe-Saad,br BRA,DF
11,Pierre Bouby,/en/players/84433c57/Pierre-Bouby,84433c57,Pierre-Boub,fr FRA,"DF,MF"
12,Éric Tié Bi,/en/players/eb4a5714/Eric-Tie-Bi,b4a5714,Eric-Tie-Bi,ci CIV,MF
13,Franck Dja Djédjé,/en/players/59feef54/Franck-Dja-Djedje,59feef54,Franck-Dja-Djedj,ci CIV,"FW,MF"
14,Guillaume Rippert,/en/players/0a17b9f9/Guillaume-Rippert,0a17b9f9,Guillaume-Rippert,fr FRA,DF
15,Cédric Barbosa,/en/players/21378be8/Cedric-Barbosa,21378be8,Cedric-Barbo,fr FRA,MF
16,Caçapa,/en/players/887c3af5/Cacapa,887c3af5,Cac,br BRA,"DF,MF"
17,Mohammed Rabiu,/en/players/f4a9eb92/Mohammed-Rabiu,f4a9eb92,Mohammed-Rabiu,gh GHA,MF
18,Quentin Westberg,/en/players/5480ae05/Quentin-Westberg,5480ae05,Quentin-Westberg,us USA,GK
19,Nicolas Goussé,/en/players/87e3288a/Nicolas-Gousse,87e3288a,Nicolas-Gou,fr FRA,FW
20,Saša Cilinšek,/en/players/c85c23a4/Sasa-Cilinsek,c85c23a4,Sasa-Cilinsek,rs SRB,DF
21,Jonathan Roufosse,/en/players/01533f53/Jonathan-Roufosse,01533f53,Jonathan-Roufo,fr FRA,MF
