2019-2020,Fiorentina
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Nikola Milenković,rs SRB,DF,37,36,0,5,"3,258",36.2,9,0,/en/players/bee704fc/Nikola-Milenkovic,bee704fc,Nikola-Milenkovic
Germán Pezzella,ar ARG,DF,33,33,1,3,"2,830",31.4,12,0,/en/players/8c725b43/German-Pezzella,8c725b43,German-Pezz
Erick Pulgar,cl CHI,MF,37,32,6,7,"2,950",32.8,9,0,/en/players/4611e028/Erick-Pulgar,4611e028,Erick-Pulg
Bartłomiej Drągowski,pl POL,GK,31,31,0,0,"2,790",31.0,1,0,/en/players/085e71a7/Bartlomiej-Dragowski,085e71a7,Bartlomiej-Dragowski
Gaetano Castrovilli,it ITA,MF,33,31,2,3,"2,673",29.7,10,0,/en/players/0728bebe/Gaetano-Castrovilli,0728bebe,Gaetano-Castrovilli
Federico Chiesa,it ITA,"FW,DF",34,31,6,10,"2,637",29.3,7,0,/en/players/b0f7e36c/Federico-Chiesa,b0f7e36c,Federico-Chi
Pol Lirola,es ESP,DF,35,30,2,0,"2,648",29.4,4,0,/en/players/ff800ed8/Pol-Lirola,ff800ed8,Pol-Liro
Dalbert Henrique,br BRA,"DF,MF",31,29,5,0,"2,484",27.6,8,1,/en/players/f45f9427/Dalbert-Henrique,f45f9427,Dalbert-Henriqu
Martín Cáceres,uy URU,DF,27,27,0,1,"2,356",26.2,10,1,/en/players/e94d79e3/Martin-Caceres,94d79e3,Martin-Cac
Milan Badelj,hr CRO,MF,22,20,0,1,"1,585",17.6,3,1,/en/players/e8c930bb/Milan-Badelj,8c930bb,Milan-Badelj
Franck Ribéry,fr FRA,FW,21,19,3,3,"1,409",15.7,3,0,/en/players/f61c7c4e/Franck-Ribery,f61c7c4e,Franck-Rib
Dušan Vlahović,rs SRB,FW,30,13,0,6,"1,499",16.7,4,1,/en/players/79443529/Dusan-Vlahovic,79443529,Dusan-Vlahovic
Marco Benassi,it ITA,MF,18,10,1,1,980,10.9,1,0,/en/players/0000acda/Marco-Benassi,0000acda,Marco-Benassi
Alfred Duncan,gh GHA,MF,13,10,1,1,887,9.9,2,0,/en/players/528492ea/Alfred-Duncan,528492ea,Alfred-Dunc
Lorenzo Venuti,it ITA,"DF,MF",16,10,1,0,858,9.5,4,0,/en/players/983ff2c7/Lorenzo-Venuti,983ff2c7,Lorenzo-Venuti
Patrick Cutrone,it ITA,FW,19,9,1,4,838,9.3,1,0,/en/players/a4fe8cda/Patrick-Cutrone,4fe8cda,Patrick-Cutro
Rachid Ghezzal,dz ALG,"MF,FW",19,9,0,1,828,9.2,5,0,/en/players/dc3a9a0d/Rachid-Ghezzal,dc3a9a0d,Rachid-Ghezz
Federico Ceccherini,it ITA,DF,15,8,0,0,835,9.3,3,0,/en/players/d9624b51/Federico-Ceccherini,d9624b51,Federico-Ceccherini
Pietro Terracciano,it ITA,GK,7,7,0,0,624,6.9,0,0,/en/players/e1b0a70d/Pietro-Terracciano,1b0a70d,Pietro-Terracciano
Igor,br BRA,DF,9,6,0,0,611,6.8,2,0,/en/players/a4e85758/Igor,4e85758,Igo
Kevin-Prince Boateng,gh GHA,FW,14,6,0,1,599,6.7,2,0,/en/players/f4ec4fd0/Kevin-Prince-Boateng,f4ec4fd0,Kevin-Prince-Boateng
Riccardo Sottil,it ITA,"FW,DF",18,4,0,0,514,5.7,3,0,/en/players/94816803/Riccardo-Sottil,94816803,Riccardo-Sotti
Christian Kouamé,ci CIV,"FW,MF",7,3,1,1,301,3.3,0,0,/en/players/58e933d2/Christian-Kouame,58e933d2,Christian-Kouam
Luca Ranieri,it ITA,DF,3,2,0,0,232,2.6,2,1,/en/players/8c63fae5/Luca-Ranieri,8c63fae5,Luca-Ranieri
Sebastián Cristóforo,uy URU,MF,1,1,0,0,90,1.0,0,0,/en/players/3c05c659/Sebastian-Cristoforo,3c05c659,Sebastian-Cristoforo
Kevin Agudelo,co COL,"MF,FW",3,1,0,0,64,0.7,0,0,/en/players/46fa7204/Kevin-Agudelo,46fa7204,Kevin-Agudelo
Pedro,br BRA,FW,4,0,0,0,63,0.7,0,0,/en/players/1ab6fad3/Pedro,1ab6fad3,Pedro
Valentin Eysseric,fr FRA,"FW,MF",3,0,0,0,42,0.5,0,0,/en/players/ae82fa48/Valentin-Eysseric,82fa48,Valentin-Eysseric
Szymon Żurkowski,pl POL,MF,2,0,0,0,12,0.1,0,0,/en/players/4e1d5e59/Szymon-Zurkowski,4e1d5e59,Szymon-Zurkowski
Maximiliano Olivera,uy URU,MF,1,0,0,0,9,0.1,0,0,/en/players/32a33c68/Maximiliano-Olivera,32a33c68,Maximiliano-Oliv
Aleksa Terzić,rs SRB,MF,2,0,0,0,8,0.1,0,0,/en/players/3ef0a2d7/Aleksa-Terzic,3ef0a2d7,Aleksa-Terzic
Federico Brancolini,it ITA,GK,1,0,0,0,6,0.1,0,0,/en/players/d4890c25/Federico-Brancolini,d4890c25,Federico-Brancolini
Christian Dalle Mura,it ITA,FW,1,0,0,0,1,0.0,0,0,/en/players/f32df091/Christian-Dalle-Mura,f32df091,Christian-Dalle-Mu
Cristiano Biraghi,it ITA,"DF,MF",0,0,,,,,,,/en/players/9e1577aa/Cristiano-Biraghi,9e1577aa,Cristiano-Biraghi
Michele Cerofolini,it ITA,GK,0,0,,,,,,,/en/players/efdeaff3/Michele-Cerofolini,fdeaff3,Michele-Cerofolini
Niccolò Chiorra,it ITA,GK,0,0,,,,,,,/en/players/c89c821b/Niccolo-Chiorra,c89c821b,Niccolo-Chio
Nicky Medja,ch SUI,MF,0,0,,,,,,,/en/players/714ffae7/Nicky-Medja,714ffae7,Nicky-Medj
Cristóbal Montiel,es ESP,MF,0,0,,,,,,,/en/players/dd52d069/Cristobal-Montiel,dd52d069,Cristobal-Monti
Jacob Rasmussen,dk DEN,DF,0,0,,,,,,,/en/players/283699b4/Jacob-Rasmussen,283699b4,Jacob-Rasmu
Giovanni Simeone,ar ARG,FW,0,0,,,,,,,/en/players/343c0d52/Giovanni-Simeone,343c0d52,Giovanni-Simeo
