2019-2020,Freiburg
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Christian Günter,de GER,DF,34,34,8,2,"3,029",33.7,2,0,/en/players/8593f88c/Christian-Gunter,8593f88c,Christian-Gunt
Jonathan Schmid,fr FRA,DF,33,31,1,5,"2,836",31.5,1,0,/en/players/088ca1bd/Jonathan-Schmid,088ca1bd,Jonathan-Schmid
Nicolas Höfler,de GER,MF,32,31,0,1,"2,783",30.9,9,0,/en/players/5d8e331f/Nicolas-Hofler,5d8e331f,Nicolas-Hof
Robin Koch,de GER,"DF,MF",32,31,0,1,"2,705",30.1,3,0,/en/players/ea6bc03a/Robin-Koch,6bc03a,Robin-Koch
Lucas Höler,de GER,"FW,MF",34,28,2,8,"2,485",27.6,4,0,/en/players/ca618d23/Lucas-Holer,ca618d23,Lucas-Ho
Dominique Heintz,de GER,DF,28,27,1,0,"2,434",27.0,2,0,/en/players/699fb8db/Dominique-Heintz,699fb8db,Dominique-Heintz
Nils Petersen,de GER,"FW,MF",34,24,2,11,"2,436",27.1,1,0,/en/players/f93e6e94/Nils-Petersen,f93e6e94,Nils-Pet
Alexander Schwolow,de GER,GK,24,24,0,0,"2,091",23.2,0,0,/en/players/0d55d942/Alexander-Schwolow,0d55d942,Alexander-Schwolow
Philipp Lienhart,at AUT,DF,22,20,1,0,"1,817",20.2,3,0,/en/players/302527b2/Philipp-Lienhart,302527b2,Philipp-Lienhart
Janik Haberer,de GER,MF,26,20,2,2,"1,721",19.1,5,1,/en/players/70dcf94d/Janik-Haberer,70dcf94d,Janik-Hab
Vincenzo Grifo,it ITA,MF,26,17,8,4,"1,618",18.0,1,1,/en/players/54e4866f/Vincenzo-Grifo,54e4866f,Vincenzo-Grifo
Manuel Gulde,de GER,DF,17,15,0,1,"1,371",15.2,0,0,/en/players/25ab9c9c/Manuel-Gulde,25ab9c9c,Manuel-Guld
Roland Sallai,hu HUN,MF,21,15,0,2,"1,162",12.9,2,0,/en/players/bf075f6b/Roland-Sallai,bf075f6b,Roland-Sallai
Luca Waldschmidt,de GER,"FW,MF",23,14,1,7,"1,268",14.1,3,0,/en/players/e5a35ae9/Luca-Waldschmidt,5a35ae9,Luca-Waldschmidt
Mark Flekken,nl NED,GK,10,10,0,0,900,10.0,0,0,/en/players/a92ab7be/Mark-Flekken,92ab7be,Mark-Flekk
Amir Abrashi,al ALB,MF,13,8,0,0,663,7.4,3,0,/en/players/1c08a3c8/Amir-Abrashi,1c08a3c8,Amir-Abrashi
Kwon Chang-hoon,kr KOR,"MF,FW",23,6,0,2,676,7.5,0,0,/en/players/7961f7aa/Kwon-Chang-hoon,7961f7aa,Kwon-Chang-hoo
Nico Schlotterbeck,de GER,DF,13,4,0,0,373,4.1,0,0,/en/players/34e12499/Nico-Schlotterbeck,34e12499,Nico-Schlotterbeck
Brandon Borrello,au AUS,"MF,FW",7,4,0,0,298,3.3,0,0,/en/players/b4d90315/Brandon-Borrello,b4d90315,Brandon-Borrello
Mike Frantz,de GER,MF,18,3,1,0,350,3.9,2,0,/en/players/482b70ad/Mike-Frantz,482b70ad,Mike-Frantz
Lukas Kübler,de GER,DF,5,3,0,0,209,2.3,1,0,/en/players/2a29eb9b/Lukas-Kubler,2a29eb9b,Lukas-Kub
Yannik Keitel,de GER,MF,3,2,0,0,174,1.9,0,0,/en/players/d2c580ce/Yannik-Keitel,d2c580ce,Yannik-Keit
Jérôme Gondorf,de GER,MF,2,2,0,0,120,1.3,1,0,/en/players/49ffe0f2/Jerome-Gondorf,49ffe0f2,Jerome-Gondorf
Lino Tempelmann,de GER,MF,1,1,0,0,33,0.4,0,0,/en/players/4e3a947f/Lino-Tempelmann,4e3a947f,Lino-Tempelm
Niclas Thiede,de GER,GK,1,0,0,0,69,0.8,0,0,/en/players/cac55e10/Niclas-Thiede,cac55e10,Niclas-Thied
Gian-Luca Itter,de GER,"DF,MF",3,0,0,0,35,0.4,0,0,/en/players/e6c15f6e/Gian-Luca-Itter,6c15f6e,Gian-Luca-Itt
Tim Kleindienst,de GER,FW,0,0,,,,,,,/en/players/258a6f4d/Tim-Kleindienst,258a6f4d,Tim-Kleindienst
Yoric Ravet,fr FRA,"FW,MF",0,0,,,,,,,/en/players/4d74201d/Yoric-Ravet,4d74201d,Yoric-Ravet
Jeong Woo-yeong,kr KOR,"FW,MF",0,0,,,,,,,/en/players/6190474d/Jeong-Woo-yeong,6190474d,Jeong-Woo-yeong
