2014-2015,Frosinone
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Daniel Ciofani,it ITA,FW,41,34,5,13,"3,202",35.6,2,0,/en/players/b09a3ecc/Daniel-Ciofani,b09a3ecc,Daniel-Ciofani
Leonardo Blanchard,it ITA,DF,35,34,0,3,"3,053",33.9,12,2,/en/players/7359f559/Leonardo-Blanchard,7359f559,Leonardo-Blanchard
Robert Gucher,at AUT,MF,34,32,1,3,"2,901",32.2,10,0,/en/players/7ef612ab/Robert-Gucher,7ef612ab,Robert-Guch
Federico Dionisi,it ITA,FW,36,32,9,14,"2,798",31.1,9,1,/en/players/a74d2999/Federico-Dionisi,74d2999,Federico-Dionisi
Roberto Crivello,it ITA,DF,29,28,1,0,"2,511",27.9,7,2,/en/players/1e092d9c/Roberto-Crivello,1e092d9c,Roberto-Crivello
Damiano Zanon,it ITA,DF,31,28,0,0,"2,462",27.4,10,0,/en/players/3f0adc44/Damiano-Zanon,3f0adc44,Damiano-Zano
Mirko Gori,it ITA,MF,29,26,2,1,"2,209",24.5,10,1,/en/players/7d86864c/Mirko-Gori,7d86864c,Mirko-Gori
Massimo Zappino,br BRA,GK,25,25,0,0,"2,250",25.0,2,1,/en/players/03d5e282/Massimo-Zappino,03d5e282,Massimo-Zappino
Danilo Soddimo,it ITA,MF,29,24,1,3,"1,863",20.7,9,2,/en/players/098139eb/Danilo-Soddimo,098139eb,Danilo-Soddimo
Matteo Ciofani,it ITA,"DF,MF",29,23,0,1,"2,132",23.7,11,0,/en/players/d9448e6b/Matteo-Ciofani,d9448e6b,Matteo-Ciofani
Luca Paganini,it ITA,"FW,MF",29,23,2,4,"2,127",23.6,7,1,/en/players/e5b98a70/Luca-Paganini,5b98a70,Luca-Paganini
Adriano Russo,it ITA,DF,23,22,0,0,"1,995",22.2,9,1,/en/players/3ace4299/Adriano-Russo,3ace4299,Adriano-Russo
Mirko Pigliacelli,it ITA,GK,17,17,0,0,"1,530",17.0,0,0,/en/players/6ab82588/Mirko-Pigliacelli,6ab82588,Mirko-Pigliacelli
Alessandro Frara,it ITA,MF,28,14,1,2,"1,432",15.9,2,0,/en/players/9ad115ba/Alessandro-Frara,9ad115ba,Alessandro-F
Massimiliano Carlini,it ITA,FW,28,13,1,3,"1,362",15.1,5,0,/en/players/fc478db0/Massimiliano-Carlini,fc478db0,Massimiliano-Carlini
Gaetano Masucci,it ITA,FW,14,11,2,1,752,8.4,4,0,/en/players/2f98644a/Gaetano-Masucci,2f98644a,Gaetano-Masucci
Raffaele Schiavi,it ITA,DF,10,10,0,0,854,9.5,4,0,/en/players/9c9b074a/Raffaele-Schiavi,9c9b074a,Raffaele-Schiavi
Davis Curiale,it ITA,FW,19,8,2,9,810,9.0,1,0,/en/players/c564e4a9/Davis-Curiale,c564e4a9,Davis-Curi
Gianluca Musacci,it ITA,MF,15,8,2,0,764,8.5,3,1,/en/players/64788877/Gianluca-Musacci,64788877,Gianluca-Musacci
Davide Bertoncini,it ITA,"DF,MF",11,8,0,0,748,8.3,1,0,/en/players/cab28bbe/Davide-Bertoncini,cab28bbe,Davide-Bertoncini
Uroš Ćosić,rs SRB,DF,11,8,0,0,717,8.0,4,0,/en/players/69960ac3/Uros-Cosic,69960ac3,Uros-Cosic
Paolo Sammarco,it ITA,MF,12,8,0,1,692,7.7,1,0,/en/players/3c1e4e84/Paolo-Sammarco,3c1e4e84,Paolo-Sammarco
Andrea Gessa,it ITA,MF,10,6,0,0,503,5.6,3,0,/en/players/9b2e7bac/Andrea-Gessa,9b2e7bac,Andrea-G
Arturo Lupoli,it ITA,FW,11,6,0,1,492,5.5,2,0,/en/players/2ab6b9d1/Arturo-Lupoli,2ab6b9d1,Arturo-Lupoli
Manuel Pamić,hr CRO,"DF,MF",6,6,0,0,469,5.2,2,0,/en/players/daa27071/Manuel-Pamic,daa27071,Manuel-Pamic
Mario Santana,ar ARG,MF,12,4,0,1,380,4.2,1,0,/en/players/a48abd4a/Mario-Santana,48abd4a,Mario-Sant
Daniele Altobelli,it ITA,MF,8,3,0,0,289,3.2,1,0,/en/players/d128a2c3/Daniele-Altobelli,d128a2c3,Daniele-Altobelli
Luis Fraiz,pa PAN,DF,1,1,0,0,60,0.7,0,0,/en/players/27ee1bea/Luis-Fraiz,27ee1bea,Luis-Fraiz
Enrico Crescenzi,it ITA,MF,1,0,0,0,35,0.4,1,0,/en/players/ce06dd62/Enrico-Crescenzi,ce06dd62,Enrico-Crescenzi
Lorenzo Ranelli,it ITA,DF,1,0,0,0,21,0.2,1,0,/en/players/de5fea91/Lorenzo-Ranelli,de5fea91,Lorenzo-Ranelli
Victor De Lucia,it ITA,GK,0,0,,,,,,,/en/players/12daa2f5/Victor-De-Lucia,12daa2f5,Victor-De-Luci
Fabio Formato,it ITA,DF,0,0,,,,,,,/en/players/8a061174/Fabio-Formato,8a061174,Fabio-Formato
Marco Preti,it ITA,MF,0,0,,,,,,,/en/players/87a331d7/Marco-Preti,87a331d7,Marco-Preti
