,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Massimo Perra,/en/players/dbfb4eac/Massimo-Perra,dbfb4eac,Massimo-P,it ITA,MF
1,Francesco Lodi,/en/players/3ddc8b87/Francesco-Lodi,3ddc8b87,Francesco-Lodi,it ITA,MF
2,Massimo Margiotta,/en/players/8056b6e9/Massimo-Margiotta,8056b6e9,Massimo-Margiott,ve VEN,FW
3,Massimo Zappino,/en/players/03d5e282/Massimo-Zappino,03d5e282,Massimo-Zappino,br BRA,GK
4,David D'Antoni,/en/players/416f3cfd/David-DAntoni,416f3cfd,David-DAntoni,it ITA,MF
5,Juriy Cannarsa,/en/players/95aa77d7/Juriy-Cannarsa,95aa77d7,Juriy-C,it ITA,DF
7,Nicola Pagani,/en/players/36d35b09/Nicola-Pagani,36d35b09,Nicola-Pagani,it ITA,DF
8,Jimmy Fialdini,/en/players/834a0c36/Jimmy-Fialdini,834a0c36,Jimmy-Fialdini,it ITA,MF
9,Francesco Carbone,/en/players/4c2675b6/Francesco-Carbone,4c2675b6,Francesco-Carbo,it ITA,DF
10,Michele Ischia,/en/players/e22b3a66/Michele-Ischia,22b3a66,Michele-Ischi,it ITA,DF
11,Antonio Di Nardo,/en/players/2f50004e/Antonio-Di-Nardo,2f50004e,Antonio-Di-Nardo,it ITA,FW
13,Salvatore Bocchetti,/en/players/faa1b07d/Salvatore-Bocchetti,faa1b07d,Salvatore-Bocchetti,it ITA,DF
14,Gianluca Galasso,/en/players/c56c9c37/Gianluca-Galasso,c56c9c37,Gianluca-Galasso,it ITA,DF
15,José Ignacio Castillo,/en/players/ef17e0bd/Jose-Ignacio-Castillo,f17e0bd,Jose-Ignacio-Castillo,ar ARG,FW
16,Mauro Chiodini,/en/players/29586cde/Mauro-Chiodini,29586cde,Mauro-Chiodini,it ITA,GK
17,Giuseppe Anaclerio,/en/players/0fb2104e/Giuseppe-Anaclerio,0fb2104e,Giuseppe-Anaclerio,it ITA,MF
18,Stefano Argilli,/en/players/50d2ebfe/Stefano-Argilli,50d2ebfe,Stefano-Argilli,it ITA,MF
19,Guido Di Deo,/en/players/2547053b/Guido-Di-Deo,2547053b,Guido-Di-Deo,it ITA,MF
20,Lucas Rimoldi,/en/players/b00c30ef/Lucas-Rimoldi,b00c30ef,Lucas-Rimoldi,ar ARG,MF
21,Luca Lacrimini,/en/players/2648d25a/Luca-Lacrimini,2648d25a,Luca-Lacrimini,it ITA,DF
22,Salvatore Mastronunzio,/en/players/c1af9e89/Salvatore-Mastronunzio,c1af9e89,Salvatore-Mastronunzio,it ITA,FW
24,Vincenzo Sicignano,/en/players/acb7cc4a/Vincenzo-Sicignano,cb7cc4a,Vincenzo-Sicignano,it ITA,GK
25,Antonio Bocchetti,/en/players/29e679e1/Antonio-Bocchetti,29e679e1,Antonio-Bocchetti,it ITA,DF
26,Felice Evacuo,/en/players/ab103d13/Felice-Evacuo,b103d13,Felice-Evacuo,it ITA,FW
27,Alfredo Cariello,/en/players/1a537cb9/Alfredo-Cariello,1a537cb9,Alfredo-Cariello,it ITA,MF
28,Daniele Amerini,/en/players/a6d1a2fe/Daniele-Amerini,6d1a2fe,Daniele-Amerini,it ITA,MF
29,Fabio Pecchia,/en/players/0b10d75b/Fabio-Pecchia,0b10d75b,Fabio-Pecchi,it ITA,MF
30,Marco Martini,/en/players/e978e674/Marco-Martini,978e674,Marco-Martini,it ITA,FW
31,Gennaro Scarlato,/en/players/b951e5e4/Gennaro-Scarlato,b951e5e4,Gennaro-Scarlato,it ITA,DF
32,Giorgio Lucenti,/en/players/7629330b/Giorgio-Lucenti,7629330b,Giorgio-Lucenti,it ITA,MF
33,Mattia Biso,/en/players/99e278d0/Mattia-Biso,99e278d0,Mattia-Biso,it ITA,MF
34,Zsolt Bognár,/en/players/32fde1d3/Zsolt-Bognar,32fde1d3,Zsolt-Bog,hu HUN,DF
35,Zlatko Dedić,/en/players/ae04d650/Zlatko-Dedic,04d650,Zlatko-Dedic,si SVN,FW
36,Gennaro Troianiello,/en/players/21c0245f/Gennaro-Troianiello,21c0245f,Gennaro-Troianiello,it ITA,"FW,MF"
37,Massimiliano Carlini,/en/players/fc478db0/Massimiliano-Carlini,fc478db0,Massimiliano-Carlini,it ITA,FW
38,﻿Angelo Antonazzo,/en/players/9aad307c/Angelo-Antonazzo,9aad307c,Angelo-Antonazzo,it ITA,DF
39,Éder,/en/players/5a325298/Eder,5a325298,Ed,it ITA,FW
40,Gianluca Nocentini,/en/players/b6537aca/Gianluca-Nocentini,b6537aca,Gianluca-Nocentini,it ITA,DF
41,Nicola Ascoli,/en/players/cea0889d/Nicola-Ascoli,cea0889d,Nicola-Ascoli,it ITA,DF
42,Nicholas Guidi,/en/players/4f0f4272/Nicholas-Guidi,4f0f4272,Nicholas-Guidi,it ITA,DF
43,Pierluigi Frattali,/en/players/71dac2c2/Pierluigi-Frattali,71dac2c2,Pierluigi-Frattali,it ITA,GK
44,Simone Cavalli,/en/players/f7cf57b7/Simone-Cavalli,f7cf57b7,Simone-Cavalli,it ITA,FW
45,Vincenzo Santoruvo,/en/players/2db3383b/Vincenzo-Santoruvo,2db3383b,Vincenzo-Santoruvo,it ITA,FW
46,Diogo Tavares,/en/players/6864954c/Diogo-Tavares,6864954c,Diogo-Tav,pt POR,FW
47,Carmine Coppola,/en/players/9931f71c/Carmine-Coppola,9931f71c,Carmine-Coppo,it ITA,MF
48,David Giubilato,/en/players/46284816/David-Giubilato,46284816,David-Giubilato,it ITA,DF
49,Ivan Rajčić,/en/players/05dbb984/Ivan-Rajcic,05dbb984,Ivan-Rajcic,hr CRO,MF
50,Nunzio Di Roberto,/en/players/97b1ac7a/Nunzio-Di-Roberto,97b1ac7a,Nunzio-Di-Roberto,it ITA,FW
51,Domenico Maietta,/en/players/3d936ba9/Domenico-Maietta,3d936ba9,Domenico-Maiett,it ITA,DF
52,Dieter Elsneg,/en/players/5614af95/Dieter-Elsneg,5614af95,Dieter-Elsneg,at AUT,"FW,MF"
53,Robert Gucher,/en/players/7ef612ab/Robert-Gucher,7ef612ab,Robert-Guch,at AUT,MF
54,Marcel Román,/en/players/610a7d1e/Marcel-Roman,610a7d1e,Marcel-Rom,uy URU,MF
55,Migjen Basha,/en/players/81367f83/Migjen-Basha,81367f83,Migjen-Bash,al ALB,MF
56,Lorenzo Del Prete,/en/players/fd45acf8/Lorenzo-Del-Prete,fd45acf8,Lorenzo-Del-Pret,it ITA,DF
57,Simone Basso,/en/players/6adafb54/Simone-Basso,6adafb54,Simone-Basso,it ITA,"FW,MF"
58,Caetano Calil,/en/players/1c79aee4/Caetano-Calil,1c79aee4,Caetano-Cali,br BRA,"FW,MF"
59,Francesco Bolzoni,/en/players/96819ccd/Francesco-Bolzoni,96819ccd,Francesco-Bolzoni,it ITA,MF
60,Fabio Mazzeo,/en/players/9ed034b3/Fabio-Mazzeo,9ed034b3,Fabio-Mazzeo,it ITA,FW
61,Daniel Semenzato,/en/players/2ebfc410/Daniel-Semenzato,2ebfc410,Daniel-Semenzato,it ITA,"DF,MF"
62,Roberto Stellone,/en/players/72f23b97/Roberto-Stellone,72f23b97,Roberto-Stello,it ITA,FW
63,Salvatore Aurelio,/en/players/9902c1bf/Salvatore-Aurelio,9902c1bf,Salvatore-Aurelio,it ITA,FW
64,Jefferson,/en/players/0390efc9/Jefferson,0390efc9,Jefferso,br BRA,FW
65,Andrea La Mantia,/en/players/c375dfa5/Andrea-La-Mantia,c375dfa5,Andrea-La-Manti,it ITA,FW
66,﻿Fabio Catacchini,/en/players/a9ab7280/Fabio-Catacchini,9ab7280,Fabio-Catacchini,it ITA,"DF,MF"
67,Emanuele Terranova,/en/players/8d408687/Emanuele-Terranova,8d408687,Emanuele-Terranov,it ITA,DF
68,Davide Bottone,/en/players/862109b3/Davide-Bottone,862109b3,Davide-Botto,it ITA,MF
69,Gianluca Sansone,/en/players/838a54e7/Gianluca-Sansone,838a54e7,Gianluca-Sanso,it ITA,FW
70,Alberto Frison,/en/players/5abbec5f/Alberto-Frison,5abbec5f,Alberto-Friso,it ITA,GK
71,Manolo Pestrin,/en/players/e0ac1bf9/Manolo-Pestrin,0ac1bf9,Manolo-Pestri,it ITA,MF
72,Sebastien De Maio,/en/players/952a03fe/Sebastien-De-Maio,952a03fe,Sebastien-De-Maio,fr FRA,DF
73,Simone Grippo,/en/players/8f2d246e/Simone-Grippo,8f2d246e,Simone-Grippo,ch SUI,"DF,MF"
