Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Massimo Perra,it ITA,MF,41,41,0.0,0.0,2006-2007,/en/players/dbfb4eac/Massimo-Perra,dbfb4eac,Frosinone,"3,681",40.9,4.0,0.0,199,9.0,23728,Frosinone
,Francesco Lodi,it ITA,MF,40,38,9.0,11.0,2006-2007,/en/players/3ddc8b87/Francesco-Lodi,3ddc8b87,Frosinone,"3,367",37.4,3.0,0.0,199,9.0,20102,Frosinone
,Massimo Margiotta,ve VEN,FW,38,32,5.0,11.0,2006-2007,/en/players/8056b6e9/Massimo-Margiotta,8056b6e9,Frosinone,"2,743",30.5,2.0,0.0,199,53.0,20873,Frosinone
,Massimo Zappino,br BRA,GK,29,29,0.0,0.0,2006-2007,/en/players/03d5e282/Massimo-Zappino,03d5e282,Frosinone,"2,590",28.8,4.0,1.0,199,2.0,23729,Frosinone
,David D'Antoni,it ITA,MF,32,29,0.0,1.0,2006-2007,/en/players/416f3cfd/David-DAntoni,416f3cfd,Frosinone,"2,394",26.6,13.0,0.0,199,9.0,23146,Frosinone
,Juriy Cannarsa,it ITA,DF,29,28,0.0,0.0,2006-2007,/en/players/95aa77d7/Juriy-Cannarsa,95aa77d7,Frosinone,"2,400",26.7,5.0,1.0,199,9.0,21482,Frosinone
,Paolo Antonioli,,,30,27,0.0,0.0,2006-2007,No detected,,Frosinone,"2,486",27.6,9.0,1.0,199,,90978,Frosinone
,Nicola Pagani,it ITA,DF,28,25,1.0,0.0,2006-2007,/en/players/36d35b09/Nicola-Pagani,36d35b09,Frosinone,"2,206",24.5,7.0,0.0,199,9.0,23429,Frosinone
,Jimmy Fialdini,it ITA,MF,28,21,3.0,2.0,2006-2007,/en/players/834a0c36/Jimmy-Fialdini,834a0c36,Frosinone,"1,904",21.2,9.0,1.0,199,9.0,23730,Frosinone
,Francesco Carbone,it ITA,DF,23,20,2.0,0.0,2006-2007,/en/players/4c2675b6/Francesco-Carbone,4c2675b6,Frosinone,"1,796",20.0,2.0,0.0,199,9.0,21954,Frosinone
,Michele Ischia,it ITA,DF,23,20,0.0,1.0,2006-2007,/en/players/e22b3a66/Michele-Ischia,22b3a66,Frosinone,"1,733",19.3,8.0,0.0,199,9.0,23731,Frosinone
,Antonio Di Nardo,it ITA,FW,25,20,1.0,6.0,2006-2007,/en/players/2f50004e/Antonio-Di-Nardo,2f50004e,Frosinone,"1,680",18.7,1.0,0.0,199,9.0,23732,Frosinone
,Fabio Di Venanzio,it ITA,,29,19,2.0,1.0,2006-2007,/en/players/5d2f1bb8/Fabio-Di-Venanzio,5d2f1bb8,Frosinone,"1,515",16.8,7.0,1.0,199,9.0,90697,Frosinone
,Salvatore Bocchetti,it ITA,DF,17,16,0.0,2.0,2006-2007,/en/players/faa1b07d/Salvatore-Bocchetti,faa1b07d,Frosinone,"1,438",16.0,3.0,0.0,199,9.0,19807,Frosinone
,Gianluca Galasso,it ITA,DF,25,14,2.0,0.0,2006-2007,/en/players/c56c9c37/Gianluca-Galasso,c56c9c37,Frosinone,"1,301",14.5,1.0,0.0,199,9.0,20571,Frosinone
,José Ignacio Castillo,ar ARG,FW,30,13,1.0,5.0,2006-2007,/en/players/ef17e0bd/Jose-Ignacio-Castillo,f17e0bd,Frosinone,"1,328",14.8,3.0,0.0,199,5.0,22162,Frosinone
,Mauro Chiodini,it ITA,GK,15,13,0.0,0.0,2006-2007,/en/players/29586cde/Mauro-Chiodini,29586cde,Frosinone,"1,190",13.2,2.0,0.0,199,9.0,23733,Frosinone
,Giuseppe Anaclerio,it ITA,MF,14,13,0.0,0.0,2006-2007,/en/players/0fb2104e/Giuseppe-Anaclerio,0fb2104e,Frosinone,"1,090",12.1,8.0,1.0,199,9.0,23734,Frosinone
,Stefano Argilli,it ITA,MF,13,12,0.0,0.0,2006-2007,/en/players/50d2ebfe/Stefano-Argilli,50d2ebfe,Frosinone,"1,021",11.3,0.0,1.0,199,9.0,21207,Frosinone
,Guido Di Deo,it ITA,MF,14,9,0.0,1.0,2006-2007,/en/players/2547053b/Guido-Di-Deo,2547053b,Frosinone,851,9.5,3.0,0.0,199,9.0,23735,Frosinone
,Zlatko Dedić,si SVN,FW,16,7,0.0,2.0,2006-2007,/en/players/ae04d650/Zlatko-Dedic,04d650,Frosinone,780,8.7,2.0,0.0,199,32.0,16565,Frosinone
,Lucas Rimoldi,ar ARG,MF,12,7,0.0,0.0,2006-2007,/en/players/b00c30ef/Lucas-Rimoldi,b00c30ef,Frosinone,695,7.7,3.0,1.0,199,5.0,23149,Frosinone
