2006-2007,Frosinone
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Massimo Perra,it ITA,MF,41,41,0,0,"3,681",40.9,4,0,/en/players/dbfb4eac/Massimo-Perra,dbfb4eac,Massimo-P
Francesco Lodi,it ITA,MF,40,38,9,11,"3,367",37.4,3,0,/en/players/3ddc8b87/Francesco-Lodi,3ddc8b87,Francesco-Lodi
Massimo Margiotta,ve VEN,FW,38,32,5,11,"2,743",30.5,2,0,/en/players/8056b6e9/Massimo-Margiotta,8056b6e9,Massimo-Margiott
Massimo Zappino,br BRA,GK,29,29,0,0,"2,590",28.8,4,1,/en/players/03d5e282/Massimo-Zappino,03d5e282,Massimo-Zappino
David D'Antoni,it ITA,MF,32,29,0,1,"2,394",26.6,13,0,/en/players/416f3cfd/David-DAntoni,416f3cfd,David-DAntoni
Juriy Cannarsa,it ITA,DF,29,28,0,0,"2,400",26.7,5,1,/en/players/95aa77d7/Juriy-Cannarsa,95aa77d7,Juriy-C
Paolo Antonioli,,,30,27,0,0,"2,486",27.6,9,1,No detected,,
Nicola Pagani,it ITA,DF,28,25,1,0,"2,206",24.5,7,0,/en/players/36d35b09/Nicola-Pagani,36d35b09,Nicola-Pagani
Jimmy Fialdini,it ITA,MF,28,21,3,2,"1,904",21.2,9,1,/en/players/834a0c36/Jimmy-Fialdini,834a0c36,Jimmy-Fialdini
Francesco Carbone,it ITA,DF,23,20,2,0,"1,796",20.0,2,0,/en/players/4c2675b6/Francesco-Carbone,4c2675b6,Francesco-Carbo
Michele Ischia,it ITA,DF,23,20,0,1,"1,733",19.3,8,0,/en/players/e22b3a66/Michele-Ischia,22b3a66,Michele-Ischi
Antonio Di Nardo,it ITA,FW,25,20,1,6,"1,680",18.7,1,0,/en/players/2f50004e/Antonio-Di-Nardo,2f50004e,Antonio-Di-Nardo
Fabio Di Venanzio,it ITA,,29,19,2,1,"1,515",16.8,7,1,/en/players/5d2f1bb8/Fabio-Di-Venanzio,5d2f1bb8,Fabio-Di-Venanzio
Salvatore Bocchetti,it ITA,DF,17,16,0,2,"1,438",16.0,3,0,/en/players/faa1b07d/Salvatore-Bocchetti,faa1b07d,Salvatore-Bocchetti
Gianluca Galasso,it ITA,DF,25,14,2,0,"1,301",14.5,1,0,/en/players/c56c9c37/Gianluca-Galasso,c56c9c37,Gianluca-Galasso
José Ignacio Castillo,ar ARG,FW,30,13,1,5,"1,328",14.8,3,0,/en/players/ef17e0bd/Jose-Ignacio-Castillo,f17e0bd,Jose-Ignacio-Castillo
Mauro Chiodini,it ITA,GK,15,13,0,0,"1,190",13.2,2,0,/en/players/29586cde/Mauro-Chiodini,29586cde,Mauro-Chiodini
