2005-2006,Fulham
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Luís Boa Morte,pt POR,"FW,MF",35,35,9,6,"3,004",33.4,10,1,/en/players/59ab6332/Luis-Boa-Morte,59ab6332,Luis-Boa-Mort
Brian McBride,us USA,FW,38,34,3,9,"2,907",32.3,3,0,/en/players/c3c36568/Brian-McBride,c3c36568,Brian-McBrid
Steed Malbranque,fr FRA,MF,34,32,4,6,"2,900",32.2,4,0,/en/players/e3df61bc/Steed-Malbranque,3df61bc,Steed-Malbranqu
Zat Knight,eng ENG,DF,30,29,0,0,"2,535",28.2,2,0,/en/players/607efc45/Zat-Knight,607efc45,Zat-Knight
Tomasz Radzinski,ca CAN,FW,33,23,4,2,"2,285",25.4,3,0,/en/players/c3bb247b/Tomasz-Radzinski,c3bb247b,Tomasz-Radzinski
Moritz Volz,de GER,DF,23,23,1,0,"2,050",22.8,2,0,/en/players/41b3e74a/Moritz-Volz,41b3e74a,Moritz-Volz
Liam Rosenior,eng ENG,DF,24,22,1,0,"1,987",22.1,5,0,/en/players/8b0d6fe9/Liam-Rosenior,8b0d6fe9,Liam-Rosenio
Papa Bouba Diop,sn SEN,"DF,MF",22,21,1,2,"1,814",20.2,6,0,/en/players/7994a7f9/Papa-Bouba-Diop,7994a7f9,Papa-Bouba-Dio
Carlos Bocanegra,us USA,DF,21,20,0,1,"1,831",20.3,5,0,/en/players/c76a89aa/Carlos-Bocanegra,c76a89aa,Carlos-Bocaneg
Collins John,nl NED,FW,35,16,2,11,"1,629",18.1,3,0,/en/players/735ea819/Collins-John,735ea819,Collins-Joh
Tony Warner,tt TRI,GK,18,16,0,0,"1,486",16.5,0,0,/en/players/81e115a9/Tony-Warner,81e115a9,Tony-W
Heiðar Helguson,is ISL,FW,27,15,2,8,"1,385",15.4,5,0,/en/players/5491eca5/Heidar-Helguson,5491eca5,Heidar-Helguso
Niclas Jensen,dk DEN,DF,16,14,1,0,"1,287",14.3,1,0,/en/players/b71569d2/Niclas-Jensen,b71569d2,Niclas-J
Alain Goma,fr FRA,DF,13,13,0,0,"1,170",13.0,0,0,/en/players/92ecd444/Alain-Goma,92ecd444,Alain-Gom
Mark Crossley,wls WAL,GK,13,13,1,0,"1,124",12.5,0,0,/en/players/51a772b8/Mark-Crossley,51a772b8,Mark-Cro
Wayne Bridge,eng ENG,DF,12,12,2,0,"1,080",12.0,2,0,/en/players/86b982bc/Wayne-Bridge,86b982bc,Wayne-Bridg
Simon Elliott,nz NZL,MF,12,12,3,0,"1,001",11.1,1,0,/en/players/c6a45e6e/Simon-Elliott,c6a45e6e,Simon-Elliott
Claus Jensen,dk DEN,MF,11,11,1,2,982,10.9,0,0,/en/players/b8f8fb0d/Claus-Jensen,b8f8fb0d,Claus-J
Sylvain Legwinski,fr FRA,MF,13,10,1,0,893,9.9,4,0,/en/players/b6054175/Sylvain-Legwinski,b6054175,Sylvain-Legwinski
Ian Pearce,eng ENG,DF,10,10,0,0,823,9.1,1,0,/en/players/3537c18f/Ian-Pearce,3537c18f,Ian-Pearc
Antti Niemi,fi FIN,GK,9,9,0,0,810,9.0,0,0,/en/players/79c3c101/Antti-Niemi,79c3c101,Antti-Niemi
Michael Brown,eng ENG,MF,15,8,0,0,768,8.5,3,1,/en/players/85543572/Michael-Brown,85543572,Michael-Brow
Philippe Christanval,fr FRA,DF,15,7,0,0,806,9.0,4,0,/en/players/2b1074c4/Philippe-Christanval,2b1074c4,Philippe-Christanv
Mark Pembridge,wls WAL,MF,5,5,1,0,432,4.8,0,0,/en/players/0f9d5dee/Mark-Pembridge,0f9d5dee,Mark-Pembridg
Dean Leacock,eng ENG,"DF,MF",5,5,0,0,417,4.6,1,0,/en/players/c3cbae51/Dean-Leacock,c3cbae51,Dean-Leacock
Zesh Rehman,pk PAK,DF,3,3,,0,270,3.0,1,0,/en/players/25f78221/Zesh-Rehman,25f78221,Zesh-Rehm
Ahmad Elrich,au AUS,"FW,MF",6,2,0,0,157,1.7,0,0,/en/players/2026c6aa/Ahmad-Elrich,2026c6aa,Ahmad-Elrich
