2014-2015,Gazelec-Ajaccio
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Clément Maury,fr FRA,GK,35,35,0,0,"3,150",35.0,0,0,/en/players/7dd60434/Clement-Maury,7dd60434,Clement-Mau
David Ducourtioux,fr FRA,"DF,MF",35,35,4,4,"3,065",34.1,2,0,/en/players/0a1f8ddf/David-Ducourtioux,0a1f8ddf,David-Ducourtioux
Pablo Martinez,fr FRA,DF,35,33,1,1,"3,018",33.5,7,0,/en/players/1ad8cb67/Pablo-Martinez,1ad8cb67,Pablo-Martinez
Amos Youga,cf CTA,"DF,MF",32,30,1,2,"2,665",29.6,13,0,/en/players/8ca850b8/Amos-Youga,8ca850b8,Amos-Youg
Rodéric Filippi,fr FRA,DF,30,30,0,2,"2,602",28.9,7,2,/en/players/0dda6fb3/Roderic-Filippi,0dda6fb3,Roderic-Filippi
Yoann Andreu,fr FRA,DF,30,30,1,0,"2,592",28.8,3,1,/en/players/872cd68c/Yoann-Andreu,872cd68c,Yoann-Andreu
Jérémie Bréchet,fr FRA,"DF,MF",28,28,0,2,"2,306",25.6,2,0,/en/players/2a13c80b/Jeremie-Brechet,2a13c80b,Jeremie-Brechet
Mohamed Larbi,tn TUN,MF,30,24,1,8,"2,188",24.3,1,0,/en/players/76be043f/Mohamed-Larbi,76be043f,Mohamed-Larbi
Khalid Boutaïb,ma MAR,FW,28,24,2,6,"2,090",23.2,4,1,/en/players/6074b849/Khalid-Boutaib,6074b849,Khalid-Boutaib
Grégory Pujol,fr FRA,FW,28,23,4,4,"1,893",21.0,3,0,/en/players/fa669152/Gregory-Pujol,fa669152,Gregory-Pujo
Louis Poggi,fr FRA,MF,30,18,1,4,"1,677",18.6,3,0,/en/players/caef5bc6/Louis-Poggi,caef5bc6,Louis-Poggi
Cyriaque Rivieyran,fr FRA,"DF,MF",25,17,0,1,"1,630",18.1,6,0,/en/players/3ac24aa4/Cyriaque-Rivieyran,3ac24aa4,Cyriaque-Rivi
Florian Fabre,fr FRA,MF,23,17,4,2,"1,461",16.2,2,0,/en/players/af4e0734/Florian-Fabre,f4e0734,Florian-Fab
Kévin Mayi,ga GAB,"FW,MF",28,16,1,6,"1,533",17.0,1,0,/en/players/6a26e528/Kevin-Mayi,6a26e528,Kevin-Mayi
Julien François,fr FRA,MF,18,15,0,0,"1,356",15.1,0,1,/en/players/117046b0/Julien-Francois,117046b0,Julien-Francoi
Matar Fall,sn SEN,"DF,MF",14,12,0,0,"1,077",12.0,2,1,/en/players/45d16647/Matar-Fall,45d16647,Matar-F
John Tshibumbu,cd COD,FW,30,11,1,5,"1,252",13.9,1,0,/en/players/6e922e43/John-Tshibumbu,6e922e43,John-Tshibumbu
Rafik Boujedra,tn TUN,FW,19,9,1,0,760,8.4,2,0,/en/players/7586aa04/Rafik-Boujedra,7586aa04,Rafik-Boujed
Ali M'Madi,km COM,"FW,MF",23,8,1,2,731,8.1,0,0,/en/players/0b2d90df/Ali-MMadi,0b2d90df,Ali-MMadi
Jules Goda,cm CMR,GK,3,3,0,0,270,3.0,0,0,/en/players/f3f2ed5c/Jules-Goda,f3f2ed5c,Jules-God
Pierre-François Sinapi,fr FRA,MF,3,0,0,0,35,0.4,0,0,/en/players/e7ae4850/Pierre-Francois-Sinapi,7ae4850,Pierre-Francois-Sinapi
Mounir Feddaoui,fr FRA,FW,0,0,,,,,,,/en/players/3eea54ae/Mounir-Feddaoui,3eea54ae,Mounir-Feddaoui
Lucas Libbra,fr FRA,FW,0,0,,,,,,,/en/players/e88eec5f/Lucas-Libbra,88eec5f,Lucas-Libb
