2019-2020,Genoa
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Cristian Romero,ar ARG,DF,30,30,1,1,"2,577",28.6,15,1,/en/players/a3d94a58/Cristian-Romero,3d94a58,Cristian-Romero
Lasse Schöne,dk DEN,MF,32,29,3,2,"2,427",27.0,5,0,/en/players/c3a8bcd8/Lasse-Schone,c3a8bcd8,Lasse-Scho
Domenico Criscito,it ITA,DF,26,24,0,8,"2,053",22.8,7,0,/en/players/35dd6d80/Domenico-Criscito,35dd6d80,Domenico-Criscito
Andrea Pinamonti,it ITA,FW,32,23,1,5,"2,236",24.8,1,0,/en/players/08aa9cd1/Andrea-Pinamonti,08aa9cd1,Andrea-Pinamonti
Davide Biraschi,it ITA,DF,24,22,1,0,"1,971",21.9,3,1,/en/players/64cd167d/Davide-Biraschi,64cd167d,Davide-Biraschi
Mattia Perin,it ITA,GK,21,21,0,0,"1,890",21.0,1,0,/en/players/4c62d0c8/Mattia-Perin,4c62d0c8,Mattia-Peri
Paolo Ghiglione,it ITA,"DF,FW",25,20,5,0,"1,717",19.1,4,0,/en/players/71dc23da/Paolo-Ghiglione,71dc23da,Paolo-Ghiglio
Cristián Zapata,co COL,DF,20,19,0,1,"1,718",19.1,4,0,/en/players/b1deecf8/Cristian-Zapata,b1deecf8,Cristian-Zapat
Goran Pandev,mk MKD,"FW,MF",34,18,1,9,"1,685",18.7,6,1,/en/players/d711d04f/Goran-Pandev,d711d04f,Goran-Pandev
Francesco Cassata,it ITA,MF,24,18,0,2,"1,458",16.2,11,2,/en/players/96960855/Francesco-Cassata,96960855,Francesco-Cassat
Ionuț Radu,ro ROU,GK,17,17,1,0,"1,530",17.0,1,0,/en/players/67f649be/Ionut-Radu,67f649be,Ionut-Radu
Antonio Sanabria,py PAR,FW,24,16,2,6,"1,387",15.4,3,0,/en/players/0a447501/Antonio-Sanabria,0a447501,Antonio-Sanabri
Lukas Lerager,dk DEN,MF,21,15,1,1,"1,387",15.4,5,0,/en/players/1b82f8df/Lukas-Lerager,1b82f8df,Lukas-Lerag
Andrea Masiello,it ITA,DF,15,15,1,0,"1,324",14.7,4,0,/en/players/e0314d87/Andrea-Masiello,0314d87,Andrea-Masiello
Ivan Radovanović,rs SRB,MF,19,15,1,0,"1,318",14.6,3,0,/en/players/023937a9/Ivan-Radovanovic,023937a9,Ivan-Radovanovic
Stefano Sturaro,it ITA,MF,16,15,2,1,"1,252",13.9,7,0,/en/players/2334478a/Stefano-Sturaro,2334478a,Stefano-Sturaro
Valon Behrami,ch SUI,MF,17,13,0,0,"1,107",12.3,4,1,/en/players/d3d758d8/Valon-Behrami,d3d758d8,Valon-Behrami
Antonio Barreca,it ITA,"DF,FW",18,11,1,0,"1,095",12.2,0,0,/en/players/6a189491/Antonio-Barreca,6a189491,Antonio-Barrec
Peter Ankersen,dk DEN,DF,19,11,1,0,"1,063",11.8,2,0,/en/players/df525574/Peter-Ankersen,df525574,Peter-Ank
Christian Kouamé,ci CIV,"FW,MF",11,10,2,5,915,10.2,1,0,/en/players/58e933d2/Christian-Kouame,58e933d2,Christian-Kouam
Edoardo Goldaniga,it ITA,DF,13,8,0,1,784,8.7,4,0,/en/players/4b029b31/Edoardo-Goldaniga,4b029b31,Edoardo-Goldanig
Marko Pajač,hr CRO,"DF,FW",11,8,0,0,759,8.4,1,0,/en/players/5df4ef30/Marko-Pajac,5df4ef30,Marko-Pajac
Kevin Agudelo,co COL,"MF,FW",10,7,1,1,666,7.4,5,1,/en/players/46fa7204/Kevin-Agudelo,46fa7204,Kevin-Agudelo
Andrea Favilli,it ITA,FW,20,7,0,0,658,7.3,4,0,/en/players/44510fde/Andrea-Favilli,44510fde,Andrea-Favilli
Adama Soumaoro,fr FRA,DF,8,7,0,1,637,7.1,2,0,/en/players/7b075c75/Adama-Soumaoro,7b075c75,Adama-Soumaoro
Filip Jagiełło,pl POL,MF,11,6,2,0,553,6.1,0,0,/en/players/4cdcbc14/Filip-Jagiello,4cdcbc14,Filip-Jagiello
Iago Falque,es ESP,MF,10,6,1,2,519,5.8,0,0,/en/players/440c84ed/Iago-Falque,440c84ed,Iago-Falqu
Jawad El Yamiq,ma MAR,DF,3,2,0,0,197,2.2,1,0,/en/players/f6f6b6e8/Jawad-El-Yamiq,f6f6b6e8,Jawad-El-Yamiq
Riccardo Saponara,it ITA,MF,4,2,0,0,168,1.9,1,1,/en/players/3bb7af3b/Riccardo-Saponara,3bb7af3b,Riccardo-Sapo
Mattia Destro,it ITA,"FW,MF",8,1,0,0,150,1.7,0,0,/en/players/d7d32194/Mattia-Destro,d7d32194,Mattia-Destro
Nicolò Rovella,it ITA,MF,2,1,0,0,105,1.2,0,0,/en/players/e58cbfd5/Nicolo-Rovella,58cbfd5,Nicolo-Rov
