Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Pierluigi Brivio,it ITA,GK,35,35,0.0,0.0,2002-2003,530af82,Genoa,"3,064",34.0,0.0,1.0,191.0,9.0,
,Stefano Rossini,it ITA,"DF,MF",34,34,0.0,0.0,2002-2003,3c31df0e,Genoa,"3,047",33.9,4.0,0.0,191.0,9.0,
,Mario Cvitanović,hr CRO,DF,33,33,0.0,0.0,2002-2003,210801ab,Genoa,"2,947",32.7,3.0,0.0,191.0,16.0,
,Marco Malagò,it ITA,DF,31,31,0.0,3.0,2002-2003,bbcfbfed,Genoa,"2,728",30.3,9.0,2.0,191.0,9.0,
,Mauro Bressan,it ITA,MF,31,26,0.0,1.0,2002-2003,676878ec,Genoa,"2,352",26.1,5.0,0.0,191.0,9.0,
,Simone Giacchetta,it ITA,DF,26,25,0.0,1.0,2002-2003,33eb00de,Genoa,"2,129",23.7,6.0,1.0,191.0,9.0,
,Adrian Mihalcea,ro ROU,FW,28,23,2.0,9.0,2002-2003,b8cffdf9,Genoa,"1,940",21.6,5.0,1.0,191.0,51.0,
,Raouf Bouzaiene,tn TUN,"DF,MF",28,23,4.0,1.0,2002-2003,2c523bbe,Genoa,"1,851",20.6,7.0,0.0,191.0,46.0,
,Damiano Moscardi,it ITA,,26,21,1.0,1.0,2002-2003,b22ab496,Genoa,"1,971",21.9,9.0,0.0,191.0,9.0,
,Giacomo Chini,,,22,20,0.0,1.0,2002-2003,,Genoa,"1,773",19.7,8.0,1.0,191.0,,
,Marco Carparelli,it ITA,FW,20,20,2.0,6.0,2002-2003,0dadca63,Genoa,"1,704",18.9,4.0,0.0,191.0,9.0,
,Paul Codrea,ro ROU,"DF,MF",18,18,2.0,1.0,2002-2003,771fa9b8,Genoa,"1,610",17.9,7.0,0.0,191.0,51.0,
,Rodrigue Boisfer,fr FRA,MF,19,17,0.0,1.0,2002-2003,f9144aee,Genoa,"1,528",17.0,3.0,1.0,191.0,4.0,
,Roberto Breda,it ITA,MF,18,16,3.0,2.0,2002-2003,d7a54a90,Genoa,"1,379",15.3,3.0,0.0,191.0,9.0,
,Francesco De Francesco,it ITA,FW,21,15,2.0,4.0,2002-2003,f28d5f43,Genoa,"1,443",16.0,2.0,0.0,191.0,9.0,
,Claudiu Niculescu,ro ROU,FW,13,9,0.0,3.0,2002-2003,c08d975c,Genoa,775,8.6,1.0,0.0,191.0,51.0,
,Imed Mhedhebi,tn TUN,"FW,MF",22,8,2.0,3.0,2002-2003,6054ab,Genoa,867,9.6,4.0,0.0,191.0,46.0,
,Vincenzo D'Isanto,it ITA,MF,22,8,2.0,3.0,2002-2003,f9fa0836,Genoa,744,8.3,4.0,1.0,191.0,9.0,
,Hassen Gabsi,tn TUN,"FW,MF",7,7,0.0,1.0,2002-2003,2b490877,Genoa,528,5.9,2.0,0.0,191.0,46.0,
,Davide Scantamburlo,,,9,5,0.0,0.0,2002-2003,,Genoa,467,5.2,0.0,0.0,191.0,,
,Giuseppe Mascara,it ITA,FW,13,4,1.0,2.0,2002-2003,d4fb7e8e,Genoa,482,5.4,2.0,0.0,191.0,9.0,
,Nicola Barasso,it ITA,GK,4,3,0.0,0.0,2002-2003,2c90b40f,Genoa,357,4.0,0.0,0.0,191.0,9.0,
,Sergio Floccari,it ITA,FW,9,3,1.0,1.0,2002-2003,df301450,Genoa,293,3.3,1.0,0.0,191.0,9.0,
,Andrea Basso,,,3,2,0.0,1.0,2002-2003,,Genoa,195,2.2,0.0,0.0,191.0,,
,Andrea Catalano,,,2,2,0.0,0.0,2002-2003,,Genoa,180,2.0,0.0,0.0,191.0,,
,Antonio Ghomsi,cm CMR,DF,2,2,0.0,0.0,2002-2003,d53f96ae,Genoa,180,2.0,1.0,0.0,191.0,36.0,
,Francesco Volpe,it ITA,FW,2,2,0.0,0.0,2002-2003,31b39f9d,Genoa,180,2.0,0.0,0.0,191.0,9.0,
,Patrice Feussi,cm CMR,"DF,MF",2,2,0.0,0.0,2002-2003,37b5106a,Genoa,174,1.9,1.0,0.0,191.0,36.0,
,Diego Colurcio,,,2,2,0.0,0.0,2002-2003,,Genoa,144,1.6,0.0,0.0,191.0,,
,Matteo Siligato,,,2,1,0.0,0.0,2002-2003,,Genoa,88,1.0,0.0,0.0,191.0,,
,Andrea Cardini,,,1,1,0.0,0.0,2002-2003,,Genoa,78,0.9,0.0,0.0,191.0,,
,Riccardo Taddei,it ITA,"FW,MF",3,0,0.0,0.0,2002-2003,cac46faa,Genoa,30,0.3,0.0,0.0,191.0,9.0,
,Armando Padula,,,1,0,0.0,0.0,2002-2003,,Genoa,27,0.3,0.0,0.0,191.0,,
,Gabriele Gorlani,,,1,0,0.0,0.0,2002-2003,,Genoa,14,0.2,0.0,0.0,191.0,,
,Domenico Criscito,it ITA,DF,1,0,0.0,0.0,2002-2003,35dd6d80,Genoa,9,0.1,0.0,0.0,191.0,9.0,
,Emanuele Volpara,,,1,0,0.0,0.0,2002-2003,,Genoa,6,0.1,0.0,0.0,191.0,,
,Luigi Rinaldi,,,1,0,0.0,1.0,2002-2003,,Genoa,3,0.0,0.0,0.0,191.0,,
,﻿Marco Rossi,it ITA,MF,38,35,3.0,8.0,2003-2004,85a6f80b,Genoa,"2,886",32.1,5.0,0.0,191.0,9.0,
,Matteo Villa,it ITA,DF,34,33,2.0,0.0,2003-2004,6f295477,Genoa,"2,881",32.0,5.0,1.0,191.0,9.0,
,Francesco Baldini,it ITA,DF,32,32,0.0,0.0,2003-2004,0d796e28,Genoa,"2,706",30.1,7.0,2.0,191.0,9.0,
,Davide Cordone,it ITA,MF,37,29,2.0,4.0,2003-2004,33b4dc02,Genoa,"2,826",31.4,2.0,0.0,191.0,9.0,
,Saša Bjelanović,hr CRO,FW,41,28,3.0,12.0,2003-2004,192f6c2b,Genoa,"2,652",29.5,6.0,1.0,191.0,16.0,
,Nicola Caccia,it ITA,FW,31,27,5.0,8.0,2003-2004,079894e8,Genoa,"2,261",25.1,4.0,0.0,191.0,9.0,
