2020-2021,Getafe
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Marc Cucurella,es ESP,MF,37,37,2,3,"3,244",36.0,8,0,/en/players/1daec722/Marc-Cucurella,1daec722,Marc-Cucu
Djené,tg TOG,DF,34,34,1,0,"2,941",32.7,8,2,/en/players/a4971d84/Djene,4971d84,Dj
Nemanja Maksimović,rs SRB,MF,35,34,0,1,"2,728",30.3,5,0,/en/players/00b28772/Nemanja-Maksimovic,00b28772,Nemanja-Maksimovic
Mauro Arambarri,uy URU,MF,34,33,0,3,"2,983",33.1,11,0,/en/players/58afe001/Mauro-Arambarri,58afe001,Mauro-Arambarri
Mathías Olivera,uy URU,DF,31,30,0,0,"2,614",29.0,6,0,/en/players/41c12f75/Mathias-Olivera,41c12f75,Mathias-Oliv
David Soria,es ESP,GK,28,28,0,0,"2,520",28.0,2,0,/en/players/8f8c6934/David-Soria,8f8c6934,David-Sori
Damián Suárez,uy URU,DF,31,28,0,1,"2,434",27.0,13,1,/en/players/ba5004e1/Damian-Suarez,ba5004e1,Damian-Suarez
Allan Nyom,cm CMR,"MF,DF",31,28,2,0,"2,323",25.8,10,1,/en/players/97572117/Allan-Nyom,97572117,Allan-Nyom
Jaime Mata,es ESP,FW,33,23,0,5,"2,037",22.6,9,1,/en/players/02319ad7/Jaime-Mata,02319ad7,Jaime-Mat
Cucho,co COL,"FW,MF",23,18,3,2,"1,466",16.3,5,0,/en/players/71b47ab9/Cucho,71b47ab9,Cucho
David Timor,es ESP,"MF,DF",30,15,0,0,"1,395",15.5,5,1,/en/players/174651c8/David-Timor,174651c8,David-Timo
Carles Aleñá,es ESP,"MF,FW",22,15,2,2,"1,366",15.2,1,0,/en/players/6c811eb7/Carles-Alena,6c811eb7,Carles-A
Erick Cabaco,uy URU,DF,20,15,0,0,"1,326",14.7,9,0,/en/players/e7ab4179/Erick-Cabaco,7ab4179,Erick-Cabaco
Enes Ünal,tr TUR,FW,28,15,2,4,"1,318",14.6,4,0,/en/players/f8eca1b6/Enes-Unal,f8eca1b6,Enes-U
Ángel Rodríguez,es ESP,"FW,MF",33,12,0,5,"1,374",15.3,4,0,/en/players/8cfc2f69/Angel-Rodriguez,8cfc2f69,Angel-Rodriguez
Rubén Yáñez,es ESP,GK,10,10,0,0,900,10.0,2,0,/en/players/039ae103/Ruben-Yanez,039ae103,Ruben-Yanez
Sofian Chakla,ma MAR,DF,11,9,0,0,897,10.0,5,0,/en/players/37f04799/Sofian-Chakla,37f04799,Sofian-Chak
Xabier Etxeita,es ESP,DF,11,9,0,0,883,9.8,3,0,/en/players/4a895384/Xabier-Etxeita,4a895384,Xabier-Etxeit
Takefusa Kubo,jp JPN,"MF,FW",18,8,1,1,805,8.9,2,0,/en/players/16aa3654/Takefusa-Kubo,16aa3654,Takefusa-Kubo
Iglesias,es ESP,"DF,MF",10,7,0,0,605,6.7,2,0,/en/players/974322dc/Iglesias,974322dc,Iglesi
Chema,es ESP,"DF,MF",10,7,0,0,557,6.2,3,1,/en/players/7f203b54/Chema,7f203b54,Chem
Francisco Portillo,es ESP,"MF,FW",16,3,1,0,418,4.6,1,0,/en/players/8e010ff4/Francisco-Portillo,8e010ff4,Francisco-Portillo
Victor Mollejo,es ESP,"MF,DF",4,0,0,0,72,0.8,0,0,/en/players/23fffc06/Victor-Mollejo,23fffc06,Victor-Mollejo
John Joe,ie IRL,"MF,FW",6,0,0,0,65,0.7,0,0,/en/players/fd01216a/John-Joe,fd01216a,John-Jo
Sabit Abdulai,gh GHA,MF,3,0,0,0,60,0.7,1,0,/en/players/9f9e1b9c/Sabit-Abdulai,9f9e1b9c,Sabit-Abdulai
Emmanuel Amankwaa Akurugu,gh GHA,DF,1,0,0,0,45,0.5,0,0,/en/players/69c5633e/Emmanuel-Amankwaa-Akurugu,69c5633e,Emmanuel-Amankwaa-Akurugu
José Antonio Miranda,gq EQG,"MF,DF",4,0,0,0,26,0.3,1,0,/en/players/683788fd/Jose-Antonio-Miranda,683788fd,Jose-Antonio-Mirand
Mamor Niang,sn SEN,"MF,FW",1,0,0,0,22,0.2,0,0,/en/players/64a76620/Mamor-Niang,64a76620,Mamor-Niang
Abdoulay Diaby,ml MLI,DF,1,0,0,0,18,0.2,0,0,/en/players/23c5db70/Abdoulay-Diaby,23c5db70,Abdoulay-Diab
Ante Palaversa,hr CRO,MF,2,0,0,0,9,0.1,0,0,/en/players/cd9b37a3/Ante-Palaversa,cd9b37a3,Ante-Palav
Darío Poveda,es ESP,FW,1,0,0,0,5,0.1,0,0,/en/players/cbdf7d5c/Dario-Poveda,cbdf7d5c,Dario-Poved
David Alba,es ESP,MF,0,0,,,,,,,/en/players/7a4cd784/David-Alba,7a4cd784,David-Alb
Chinchu,es ESP,DF,0,0,,,,,,,/en/players/f2ad9da9/Chinchu,f2ad9da9,Chinchu
Ryan Nolan,ie IRL,DF,0,0,,,,,,,/en/players/fa4e4764/Ryan-Nolan,fa4e4764,Ryan-No
