,Player,Link,Player_name(param),Player_id(param)
0,﻿Rafael Ponzo,/en/players/e6777099/Rafael-Ponzo,Rafael-Ponzo,e6777099
1,Serra,/en/players/df52ea5f/Serra,Serra,df52ea5f
2,Migue,/en/players/13575a4c/Migue,Migue,13575a4c
3,Jordi Matamala,/en/players/b064ff85/Jordi-Matamala,Jordi-Matamala,b064ff85
4,Albert Dorca,/en/players/01c3b68a/Albert-Dorca,Albert-Dorca,01c3b68a
5,José,/en/players/bc392378/Jose,Jose,bc392378
6,David Cañas,/en/players/01d8b210/David-Canas,David-Canas,01d8b210
7,Diego Rangel,/en/players/2380c0fb/Diego-Rangel,Diego-Rangel,2380c0fb
8,Gabri,/en/players/b2605b0a/Gabri,Gabri,b2605b0a
9,Chechu,/en/players/3333762c/Chechu,Chechu,3333762c
10,Raúl Martín,/en/players/f81f6fc3/Raul-Martin,Raul-Martin,f81f6fc3
11,Jordi Xumetra,/en/players/3b79dbdb/Jordi-Xumetra,Jordi-Xumetra,3b79dbdb
12,Paco Esteban,/en/players/7e4f04f0/Paco-Esteban,Paco-Esteban,7e4f04f0
13,Alberto Manga,/en/players/a1d84af0/Alberto-Manga,Alberto-Manga,a1d84af0
14,Mikel Amantegui,/en/players/f92f842f/Mikel-Amantegui,Mikel-Amantegui,f92f842f
15,Felipe Sanchón,/en/players/f62ff94e/Felipe-Sanchon,Felipe-Sanchon,f62ff94e
16,Arnal Llibert,/en/players/6e514348/Arnal-Llibert,Arnal-Llibert,6e514348
17,Jito,/en/players/3adf70f2/Jito,Jito,3adf70f2
18,Igor de Souza,/en/players/1c73ef45/Igor-de-Souza,Igor-de-Souza,1c73ef45
19,Marc Bernaus,/en/players/761ecc1f/Marc-Bernaus,Marc-Bernaus,761ecc1f
20,David Sánchez,/en/players/60e0ee7a/David-Sanchez,David-Sanchez,60e0ee7a
21,Iván Gómez,/en/players/12814065/Ivan-Gomez,Ivan-Gomez,12814065
22,Gerard López,/en/players/403b0279/Gerard-Lopez,Gerard-Lopez,403b0279
23,Hiroshi Ibusuki,/en/players/715bdbe9/Hiroshi-Ibusuki,Hiroshi-Ibusuki,715bdbe9
24,Óscar Álvarez,/en/players/d6b5c64f/Oscar-Alvarez,Oscar-Alvarez,d6b5c64f
25,Héctor Simón,/en/players/6ad334dc/Hector-Simon,Hector-Simon,6ad334dc
26,﻿Jordi Matamala,/en/players/b064ff85/Jordi-Matamala,Jordi-Matamala,b064ff85
27,Ernesto Galán,/en/players/7e4af593/Ernesto-Galan,Ernesto-Galan,7e4af593
28,Roberto Peragón,/en/players/c1dbaa18/Roberto-Peragon,Roberto-Peragon,c1dbaa18
29,Albert Jorquera,/en/players/4b0184a5/Albert-Jorquera,Albert-Jorquera,4b0184a5
30,Moha,/en/players/e3d09e03/Moha,Moha,e3d09e03
31,Kiko Ratón,/en/players/1b4d461e/Kiko-Raton,Kiko-Raton,1b4d461e
32,Dani Tortolero,/en/players/42481fd5/Dani-Tortolero,Dani-Tortolero,42481fd5
33,Antonio Calle,/en/players/3d3d63b9/Antonio-Calle,Antonio-Calle,3d3d63b9
34,Dani Mallo,/en/players/c965e3d0/Dani-Mallo,Dani-Mallo,c965e3d0
35,Juanma,/en/players/a81311e0/Juanma,Juanma,a81311e0
36,Brian Sarmiento,/en/players/74337456/Brian-Sarmiento,Brian-Sarmiento,74337456
37,Marcos Tébar,/en/players/1e806be7/Marcos-Tebar,Marcos-Tebar,1e806be7
38,Javier Almirón,/en/players/8b8c57b7/Javier-Almiron,Javier-Almiron,8b8c57b7
39,Germán Beltrán,/en/players/552f8f78/German-Beltran,German-Beltran,552f8f78
40,Fran,/en/players/7e1a6606/Fran,Fran,7e1a6606
41,Jordi Masó,/en/players/5047640b/Jordi-Maso,Jordi-Maso,5047640b
42,﻿Albert Dorca,/en/players/01c3b68a/Albert-Dorca,Albert-Dorca,01c3b68a
43,Jandro,/en/players/453a1fcd/Jandro,Jandro,453a1fcd
44,Roberto Santamaría,/en/players/bca21ef3/Roberto-Santamaria,Roberto-Santamaria,bca21ef3
45,Ángel Martínez,/en/players/7eb2bab9/Angel-Martinez,Angel-Martinez,7eb2bab9
46,Ranko Despotović,/en/players/7909655a/Ranko-Despotovic,Ranko-Despotovic,7909655a
47,Francisco Noguerol,/en/players/73bdd0b1/Francisco-Noguerol,Francisco-Noguerol,73bdd0b1
48,Luso,/en/players/9cd41fda/Luso,Luso,9cd41fda
49,Borja Sánchez Gil,/en/players/ea070e15/Borja-Sanchez-Gil,Borja-Sanchez-Gil,ea070e15
50,Keko,/en/players/1512328c/Keko,Keko,1512328c
51,Víctor Curto,/en/players/83cd8962/Victor-Curto,Victor-Curto,83cd8962
