Unnamed: 0,Player,Link,Player_name,Player_id,Nationality,Position,club
8179.0,﻿Roberto,/en/players/95cf42ac/Roberto,Roberto,95cf42ac,es ESP,GK,Granada
8180.0,Abel Gómez Moreno,/en/players/b09801d8/Abel-Gomez-Moreno,Abel-Gomez-Moreno,b09801d8,es ESP,MF,Granada
8181.0,Allan Nyom,/en/players/97572117/Allan-Nyom,Allan-Nyom,97572117,cm CMR,"DF,MF",Granada
8182.0,Mikel Rico,/en/players/def69cd0/Mikel-Rico,Mikel-Rico,def69cd0,es ESP,MF,Granada
8183.0,Íñigo López,/en/players/8c61ca86/Inigo-Lopez,Inigo-Lopez,8c61ca86,es ESP,DF,Granada
8184.0,Dani Benítez,/en/players/51c34a32/Dani-Benitez,Dani-Benitez,51c34a32,es ESP,MF,Granada
8185.0,Alexandre Geijo,/en/players/c0787e61/Alexandre-Geijo,Alexandre-Geijo,c0787e61,es ESP,FW,Granada
8186.0,Fabián Orellana,/en/players/c90977db/Fabian-Orellana,Fabian-O,c90977db,cl CHI,"FW,MF",Granada
8187.0,Guilherme Siqueira,/en/players/3770a135/Guilherme-Siqueira,Guilherme-Siquei,3770a135,br BRA,"DF,MF",Granada
8188.0,Diego Mainz,/en/players/95db62b7/Diego-Mainz,Diego-Mainz,95db62b7,es ESP,DF,Granada
8189.0,Manuel Lucena,/en/players/86ea2bff/Manuel-Lucena,Manuel-Luc,86ea2bff,es ESP,DF,Granada
8190.0,Carlos Calvo,/en/players/a444d33f/Carlos-Calvo,Carlos-Calvo,444d33f,es ESP,MF,Granada
8191.0,Óscar Pérez,/en/players/a4ae5f6a/Oscar-Perez,Oscar-Perez,4ae5f6a,es ESP,MF,Granada
8192.0,Rubén Párraga,/en/players/c8a5798c/Ruben-Parraga,Ruben-Parrag,c8a5798c,es ESP,DF,Granada
8193.0,Juan Collantes,/en/players/d8d9186b/Juan-Collantes,Juan-Collant,d8d9186b,es ESP,"FW,MF",Granada
8194.0,Jonathan Mensah,/en/players/8087e6cb/Jonathan-Mensah,Jonathan-Mensah,8087e6cb,gh GHA,DF,Granada
8195.0,Odion Ighalo,/en/players/03622183/Odion-Ighalo,Odion-Ighalo,03622183,ng NGA,FW,Granada
8196.0,Juande,/en/players/4e8f9951/Juande,Juand,4e8f9951,es ESP,MF,Granada
8197.0,José Juan Figueras,/en/players/c7f01276/Jose-Juan-Figueras,Jose-Juan-Figu,c7f01276,es ESP,GK,Granada
8198.0,Granada,/en/players/41919c0f/Granada,Granad,41919c0f,es ESP,MF,Granada
8199.0,Tariq Spezie,/en/players/79c7a874/Tariq-Spezie,Tariq-Spezi,79c7a874,es ESP,FW,Granada
8200.0,Luis Muriel,/en/players/eb2fe5b6/Luis-Muriel,Luis-Muri,b2fe5b6,co COL,FW,Granada
8201.0,Ritchie Kitoko,/en/players/d403d81a/Ritchie-Kitoko,Ritchie-Kitoko,d403d81a,be BEL,MF,Granada
8202.0,Felipe Sanchón,/en/players/f62ff94e/Felipe-Sanchon,Felipe-Sancho,f62ff94e,es ESP,MF,Granada
8203.0,Álex Cruz,/en/players/5e9d1e31/Alex-Cruz,Alex-Cruz,5e9d1e31,es ESP,MF,Granada
8204.0,Goku,/en/players/3401fe76/Goku,Goku,3401fe76,es ESP,MF,Granada
8205.0,Ikechukwu Uche,/en/players/ba7c6d25/Ikechukwu-Uche,Ikechukwu-Uch,ba7c6d25,ng NGA,FW,Granada
8206.0,Carlos Martins,/en/players/23cfa96c/Carlos-Martins,Carlos-Marti,23cfa96c,pt POR,MF,Granada
