,Player,Link,Player_name(param),Player_id(param)
0,﻿Heiko Westermann,/en/players/7beecde1/Heiko-Westermann,Heiko-Westermann,7beecde1
1,Christian Weber,/en/players/7c8464c0/Christian-Weber,Christian-Weber,7c8464c0
2,Thomas Kleine,/en/players/8c3b0ace/Thomas-Kleine,Thomas-Kleine,8c3b0ace
3,Mathias Surmann,/en/players/54c6a067/Mathias-Surmann,Mathias-Surmann,54c6a067
4,Olivier Caillas,/en/players/8ba34161/Olivier-Caillas,Olivier-Caillas,8ba34161
5,Marcus Feinbier,/en/players/55525a55/Marcus-Feinbier,Marcus-Feinbier,55525a55
6,Petr Ruman,/en/players/cb9eaa8f/Petr-Ruman,Petr-Ruman,cb9eaa8f
7,Sven Neuhaus,/en/players/761d6dcd/Sven-Neuhaus,Sven-Neuhaus,761d6dcd
8,Mirko Reichel,/en/players/2de807a9/Mirko-Reichel,Mirko-Reichel,2de807a9
9,Thorsten Burkhardt,/en/players/719fae4d/Thorsten-Burkhardt,Thorsten-Burkhardt,719fae4d
10,Carsten Birk,/en/players/041b94fd/Carsten-Birk,Carsten-Birk,041b94fd
11,Florian Heller,/en/players/79c4be2e/Florian-Heller,Florian-Heller,79c4be2e
12,Uğur İnceman,/en/players/f757bcc6/Ugur-Inceman,Ugur-Inceman,f757bcc6
13,Michael Kümmerle,/en/players/5ced8035/Michael-Kummerle,Michael-Kummerle,5ced8035
14,Christian Eigler,/en/players/84a56158/Christian-Eigler,Christian-Eigler,84a56158
15,Stephan Loboué,/en/players/e28dd027/Stephan-Loboue,Stephan-Loboue,e28dd027
16,Jan Hoffmann,/en/players/5788c2a3/Jan-Hoffmann,Jan-Hoffmann,5788c2a3
17,Rachid Azzouzi,/en/players/3475d026/Rachid-Azzouzi,Rachid-Azzouzi,3475d026
18,Sascha Rösler,/en/players/502699c8/Sascha-Rosler,Sascha-Rosler,502699c8
19,Michael Rundio,/en/players/5c2e7fd6/Michael-Rundio,Michael-Rundio,5c2e7fd6
20,Valdas Trakys,/en/players/1e8e63ba/Valdas-Trakys,Valdas-Trakys,1e8e63ba
21,Alf Mintzel,/en/players/60eb60c6/Alf-Mintzel,Alf-Mintzel,60eb60c6
22,Danny Fuchs,/en/players/080aee24/Danny-Fuchs,Danny-Fuchs,080aee24
23,Dennis Hillebrand,/en/players/612e7a8e/Dennis-Hillebrand,Dennis-Hillebrand,612e7a8e
24,Dajan Šimac,/en/players/d1b97109/Dajan-Simac,Dajan-Simac,d1b97109
