Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Heiko Westermann,de GER,"DF,MF",34,33.0,0.0,0.0,2003-2004,/en/players/7beecde1/Heiko-Westermann,7beecde1,Greuther-Furth,"2,966",33.0,2.0,0.0,30,13.0,1479,Greuther-Furth
,Christian Weber,de GER,"DF,MF",33,32.0,3.0,0.0,2003-2004,/en/players/7c8464c0/Christian-Weber,7c8464c0,Greuther-Furth,"2,749",30.5,9.0,0.0,30,13.0,18387,Greuther-Furth
,Thomas Kleine,de GER,DF,31,31.0,1.0,1.0,2003-2004,/en/players/8c3b0ace/Thomas-Kleine,8c3b0ace,Greuther-Furth,"2,674",29.7,3.0,1.0,30,13.0,16893,Greuther-Furth
,Mathias Surmann,de GER,MF,31,30.0,0.0,0.0,2003-2004,/en/players/54c6a067/Mathias-Surmann,54c6a067,Greuther-Furth,"2,641",29.3,3.0,1.0,30,13.0,18963,Greuther-Furth
,Olivier Caillas,fr FRA,"DF,MF",30,30.0,0.0,4.0,2003-2004,/en/players/8ba34161/Olivier-Caillas,8ba34161,Greuther-Furth,"2,518",28.0,14.0,0.0,30,4.0,18900,Greuther-Furth
,Marcus Feinbier,de GER,FW,29,29.0,2.0,13.0,2003-2004,/en/players/55525a55/Marcus-Feinbier,55525a55,Greuther-Furth,"2,557",28.4,4.0,0.0,30,13.0,18964,Greuther-Furth
,Petr Ruman,cz CZE,FW,28,28.0,3.0,16.0,2003-2004,/en/players/cb9eaa8f/Petr-Ruman,cb9eaa8f,Greuther-Furth,"2,429",27.0,13.0,0.0,30,84.0,18289,Greuther-Furth
,Sven Neuhaus,de GER,GK,25,25.0,0.0,0.0,2003-2004,/en/players/761d6dcd/Sven-Neuhaus,761d6dcd,Greuther-Furth,"2,212",24.6,0.0,0.0,30,13.0,15878,Greuther-Furth
,Mirko Reichel,de GER,MF,21,20.0,0.0,3.0,2003-2004,/en/players/2de807a9/Mirko-Reichel,2de807a9,Greuther-Furth,"1,717",19.1,3.0,1.0,30,13.0,18965,Greuther-Furth
,Thorsten Burkhardt,de GER,MF,27,16.0,2.0,3.0,2003-2004,/en/players/719fae4d/Thorsten-Burkhardt,719fae4d,Greuther-Furth,"1,480",16.4,2.0,0.0,30,13.0,18526,Greuther-Furth
,Carsten Birk,de GER,,21,16.0,0.0,0.0,2003-2004,/en/players/041b94fd/Carsten-Birk,041b94fd,Greuther-Furth,"1,367",15.2,4.0,0.0,30,13.0,90645,Greuther-Furth
,Florian Heller,de GER,"FW,MF",28,13.0,2.0,1.0,2003-2004,/en/players/79c4be2e/Florian-Heller,79c4be2e,Greuther-Furth,"1,321",14.7,3.0,0.0,30,13.0,18308,Greuther-Furth
,Uğur İnceman,tr TUR,MF,13,12.0,0.0,1.0,2003-2004,/en/players/f757bcc6/Ugur-Inceman,f757bcc6,Greuther-Furth,"1,044",11.6,3.0,0.0,30,15.0,18966,Greuther-Furth
,Michael Kümmerle,de GER,DF,15,11.0,1.0,2.0,2003-2004,/en/players/5ced8035/Michael-Kummerle,5ced8035,Greuther-Furth,"1,045",11.6,2.0,0.0,30,13.0,18967,Greuther-Furth
,Christian Eigler,de GER,FW,28,9.0,2.0,4.0,2003-2004,/en/players/84a56158/Christian-Eigler,84a56158,Greuther-Furth,"1,048",11.6,1.0,0.0,30,13.0,17604,Greuther-Furth
,Stephan Loboué,ci CIV,GK,10,9.0,0.0,0.0,2003-2004,/en/players/e28dd027/Stephan-Loboue,28dd027,Greuther-Furth,848,9.4,1.0,0.0,30,35.0,18968,Greuther-Furth
,Jan Hoffmann,de GER,MF,19,7.0,0.0,0.0,2003-2004,/en/players/5788c2a3/Jan-Hoffmann,5788c2a3,Greuther-Furth,717,8.0,3.0,0.0,30,13.0,18969,Greuther-Furth
,Rachid Azzouzi,ma MAR,MF,12,7.0,0.0,1.0,2003-2004,/en/players/3475d026/Rachid-Azzouzi,3475d026,Greuther-Furth,621,6.9,4.0,0.0,30,26.0,18970,Greuther-Furth
,Sascha Rösler,de GER,"FW,MF",9,5.0,1.0,7.0,2003-2004,/en/players/502699c8/Sascha-Rosler,502699c8,Greuther-Furth,444,4.9,1.0,1.0,30,13.0,16727,Greuther-Furth
,Michael Rundio,de GER,DF,4,3.0,0.0,0.0,2003-2004,/en/players/5c2e7fd6/Michael-Rundio,5c2e7fd6,Greuther-Furth,279,3.1,0.0,0.0,30,13.0,15551,Greuther-Furth
,Valdas Trakys,lt LTU,FW,7,2.0,0.0,1.0,2003-2004,/en/players/1e8e63ba/Valdas-Trakys,1e8e63ba,Greuther-Furth,281,3.1,1.0,0.0,30,72.0,18971,Greuther-Furth
,Alf Mintzel,de GER,"DF,MF",5,2.0,0.0,0.0,2003-2004,/en/players/60eb60c6/Alf-Mintzel,60eb60c6,Greuther-Furth,169,1.9,0.0,0.0,30,13.0,18972,Greuther-Furth
,Danny Fuchs,de GER,"FW,MF",2,2.0,0.0,0.0,2003-2004,/en/players/080aee24/Danny-Fuchs,080aee24,Greuther-Furth,155,1.7,1.0,0.0,30,13.0,16558,Greuther-Furth
,Dennis Hillebrand,de GER,DF,1,1.0,0.0,0.0,2003-2004,/en/players/612e7a8e/Dennis-Hillebrand,612e7a8e,Greuther-Furth,78,0.9,0.0,0.0,30,13.0,18973,Greuther-Furth
,Dajan Šimac,hr CRO,DF,1,1.0,0.0,0.0,2003-2004,/en/players/d1b97109/Dajan-Simac,d1b97109,Greuther-Furth,68,0.8,0.0,0.0,30,16.0,18974,Greuther-Furth
,Lukáš Jarolím,cz CZE,MF,6,0.0,0.0,0.0,2003-2004,/en/players/5ccdb10f/Lukas-Jarolim,5ccdb10f,Greuther-Furth,135,1.5,0.0,0.0,30,84.0,13651,Greuther-Furth
,Dennis Dourandi,cm CMR,FW,1,0.0,0.0,0.0,2003-2004,/en/players/11b3c3ec/Dennis-Dourandi,11b3c3ec,Greuther-Furth,14,0.2,0.0,0.0,30,36.0,18975,Greuther-Furth
,﻿Heiko Westermann,de GER,"DF,MF",33,33.0,3.0,2.0,2004-2005,/en/players/7beecde1/Heiko-Westermann,7beecde1,Greuther-Furth,"2,947",32.7,6.0,0.0,30,13.0,1479,Greuther-Furth
,Thomas Kleine,de GER,DF,32,32.0,0.0,2.0,2004-2005,/en/players/8c3b0ace/Thomas-Kleine,8c3b0ace,Greuther-Furth,"2,851",31.7,5.0,1.0,30,13.0,16893,Greuther-Furth
,Frédéric Page,ch SUI,DF,31,31.0,0.0,1.0,2004-2005,/en/players/2eff96fa/Frederic-Page,2eff96fa,Greuther-Furth,"2,667",29.6,1.0,2.0,30,39.0,18976,Greuther-Furth
,Christian Weber,de GER,"DF,MF",29,29.0,4.0,0.0,2004-2005,/en/players/7c8464c0/Christian-Weber,7c8464c0,Greuther-Furth,"2,552",28.4,8.0,0.0,30,13.0,18387,Greuther-Furth
,Sascha Rösler,de GER,"FW,MF",33,26.0,2.0,9.0,2004-2005,/en/players/502699c8/Sascha-Rosler,502699c8,Greuther-Furth,"2,292",25.5,2.0,0.0,30,13.0,16727,Greuther-Furth
,Marcus Feinbier,de GER,FW,30,26.0,3.0,9.0,2004-2005,/en/players/55525a55/Marcus-Feinbier,55525a55,Greuther-Furth,"2,259",25.1,7.0,0.0,30,13.0,18964,Greuther-Furth
,Borut Mavrič,si SVN,GK,25,25.0,0.0,0.0,2004-2005,/en/players/f90602b5/Borut-Mavric,f90602b5,Greuther-Furth,"2,250",25.0,0.0,0.0,30,32.0,18977,Greuther-Furth
,Olivier Caillas,fr FRA,"DF,MF",30,24.0,1.0,3.0,2004-2005,/en/players/8ba34161/Olivier-Caillas,8ba34161,Greuther-Furth,"2,087",23.2,8.0,1.0,30,4.0,18900,Greuther-Furth
,Roberto Hilbert,de GER,"DF,MF",26,24.0,10.0,5.0,2004-2005,/en/players/a8d2b7ca/Roberto-Hilbert,8d2b7ca,Greuther-Furth,"1,940",21.6,4.0,0.0,30,13.0,15569,Greuther-Furth
,Petr Ruman,cz CZE,FW,22,19.0,4.0,6.0,2004-2005,/en/players/cb9eaa8f/Petr-Ruman,cb9eaa8f,Greuther-Furth,"1,577",17.5,1.0,1.0,30,84.0,18289,Greuther-Furth
,Dario Dabac,,DF,20,17.0,0.0,0.0,2004-2005,/en/players/5919cb4c/Dario-Dabac,5919cb4c,Greuther-Furth,"1,524",16.9,0.0,0.0,30,,90646,Greuther-Furth
,Thorsten Burkhardt,de GER,MF,21,11.0,2.0,2.0,2004-2005,/en/players/719fae4d/Thorsten-Burkhardt,719fae4d,Greuther-Furth,"1,165",12.9,2.0,0.0,30,13.0,18526,Greuther-Furth
,Mathias Surmann,de GER,MF,14,11.0,0.0,0.0,2004-2005,/en/players/54c6a067/Mathias-Surmann,54c6a067,Greuther-Furth,912,10.1,1.0,0.0,30,13.0,18963,Greuther-Furth
,Mirko Reichel,de GER,MF,17,10.0,0.0,2.0,2004-2005,/en/players/2de807a9/Mirko-Reichel,2de807a9,Greuther-Furth,982,10.9,7.0,0.0,30,13.0,18965,Greuther-Furth
,Florian Heller,de GER,"FW,MF",15,10.0,2.0,0.0,2004-2005,/en/players/79c4be2e/Florian-Heller,79c4be2e,Greuther-Furth,880,9.8,3.0,0.0,30,13.0,18308,Greuther-Furth
,Christian Timm,de GER,FW,17,9.0,1.0,3.0,2004-2005,/en/players/f84537a7/Christian-Timm,f84537a7,Greuther-Furth,973,10.8,3.0,0.0,30,13.0,17313,Greuther-Furth
,Sven Neuhaus,de GER,GK,9,9.0,0.0,0.0,2004-2005,/en/players/761d6dcd/Sven-Neuhaus,761d6dcd,Greuther-Furth,810,9.0,0.0,0.0,30,13.0,15878,Greuther-Furth
,Jörg Albertz,de GER,MF,13,7.0,0.0,3.0,2004-2005,/en/players/06db606d/Jorg-Albertz,06db606d,Greuther-Furth,664,7.4,1.0,0.0,30,13.0,15830,Greuther-Furth
,Christian Eigler,de GER,FW,21,5.0,1.0,2.0,2004-2005,/en/players/84a56158/Christian-Eigler,84a56158,Greuther-Furth,665,7.4,0.0,0.0,30,13.0,17604,Greuther-Furth
,Stephan Schröck,ph PHI,"DF,MF",12,4.0,1.0,1.0,2004-2005,/en/players/e628454b/Stephan-Schrock,628454b,Greuther-Furth,441,4.9,1.0,0.0,30,90.0,18141,Greuther-Furth
,Danny Fuchs,de GER,"FW,MF",9,4.0,0.0,0.0,2004-2005,/en/players/080aee24/Danny-Fuchs,080aee24,Greuther-Furth,392,4.4,1.0,0.0,30,13.0,16558,Greuther-Furth
,Carsten Birk,de GER,,5,4.0,0.0,0.0,2004-2005,/en/players/041b94fd/Carsten-Birk,041b94fd,Greuther-Furth,344,3.8,1.0,1.0,30,13.0,90645,Greuther-Furth
,Tomáš Votava,cz CZE,DF,3,3.0,0.0,1.0,2004-2005,/en/players/ddc220fc/Tomas-Votava,ddc220fc,Greuther-Furth,208,2.3,0.0,0.0,30,84.0,16672,Greuther-Furth
,Michael Krämer,de GER,DF,2,1.0,0.0,0.0,2004-2005,/en/players/47df4fab/Michael-Kramer,47df4fab,Greuther-Furth,127,1.4,1.0,0.0,30,13.0,18978,Greuther-Furth
,Markus Karl,de GER,"DF,MF",1,0.0,0.0,0.0,2004-2005,/en/players/41f9024a/Markus-Karl,41f9024a,Greuther-Furth,23,0.3,0.0,0.0,30,13.0,15851,Greuther-Furth
,Michael Rundio,de GER,DF,1,0.0,0.0,0.0,2004-2005,/en/players/5c2e7fd6/Michael-Rundio,5c2e7fd6,Greuther-Furth,12,0.1,0.0,0.0,30,13.0,15551,Greuther-Furth
,﻿Thomas Kleine,de GER,DF,34,34.0,0.0,1.0,2005-2006,/en/players/8c3b0ace/Thomas-Kleine,8c3b0ace,Greuther-Furth,"3,060",34.0,4.0,0.0,30,13.0,16893,Greuther-Furth
,Roberto Hilbert,de GER,"DF,MF",34,33.0,9.0,3.0,2005-2006,/en/players/a8d2b7ca/Roberto-Hilbert,8d2b7ca,Greuther-Furth,"2,745",30.5,4.0,0.0,30,13.0,15569,Greuther-Furth
,Aleš Kokot,si SVN,DF,31,31.0,6.0,1.0,2005-2006,/en/players/0936678f/Ales-Kokot,0936678f,Greuther-Furth,"2,775",30.8,3.0,0.0,30,32.0,18979,Greuther-Furth
,Borut Mavrič,si SVN,GK,31,31.0,0.0,0.0,2005-2006,/en/players/f90602b5/Borut-Mavric,f90602b5,Greuther-Furth,"2,688",29.9,0.0,0.0,30,32.0,18977,Greuther-Furth
,Andre Mijatović,hr CRO,DF,30,30.0,2.0,3.0,2005-2006,/en/players/e68351e1/Andre-Mijatovic,68351e1,Greuther-Furth,"2,641",29.3,4.0,1.0,30,16.0,16035,Greuther-Furth
,Christian Eigler,de GER,FW,33,29.0,3.0,18.0,2005-2006,/en/players/84a56158/Christian-Eigler,84a56158,Greuther-Furth,"2,580",28.7,1.0,0.0,30,13.0,17604,Greuther-Furth
,Christian Weber,de GER,"DF,MF",28,28.0,2.0,0.0,2005-2006,/en/players/7c8464c0/Christian-Weber,7c8464c0,Greuther-Furth,"2,338",26.0,7.0,0.0,30,13.0,18387,Greuther-Furth
,Christian Timm,de GER,FW,30,26.0,9.0,6.0,2005-2006,/en/players/f84537a7/Christian-Timm,f84537a7,Greuther-Furth,"2,396",26.6,7.0,0.0,30,13.0,17313,Greuther-Furth
