2013-2014,Guingamp
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Jérémy Sorbon,fr FRA,DF,37,37,0,1,"3,330",37.0,4,0,/en/players/7768df30/Jeremy-Sorbon,7768df30,Jeremy-Sorbo
Christophe Kerbrat,fr FRA,"DF,MF",36,36,0,0,"3,240",36.0,4,0,/en/players/0515a4cb/Christophe-Kerbrat,0515a4cb,Christophe-Kerbrat
Younousse Sankharé,sn SEN,MF,36,35,3,3,"2,990",33.2,11,0,/en/players/c650629d/Younousse-Sankhare,c650629d,Younousse-Sankh
Lionel Mathis,fr FRA,MF,31,30,0,0,"2,681",29.8,7,1,/en/players/ebed1a06/Lionel-Mathis,bed1a06,Lionel-Mathi
Mustapha Yatabaré,ml MLI,"FW,MF",31,30,3,11,"2,666",29.6,6,0,/en/players/398dc4f4/Mustapha-Yatabare,398dc4f4,Mustapha-Yatab
Claudio Beauvue,gp GLP,"FW,MF",36,28,3,5,"2,287",25.4,2,1,/en/players/8ca253a3/Claudio-Beauvue,8ca253a3,Claudio-Beauvu
Thibault Giresse,fr FRA,MF,30,23,2,3,"1,871",20.8,0,0,/en/players/81d9a76b/Thibault-Giresse,81d9a76b,Thibault-Gi
Jonathan Martins Pereira,fr FRA,DF,25,22,0,0,"1,993",22.1,10,1,/en/players/b51242ef/Jonathan-Martins-Pereira,b51242ef,Jonathan-Martins-Perei
Christophe Mandanne,fr FRA,"FW,MF",28,21,2,1,"1,810",20.1,5,0,/en/players/45d08d38/Christophe-Mandanne,45d08d38,Christophe-Mand
Reynald Lemaître,fr FRA,"DF,MF",22,21,3,0,"1,756",19.5,3,0,/en/players/ff44edbb/Reynald-Lemaitre,ff44edbb,Reynald-Lemait
Guy N'dy Assembé,cm CMR,GK,19,19,0,0,"1,710",19.0,1,0,/en/players/b41e280e/Guy-Ndy-Assembe,b41e280e,Guy-Ndy-Assemb
Mamadou Samassa,ml MLI,GK,19,19,0,0,"1,710",19.0,0,0,/en/players/cfe852d8/Mamadou-Samassa,cfe852d8,Mamadou-Sam
Fatih Atik,tr TUR,MF,28,18,4,2,"1,658",18.4,3,0,/en/players/2af5ac1b/Fatih-Atik,2af5ac1b,Fatih-Atik
Mustapha Diallo,sn SEN,"FW,MF",30,14,1,2,"1,459",16.2,8,2,/en/players/6c6ecdd4/Mustapha-Diallo,6c6ecdd4,Mustapha-Diallo
Dorian Lévêque,fr FRA,DF,18,13,0,0,"1,258",14.0,1,0,/en/players/1263fecd/Dorian-Leveque,1263fecd,Dorian-Levequ
Steeven Langil,fr FRA,"FW,MF",21,11,2,1,"1,060",11.8,0,0,/en/players/5086c324/Steeven-Langil,5086c324,Steeven-Langi
Laurent Dos Santos,fr FRA,"DF,MF",15,11,0,0,"1,050",11.7,1,0,/en/players/69b89eff/Laurent-Dos-Santos,69b89eff,Laurent-Dos-Santo
Baissama Sankoh,gn GUI,"DF,MF",11,10,0,0,883,9.8,0,0,/en/players/a8b4a643/Baissama-Sankoh,8b4a643,Baissama-Sankoh
Rachid Alioui,ma MAR,FW,16,9,1,2,753,8.4,0,0,/en/players/bdedd861/Rachid-Alioui,bdedd861,Rachid-Alioui
Ladislas Douniama,cg CGO,FW,16,6,1,1,683,7.6,0,0,/en/players/41b3082c/Ladislas-Douniama,41b3082c,Ladislas-Douniam
Mana Dembélé,ml MLI,FW,10,2,0,0,320,3.6,1,0,/en/players/a19db3d0/Mana-Dembele,19db3d0,Mana-Demb
Grégory Cerdan,fr FRA,DF,4,2,0,0,183,2.0,1,0,/en/players/7a545e43/Gregory-Cerdan,7a545e43,Gregory-Cerd
Cédric Fauré,fr FRA,FW,4,1,0,0,130,1.4,0,0,/en/players/6ffcea42/Cedric-Faure,6ffcea42,Cedric-Fau
Julien Bègue,re REU,MF,1,0,0,0,14,0.2,0,0,/en/players/3e06c057/Julien-Begue,3e06c057,Julien-Begu
Matheus Vivian,br BRA,DF,1,0,0,0,6,0.1,0,0,/en/players/72a87101/Matheus-Vivian,72a87101,Matheus-Vivi
