2008-2009,Hamburger-SV
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Frank Rost,de GER,GK,34,34,0,0,"3,060",34.0,3,0,/en/players/887b89b8/Frank-Rost,887b89b8,Frank-Rost
Joris Mathijsen,nl NED,DF,33,33,1,2,"2,970",33.0,7,0,/en/players/5758c29f/Joris-Mathijsen,5758c29f,Joris-Mathij
David Jarolím,cz CZE,MF,31,31,3,2,"2,755",30.6,11,1,/en/players/4f3c32c8/David-Jarolim,4f3c32c8,David-Jarolim
Ivica Olić,hr CRO,FW,31,27,1,10,"2,474",27.5,3,0,/en/players/1bb54bef/Ivica-Olic,1bb54bef,Ivica-Olic
Paolo Guerrero,pe PER,FW,31,27,4,9,"2,163",24.0,6,0,/en/players/ae6657a1/Paolo-Guerrero,6657a1,Paolo-Guerrero
Piotr Trochowski,de GER,MF,33,26,8,6,"2,434",27.0,5,0,/en/players/6cae08d5/Piotr-Trochowski,6cae08d5,Piotr-Trochowski
Guy Demel,ci CIV,"DF,MF",28,24,0,0,"2,092",23.2,8,0,/en/players/605bba68/Guy-Demel,605bba68,Guy-Dem
Marcell Jansen,de GER,"DF,MF",25,22,3,3,"1,878",20.9,1,0,/en/players/8686c780/Marcell-Jansen,8686c780,Marcell-J
Dennis Aogo,de GER,"DF,MF",23,19,1,0,"1,729",19.2,3,0,/en/players/c311243f/Dennis-Aogo,c311243f,Dennis-Aogo
Mladen Petrić,hr CRO,FW,25,17,2,12,"1,639",18.2,2,1,/en/players/2cc63c53/Mladen-Petric,2cc63c53,Mladen-Petric
Alex Silva,br BRA,DF,17,16,1,0,"1,303",14.5,4,0,/en/players/bb909b3a/Alex-Silva,bb909b3a,Alex-Silv
Bastian Reinhardt,de GER,DF,15,15,0,2,"1,284",14.3,3,0,/en/players/56d75dbe/Bastian-Reinhardt,56d75dbe,Bastian-Reinhardt
Jonathan Pitroipa,bf BFA,"FW,MF",28,14,2,1,"1,499",16.7,2,0,/en/players/f9c1fe93/Jonathan-Pitroipa,f9c1fe93,Jonathan-Pitroi
Collin Benjamin,na NAM,"DF,MF",20,14,0,1,"1,356",15.1,7,0,/en/players/9889b832/Collin-Benjamin,9889b832,Collin-Benjami
Jérôme Boateng,de GER,DF,21,14,2,0,"1,202",13.4,8,1,/en/players/2db2fd7b/Jerome-Boateng,2db2fd7b,Jerome-Boateng
Michael Gravgaard,dk DEN,DF,12,11,0,0,964,10.7,0,0,/en/players/9bb09d43/Michael-Gravgaard,9bb09d43,Michael-Gravgaard
Mickaël Tavares,sn SEN,MF,12,10,1,0,923,10.3,1,0,/en/players/d5818bfa/Mickael-Tavares,d5818bfa,Mickael-Tav
Timothée Atouba,cm CMR,DF,9,8,0,0,593,6.6,1,0,/en/players/8c0c6e13/Timothee-Atouba,8c0c6e13,Timothee-Atoub
Nigel de Jong,nl NED,MF,7,7,0,0,630,7.0,3,0,/en/players/a0e209bc/Nigel-de-Jong,0e209bc,Nigel-de-Jong
Albert Streit,de GER,MF,10,3,0,0,387,4.3,0,0,/en/players/35acf792/Albert-Streit,35acf792,Albert-Streit
Thiago Neves,br BRA,MF,6,2,1,0,207,2.3,0,0,/en/players/522d4722/Thiago-Neves,522d4722,Thiago-Nev
Vincent Kompany,be BEL,DF,1,0,0,0,39,0.4,0,0,/en/players/d2bff301/Vincent-Kompany,d2bff301,Vincent-Kom
Änis Ben-Hatira,tn TUN,MF,2,0,0,0,28,0.3,0,0,/en/players/132e4111/Anis-Ben-Hatira,132e4111,Anis-Ben-Hati
Marcel Ndjeng,cm CMR,MF,2,0,0,0,13,0.1,0,0,/en/players/b93ae324/Marcel-Ndjeng,b93ae324,Marcel-Ndjeng
Tunay Torun,tr TUR,"FW,MF",3,0,0,0,10,0.1,0,0,/en/players/d46ce637/Tunay-Torun,d46ce637,Tunay-Toru
Tomás Rincón,ve VEN,MF,1,0,0,0,4,0.0,0,0,/en/players/f1cfc209/Tomas-Rincon,f1cfc209,Tomas-Rinco
