,Player,Link,Player_id,Player_name,Nationality,Position
0,﻿Martin Pieckenhagen,/en/players/ccfe52bd/Martin-Pieckenhagen,ccfe52bd,Martin-Pieckenhag,de GER,GK
1,Tomáš Ujfaluši,/en/players/37d34e0a/Tomas-Ujfalusi,37d34e0a,Tomas-Ujfalusi,cz CZE,DF
2,Milan Fukal,/en/players/94c20a60/Milan-Fukal,94c20a60,Milan-Fuk,cz CZE,"DF,MF"
3,Nico-Jan Hoogma,/en/players/2d782ef7/Nico-Jan-Hoogma,2d782ef7,Nico-Jan-Hoogm,nl NED,DF
4,Mehdi Mahdavikia,/en/players/d048b174/Mehdi-Mahdavikia,d048b174,Mehdi-Mahdaviki,ir IRN,"DF,MF"
5,Bernardo Romeo,/en/players/d46625bb/Bernardo-Romeo,d46625bb,Bernardo-Romeo,ar ARG,FW
6,Bernd Hollerbach,/en/players/850d07eb/Bernd-Hollerbach,850d07eb,Bernd-Hollerbach,de GER,"DF,MF"
7,Sergej Barbarez,/en/players/ed3ba712/Sergej-Barbarez,d3ba712,Sergej-Barbarez,ba BIH,"FW,MF"
8,Marcel Maltritz,/en/players/3580e8f6/Marcel-Maltritz,3580e8f6,Marcel-Maltritz,de GER,"DF,MF"
9,Rodolfo Cardoso,/en/players/ab026a26/Rodolfo-Cardoso,b026a26,Rodolfo-Cardoso,ar ARG,MF
10,Collin Benjamin,/en/players/9889b832/Collin-Benjamin,9889b832,Collin-Benjami,na NAM,"DF,MF"
11,Raphaël Wicky,/en/players/4d8a501c/Raphael-Wicky,4d8a501c,Raphael-Wick,ch SUI,"DF,MF"
12,Ingo Hertzsch,/en/players/8084a11e/Ingo-Hertzsch,8084a11e,Ingo-Hertzsch,de GER,DF
13,Cristian Ledesma,/en/players/6a5a9744/Cristian-Ledesma,6a5a9744,Cristian-Ledesm,ar ARG,MF
14,Michael Baur,/en/players/743ce52e/Michael-Baur,743ce52e,Michael-Bau,at AUT,"DF,MF"
15,Naohiro Takahara,/en/players/d19b5a9e/Naohiro-Takahara,d19b5a9e,Naohiro-Takah,jp JPN,FW
16,Marek Heinz,/en/players/0624e150/Marek-Heinz,0624e150,Marek-Heinz,cz CZE,"FW,MF"
17,Christian Rahn,/en/players/9104592b/Christian-Rahn,9104592b,Christian-Rah,de GER,"DF,MF"
18,Erik Meijer,/en/players/150df2bb/Erik-Meijer,150df2bb,Erik-Meij,nl NED,FW
19,Stephan Kling,/en/players/7dc5405f/Stephan-Kling,7dc5405f,Stephan-Kling,de GER,DF
20,Lars Jacobsen,/en/players/bef72e41/Lars-Jacobsen,bef72e41,Lars-Jacob,dk DEN,DF
21,Jörg Albertz,/en/players/06db606d/Jorg-Albertz,06db606d,Jorg-Albertz,de GER,MF
22,Kim Christensen,/en/players/ff237ae3/Kim-Christensen,ff237ae3,Kim-Christ,dk DEN,FW
23,Roda Antar,/en/players/021e8467/Roda-Antar,021e8467,Roda-Ant,lb LIB,MF
24,Richard Kitzbichler,/en/players/306c5554/Richard-Kitzbichler,306c5554,Richard-Kitzbich,at AUT,MF
25,Martin Groth,/en/players/3d5a4bc6/Martin-Groth,3d5a4bc6,Martin-Groth,de GER,MF
27,David Jarolím,/en/players/4f3c32c8/David-Jarolim,4f3c32c8,David-Jarolim,cz CZE,MF
28,Stefan Wächter,/en/players/1c04a8cf/Stefan-Wachter,1c04a8cf,Stefan-Wacht,de GER,GK
29,Stefan Beinlich,/en/players/f1c2030c/Stefan-Beinlich,f1c2030c,Stefan-Beinlich,de GER,MF
30,Bastian Reinhardt,/en/players/56d75dbe/Bastian-Reinhardt,56d75dbe,Bastian-Reinhardt,de GER,DF
31,Björn Schlicke,/en/players/5531d218/Bjorn-Schlicke,5531d218,Bjorn-Schlick,de GER,DF
32,Vyacheslav Hleb,/en/players/7288ec49/Vyacheslav-Hleb,7288ec49,Vyacheslav-Hleb,by BLR,"FW,MF"
33,Tom Starke,/en/players/5b52d1f7/Tom-Starke,5b52d1f7,Tom-Stark,de GER,GK
34,Alexander Meier,/en/players/362aa29d/Alexander-Meier,362aa29d,Alexander-Mei,de GER,"FW,MF"
35,Eren Şen,/en/players/c78d50f1/Eren-Sen,c78d50f1,Eren-S,de GER,"FW,MF"
36,﻿Daniel Van Buyten,/en/players/18a7d190/Daniel-Van-Buyten,18a7d190,Daniel-Van-Buyt,be BEL,DF
37,René Klingbeil,/en/players/04398544/Rene-Klingbeil,04398544,Rene-Klingbei,de GER,DF
38,Khalid Boulahrouz,/en/players/9ccceabb/Khalid-Boulahrouz,9ccceabb,Khalid-Boulahrouz,nl NED,DF
39,Émile Mpenza,/en/players/4745cfd0/Emile-Mpenza,4745cfd0,Emile-Mpenz,be BEL,FW
40,Almami Moreira,/en/players/3b207ac3/Almami-Moreira,3b207ac3,Almami-Morei,gw GNB,MF
41,Benjamin Lauth,/en/players/a3876c87/Benjamin-Lauth,3876c87,Benjamin-Lauth,de GER,FW
42,Mišo Brečko,/en/players/3b9eca7f/Miso-Brecko,3b9eca7f,Miso-Brecko,si SVN,"DF,MF"
43,Mustafa Kučuković,/en/players/9a9497e1/Mustafa-Kucukovic,9a9497e1,Mustafa-Kucukovic,de GER,FW
44,Piotr Trochowski,/en/players/6cae08d5/Piotr-Trochowski,6cae08d5,Piotr-Trochowski,de GER,MF
45,Jean Carlos,/en/players/c93287de/Jean-Carlos,c93287de,Jean-Carlo,br BRA,DF
46,Alexander Laas,/en/players/d60795d8/Alexander-Laas,d60795d8,Alexander-L,de GER,MF
47,Timothée Atouba,/en/players/8c0c6e13/Timothee-Atouba,8c0c6e13,Timothee-Atoub,cm CMR,DF
48,Guy Demel,/en/players/605bba68/Guy-Demel,605bba68,Guy-Dem,ci CIV,"DF,MF"
49,Rafael van der Vaart,/en/players/41473b67/Rafael-van-der-Vaart,41473b67,Rafael-van-der-Vaart,nl NED,MF
50,Sascha Kirschstein,/en/players/917f0979/Sascha-Kirschstein,917f0979,Sascha-Kirschstei,de GER,GK
51,Nigel de Jong,/en/players/a0e209bc/Nigel-de-Jong,0e209bc,Nigel-de-Jong,nl NED,MF
52,Aílton Gonçalves,/en/players/692a249e/Ailton-Goncalves,692a249e,Ailton-Goncalv,br BRA,FW
53,Reto Ziegler,/en/players/facb3c57/Reto-Ziegler,facb3c57,Reto-Zieg,ch SUI,"DF,MF"
54,Mario Fillinger,/en/players/82d1116b/Mario-Fillinger,82d1116b,Mario-Filling,de GER,"DF,MF"
55,Charles Takyi,/en/players/1a5adb2a/Charles-Takyi,1a5adb2a,Charles-Takyi,gh GHA,MF
56,Markus Karl,/en/players/41f9024a/Markus-Karl,41f9024a,Markus-K,de GER,"DF,MF"
57,﻿Joris Mathijsen,/en/players/5758c29f/Joris-Mathijsen,5758c29f,Joris-Mathij,nl NED,DF
58,Frank Rost,/en/players/887b89b8/Frank-Rost,887b89b8,Frank-Rost,de GER,GK
59,Juan Pablo Sorín,/en/players/239e2070/Juan-Pablo-Sorin,239e2070,Juan-Pablo-Sori,ar ARG,"DF,MF"
60,Ivica Olić,/en/players/1bb54bef/Ivica-Olic,1bb54bef,Ivica-Olic,hr CRO,FW
61,Danijel Ljuboja,/en/players/6352ab30/Danijel-Ljuboja,6352ab30,Danijel-Ljuboj,rs SRB,FW
62,Paolo Guerrero,/en/players/ae6657a1/Paolo-Guerrero,6657a1,Paolo-Guerrero,pe PER,FW
63,Benny Feilhaber,/en/players/7ed107b1/Benny-Feilhaber,7ed107b1,Benny-Feilhab,us USA,MF
64,Vincent Kompany,/en/players/d2bff301/Vincent-Kompany,d2bff301,Vincent-Kom,be BEL,DF
65,Mathias Abel,/en/players/b0157081/Mathias-Abel,b0157081,Mathias-Ab,de GER,DF
66,Besart Berisha,/en/players/1eb30409/Besart-Berisha,1eb30409,Besart-Berish,xk KVX,FW
67,Volker Schmidt,/en/players/df451acf/Volker-Schmidt,df451acf,Volker-Schmidt,de GER,DF
68,Änis Ben-Hatira,/en/players/132e4111/Anis-Ben-Hatira,132e4111,Anis-Ben-Hati,tn TUN,MF
69,Jérôme Boateng,/en/players/2db2fd7b/Jerome-Boateng,2db2fd7b,Jerome-Boateng,de GER,DF
70,Mohamed Zidan,/en/players/858ecfad/Mohamed-Zidan,858ecfad,Mohamed-Zid,eg EGY,FW
71,Romeo Castelen,/en/players/b64ea98c/Romeo-Castelen,b64ea98c,Romeo-Cast,nl NED,"FW,MF"
72,Eric Maxim Choupo-Moting,/en/players/0e6bc38c/Eric-Maxim-Choupo-Moting,0e6bc38c,Eric-Maxim-Choupo-Moting,cm CMR,"FW,MF"
73,Sidney Sam,/en/players/988d81bd/Sidney-Sam,988d81bd,Sidney-Sam,de GER,"FW,MF"
74,Otto Addo,/en/players/5a90e8df/Otto-Addo,5a90e8df,Otto-Addo,gh GHA,MF
75,Wolfgang Hesl,/en/players/3e36e512/Wolfgang-Hesl,3e36e512,Wolfgang-H,de GER,GK
76,Anton Putsila,/en/players/1f367ca1/Anton-Putsila,1f367ca1,Anton-Putsi,by BLR,MF
77,Vadis Odjidja-Ofoe,/en/players/518918ad/Vadis-Odjidja-Ofoe,518918ad,Vadis-Odjidja-Ofo,be BEL,"DF,MF"
78,Dennis Aogo,/en/players/c311243f/Dennis-Aogo,c311243f,Dennis-Aogo,de GER,"DF,MF"
79,Mladen Petrić,/en/players/2cc63c53/Mladen-Petric,2cc63c53,Mladen-Petric,hr CRO,FW
80,Alex Silva,/en/players/bb909b3a/Alex-Silva,bb909b3a,Alex-Silv,br BRA,DF
81,Jonathan Pitroipa,/en/players/f9c1fe93/Jonathan-Pitroipa,f9c1fe93,Jonathan-Pitroi,bf BFA,"FW,MF"
82,Michael Gravgaard,/en/players/9bb09d43/Michael-Gravgaard,9bb09d43,Michael-Gravgaard,dk DEN,DF
83,Mickaël Tavares,/en/players/d5818bfa/Mickael-Tavares,d5818bfa,Mickael-Tav,sn SEN,MF
84,Albert Streit,/en/players/35acf792/Albert-Streit,35acf792,Albert-Streit,de GER,MF
85,Thiago Neves,/en/players/522d4722/Thiago-Neves,522d4722,Thiago-Nev,br BRA,MF
86,Marcel Ndjeng,/en/players/b93ae324/Marcel-Ndjeng,b93ae324,Marcel-Ndjeng,cm CMR,MF
87,Tunay Torun,/en/players/d46ce637/Tunay-Torun,d46ce637,Tunay-Toru,tr TUR,"FW,MF"
88,Tomás Rincón,/en/players/f1cfc209/Tomas-Rincon,f1cfc209,Tomas-Rinco,ve VEN,MF
89,Zé Roberto,/en/players/c332aacf/Ze-Roberto,c332aacf,Ze-Roberto,br BRA,"DF,MF"
90,David Rozehnal,/en/players/f97753b7/David-Rozehnal,f97753b7,David-Rozeh,cz CZE,DF
91,Marcus Berg,/en/players/b39bf63f/Marcus-Berg,b39bf63f,Marcus-Berg,se SWE,FW
92,Marcell Jansen,/en/players/8686c780/Marcell-Jansen,8686c780,Marcell-J,de GER,"DF,MF"
93,Ruud van Nistelrooy,/en/players/80a30989/Ruud-van-Nistelrooy,80a30989,Ruud-van-Nistelroo,nl NED,FW
94,Robert Tesche,/en/players/037130ca/Robert-Tesche,037130ca,Robert-Tesch,de GER,MF
95,Tolgay Arslan,/en/players/963a328b/Tolgay-Arslan,963a328b,Tolgay-A,de GER,MF
96,Sören Bertram,/en/players/35a7ed6e/Soren-Bertram,35a7ed6e,Soren-Bertram,de GER,"DF,FW"
97,Maximilian Beister,/en/players/25df5f56/Maximilian-Beister,25df5f56,Maximilian-Beist,de GER,"FW,MF"
98,﻿Heiko Westermann,/en/players/7beecde1/Heiko-Westermann,7beecde1,Heiko-Westerm,de GER,"DF,MF"
99,Eljero Elia,/en/players/05cb19c5/Eljero-Elia,05cb19c5,Eljero-Eli,nl NED,"FW,MF"
100,Son Heung-min,/en/players/92e7e919/Son-Heung-min,92e7e919,Son-Heung-mi,kr KOR,"FW,MF"
101,Dennis Diekmeier,/en/players/6873f3bc/Dennis-Diekmeier,6873f3bc,Dennis-Diekmei,de GER,"DF,MF"
102,Jaroslav Drobný,/en/players/e4a30d8c/Jaroslav-Drobny,4a30d8c,Jaroslav-Drob,cz CZE,GK
103,Muhamed Bešić,/en/players/7ca9f0f0/Muhamed-Besic,7ca9f0f0,Muhamed-Besic,ba BIH,"DF,MF"
104,Jeffrey Bruma,/en/players/fbffc4b1/Jeffrey-Bruma,fbffc4b1,Jeffrey-Brum,nl NED,DF
105,Gökhan Töre,/en/players/51960957/Gokhan-Tore,51960957,Gokhan-To,tr TUR,"FW,MF"
106,Michael Mancienne,/en/players/2db3ae0a/Michael-Mancienne,2db3ae0a,Michael-Manci,sc SEY,"DF,MF"
