2016-2017,Hannover-96
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Philipp Tschauner,de GER,GK,32,32,0,0,"2,880",32.0,1,0,/en/players/73e2f6eb/Philipp-Tschauner,73e2f6eb,Philipp-Tschau
Waldemar Anton,de GER,"DF,MF",31,29,1,2,"2,634",29.3,6,0,/en/players/5e66fa06/Waldemar-Anton,5e66fa06,Waldemar-Anto
Marvin Bakalorz,de GER,MF,30,28,2,0,"2,545",28.3,4,0,/en/players/04c11885/Marvin-Bakalorz,04c11885,Marvin-Bakalorz
Felix Klaus,de GER,MF,30,28,3,6,"2,405",26.7,8,0,/en/players/aeda1f69/Felix-Klaus,da1f69,Felix-Klau
Salif Sané,sn SEN,"DF,MF",28,26,1,2,"2,338",26.0,8,2,/en/players/791abba1/Salif-Sane,791abba1,Salif-S
Oliver Sorg,de GER,DF,26,26,0,0,"2,232",24.8,2,0,/en/players/541cdd20/Oliver-Sorg,541cdd20,Oliver-Sorg
Martin Harnik,at AUT,"FW,MF",30,25,2,17,"2,320",25.8,5,0,/en/players/99b7584f/Martin-Harnik,99b7584f,Martin-Harnik
Manuel Schmiedebach,de GER,MF,26,24,1,0,"2,157",24.0,8,0,/en/players/d8f5dc3d/Manuel-Schmiedebach,d8f5dc3d,Manuel-Schmiedebach
Miiko Albornoz,cl CHI,DF,27,23,2,0,"2,178",24.2,4,0,/en/players/d459281d/Miiko-Albornoz,d459281d,Miiko-Albornoz
Edgar Prib,de GER,"MF,DF",27,22,6,1,"1,842",20.5,10,0,/en/players/420ff5a3/Edgar-Prib,420ff5a3,Edgar-Prib
Kenan Karaman,tr TUR,"MF,FW",31,17,4,6,"1,641",18.2,3,0,/en/players/8f0f2230/Kenan-Karaman,8f0f2230,Kenan-Karam
Iver Fossum,no NOR,MF,25,15,2,1,"1,369",15.2,1,0,/en/players/ce218223/Iver-Fossum,ce218223,Iver-Fossum
Florian Hübner,de GER,DF,15,14,0,1,"1,279",14.2,4,0,/en/players/e87ad81a/Florian-Hubner,87ad81a,Florian-Hub
Niclas Füllkrug,de GER,FW,27,13,3,5,"1,196",13.3,1,0,/en/players/4f16405e/Niclas-Fullkrug,4f16405e,Niclas-Fullkrug
Stefan Strandberg,no NOR,DF,12,12,2,0,"1,080",12.0,4,0,/en/players/6d5e62b0/Stefan-Strandberg,6d5e62b0,Stefan-Strandberg
Artur Sobiech,pl POL,FW,23,11,2,2,986,11.0,1,0,/en/players/73d30c88/Artur-Sobiech,73d30c88,Artur-Sobiech
Sebastian Maier,de GER,MF,17,10,2,2,816,9.1,5,0,/en/players/e8385ec4/Sebastian-Maier,8385ec4,Sebastian-Mai
Noah Joel Sarenren Bazee,ng NGA,"MF,FW",13,8,5,1,709,7.9,2,0,/en/players/fbbc8e15/Noah-Joel-Sarenren-Bazee,fbbc8e15,Noah-Joel-Sarenren-Baz
Felipe,br BRA,DF,6,4,0,1,373,4.1,4,2,/en/players/de164de6/Felipe,de164de6,Feli
Uffe Bech,dk DEN,MF,7,4,0,1,321,3.6,0,0,/en/players/f7097e8a/Uffe-Bech,f7097e8a,Uffe-Bech
Samuel Şahin-Radlinger,at AUT,GK,2,2,0,0,180,2.0,1,0,/en/players/e385200c/Samuel-Sahin-Radlinger,385200c,Samuel-Sahin-Radling
Fynn Arkenberg,de GER,DF,1,1,0,0,90,1.0,0,0,/en/players/b301674b/Fynn-Arkenberg,b301674b,Fynn-Arkenberg
Mike-Steven Bähre,de GER,MF,2,0,0,0,32,0.4,0,0,/en/players/3fb33d66/Mike-Steven-Bahre,3fb33d66,Mike-Steven-Bah
Charlison Benschop,cw CUW,FW,2,0,0,0,13,0.1,0,0,/en/players/fc93fdf1/Charlison-Benschop,fc93fdf1,Charlison-Benscho
Babacar Guèye,sn SEN,FW,2,0,0,0,5,0.1,0,0,/en/players/4942dad3/Babacar-Gueye,4942dad3,Babacar-Gu
Valmir Sulejmani,xk KVX,"FW,MF",1,0,0,0,4,0.0,0,0,/en/players/63923468/Valmir-Sulejmani,63923468,Valmir-Sulejmani
Elias Huth,de GER,FW,1,0,0,0,1,0.0,0,0,/en/players/68e1abfd/Elias-Huth,68e1abfd,Elias-Huth
Timo Königsmann,de GER,GK,0,0,,,,,,,/en/players/010ad222/Timo-Konigsmann,010ad222,Timo-Konigsm
Lars Ritzka,de GER,DF,0,0,,,,,,,/en/players/35d23b15/Lars-Ritzka,35d23b15,Lars-Ritzk
Marius Wolf,de GER,"DF,FW",0,0,,,,,,,/en/players/fa661778/Marius-Wolf,fa661778,Marius-Wolf
