Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Link,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB,club
,﻿Steve Cherundolo,us USA,DF,33,33,3.0,0.0,2002-2003,/en/players/3e32a24a/Steve-Cherundolo,3e32a24a,Hannover-96,"2,877",32.0,7.0,0.0,11,75.0,16850,Hannover-96
,Altin Lala,al ALB,MF,32,30,0.0,0.0,2002-2003,/en/players/f8335d3b/Altin-Lala,f8335d3b,Hannover-96,"2,706",30.1,7.0,0.0,11,78.0,16851,Hannover-96
,Nebojša Krupniković,rs SRB,MF,32,30,7.0,5.0,2002-2003,/en/players/9eb090ea/Nebojsa-Krupnikovic,9eb090ea,Hannover-96,"2,524",28.0,2.0,0.0,11,28.0,16852,Hannover-96
,Mohammadou Idrissou,cm CMR,FW,30,27,3.0,9.0,2002-2003,/en/players/97c8a1a7/Mohammadou-Idrissou,97c8a1a7,Hannover-96,"2,431",27.0,4.0,0.0,11,36.0,16853,Hannover-96
,Fredi Bobic,de GER,FW,27,27,2.0,14.0,2002-2003,/en/players/e3f9d3e8/Fredi-Bobic,3f9d3e8,Hannover-96,"2,402",26.7,6.0,1.0,11,13.0,15995,Hannover-96
,Jiří Štajner,cz CZE,"FW,MF",32,24,6.0,4.0,2002-2003,/en/players/0e7d8367/Jiri-Stajner,0e7d8367,Hannover-96,"2,206",24.5,3.0,0.0,11,84.0,16854,Hannover-96
,Kostas Konstantinidis,gr GRE,DF,21,21,1.0,2.0,2002-2003,/en/players/e28ce024/Kostas-Konstantinidis,28ce024,Hannover-96,"1,802",20.0,3.0,0.0,11,55.0,16855,Hannover-96
,Jaime,es ESP,MF,22,21,2.0,0.0,2002-2003,/en/players/3bd0615c/Jaime,3bd0615c,Hannover-96,"1,797",20.0,7.0,0.0,11,1.0,3721,Hannover-96
,Gerhard Tremmel,de GER,GK,18,18,0.0,0.0,2002-2003,/en/players/4370cecc/Gerhard-Tremmel,4370cecc,Hannover-96,"1,619",18.0,0.0,0.0,11,13.0,10616,Hannover-96
,Vinícius Bergantin,br BRA,DF,17,17,0.0,2.0,2002-2003,/en/players/ce908c5c/Vinicius-Bergantin,ce908c5c,Hannover-96,"1,530",17.0,1.0,0.0,11,2.0,16856,Hannover-96
,Jörg Sievers,de GER,GK,17,16,0.0,0.0,2002-2003,/en/players/a74b55f3/Jorg-Sievers,74b55f3,Hannover-96,"1,441",16.0,3.0,0.0,11,13.0,16857,Hannover-96
,Danijel Štefulj,hr CRO,"DF,MF",21,15,3.0,1.0,2002-2003,/en/players/31a565a4/Danijel-Stefulj,31a565a4,Hannover-96,"1,420",15.8,3.0,0.0,11,16.0,16858,Hannover-96
,Daniel Stendel,de GER,FW,29,14,3.0,2.0,2002-2003,/en/players/82f6fd84/Daniel-Stendel,82f6fd84,Hannover-96,"1,329",14.8,0.0,0.0,11,13.0,16859,Hannover-96
,Dariusz Żuraw,pl POL,DF,14,14,0.0,2.0,2002-2003,/en/players/27d42ecd/Dariusz-Zuraw,27d42ecd,Hannover-96,"1,200",13.3,1.0,0.0,11,14.0,16860,Hannover-96
,Gheorghe Popescu,ro ROU,"DF,FW",14,13,0.0,1.0,2002-2003,/en/players/7a2b4127/Gheorghe-Popescu,7a2b4127,Hannover-96,"1,206",13.4,4.0,0.0,11,51.0,16861,Hannover-96
