2014-2015,Hansa-Rostock
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Christian Bickel,de GER,MF,36,35,13,7,"2,993",33.3,7,0,/en/players/17e29139/Christian-Bickel,17e29139,Christian-Bick
Denis Weidlich,de GER,"DF,MF",35,34,0,4,"3,000",33.3,5,0,/en/players/aea432ca/Denis-Weidlich,432ca,Denis-Weidlich
Steven Ruprecht,de GER,DF,33,33,1,6,"2,915",32.4,11,0,/en/players/13c97140/Steven-Ruprecht,13c97140,Steven-Ruprecht
Marcel Ziemer,de GER,FW,34,27,3,15,"2,479",27.5,7,0,/en/players/3071b4f1/Marcel-Ziemer,3071b4f1,Marcel-Ziem
David Blacha,pl POL,MF,21,19,2,2,"1,609",17.9,0,0,/en/players/6b4b1976/David-Blacha,6b4b1976,David-Blach
Robin Krauße,de GER,"DF,MF",19,17,0,0,"1,440",16.0,7,2,/en/players/bd045d90/Robin-Krausse,bd045d90,Robin-Krau
Sascha Schünemann,de GER,MF,21,16,1,1,"1,449",16.1,2,0,/en/players/6d571f2a/Sascha-Schunemann,6d571f2a,Sascha-Schunem
Oliver Hüsing,de GER,DF,16,16,0,2,"1,440",16.0,3,0,/en/players/4d0d4790/Oliver-Husing,4d0d4790,Oliver-Husing
Marcel Schuhen,de GER,GK,16,16,0,0,"1,440",16.0,1,0,/en/players/5fa2e0cf/Marcel-Schuhen,5fa2e0cf,Marcel-Schuh
Maximilian Ahlschwede,de GER,"DF,MF",16,16,1,0,"1,425",15.8,1,1,/en/players/6aaf31cb/Maximilian-Ahlschwede,6aaf31cb,Maximilian-Ahlschwed
Halil Savran,tr TUR,FW,23,15,5,6,"1,417",15.7,6,0,/en/players/c5c3afbc/Halil-Savran,c5c3afbc,Halil-Sav
Christian Stuff,de GER,DF,15,15,0,0,"1,350",15.0,2,0,/en/players/39a59193/Christian-Stuff,39a59193,Christian-Stuff
Max Christiansen,de GER,MF,17,15,0,0,"1,297",14.4,2,0,/en/players/e7b899b8/Max-Christiansen,7b899b8,Max-Christi
Jörg Hahnel,de GER,GK,14,14,0,0,"1,252",13.9,1,1,/en/players/ab109e1e/Jorg-Hahnel,b109e1e,Jorg-Hah
Mikko Sumusalo,fi FIN,DF,14,14,0,0,"1,188",13.2,2,1,/en/players/de25754c/Mikko-Sumusalo,de25754c,Mikko-Sumusalo
Aleksandar Stevanović,de GER,MF,15,14,3,0,"1,184",13.2,2,0,/en/players/83b7105e/Aleksandar-Stevanovic,83b7105e,Aleksandar-Stevanovic
Kai Schwertfeger,de GER,DF,20,12,0,2,"1,141",12.7,3,1,/en/players/2b10f667/Kai-Schwertfeger,2b10f667,Kai-Schwertfeg
Julian Jakobs,de GER,MF,19,10,1,1,"1,038",11.5,3,0,/en/players/dd20be95/Julian-Jakobs,dd20be95,Julian-Jakob
Sabrin Sburlea,ro ROU,FW,14,10,1,1,858,9.5,1,0,/en/players/4af41878/Sabrin-Sburlea,4af41878,Sabrin-Sbu
Sebastian Pelzer,de GER,DF,9,9,0,0,792,8.8,1,0,/en/players/491cd5ba/Sebastian-Pelzer,491cd5ba,Sebastian-Pelz
Dennis Srbeny,de GER,"FW,MF",18,9,2,1,750,8.3,1,0,/en/players/1fdec858/Dennis-Srbeny,1fdec858,Dennis-Srb
José-Alex Ikeng,de GER,MF,10,8,1,1,725,8.1,2,0,/en/players/123c5118/Jose-Alex-Ikeng,123c5118,Jose-Alex-Ikeng
Johannes Brinkies,de GER,GK,9,8,0,0,723,8.0,1,0,/en/players/d2dcbd40/Johannes-Brinkies,d2dcbd40,Johannes-Brinki
Marco Kofler,at AUT,"DF,MF",8,8,0,0,683,7.6,6,0,/en/players/14bd862f/Marco-Kofler,14bd862f,Marco-Kof
Markus Gröger,de GER,DF,11,7,0,0,647,7.2,1,0,/en/players/cd8274a9/Markus-Groger,cd8274a9,Markus-Grog
Tommy Grupe,de GER,"DF,MF",9,6,0,0,533,5.9,1,0,/en/players/77f8e005/Tommy-Grupe,77f8e005,Tommy-Gru
Shervin Radjabali-Fardi,de GER,DF,10,4,0,0,433,4.8,0,0,/en/players/fe98cf87/Shervin-Radjabali-Fardi,fe98cf87,Shervin-Radjabali-Fardi
Mustafa Kučuković,de GER,FW,9,4,0,3,412,4.6,1,0,/en/players/9a9497e1/Mustafa-Kucukovic,9a9497e1,Mustafa-Kucukovic
Manfred Starke,na NAM,"DF,FW",10,2,2,0,315,3.5,0,0,/en/players/fe931c47/Manfred-Starke,fe931c47,Manfred-Stark
Jovan Vidović,si SVN,DF,9,2,0,0,199,2.2,0,0,/en/players/7677e075/Jovan-Vidovic,7677e075,Jovan-Vidovic
Martin Pett,de GER,"DF,MF",3,2,0,0,181,2.0,0,0,/en/players/7bb70820/Martin-Pett,7bb70820,Martin-Pett
Lukas Scherff,de GER,"DF,MF",2,1,0,0,156,1.7,0,0,/en/players/170dcc20/Lukas-Scherff,170dcc20,Lukas-Scherff
Nico Matern,de GER,MF,1,0,0,0,11,0.1,0,0,/en/players/32979737/Nico-Matern,32979737,Nico-Mat
Aykut Erdoğan,tr TUR,MF,0,0,,,,,,,/en/players/e9056697/Aykut-Erdogan,9056697,Aykut-Erdog
Fabian Künnemann,de GER,GK,0,0,,,,,,,/en/players/9a08fb78/Fabian-Kunnemann,9a08fb78,Fabian-Kunnem
