2019-2020,Hellas-Verona
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Darko Lazović,rs SRB,DF,38,37,7,3,"3,239",36.0,4,0,/en/players/5128bde4/Darko-Lazovic,5128bde4,Darko-Lazovic
Davide Faraoni,it ITA,DF,36,36,3,5,"3,228",35.9,6,0,/en/players/aae9d04a/Davide-Faraoni,9d04a,Davide-Faraoni
Amir Rrahmani,xk KVX,DF,36,36,1,0,"3,228",35.9,5,0,/en/players/4b3e1a38/Amir-Rrahmani,4b3e1a38,Amir-Rrahmani
Marco Silvestri,it ITA,GK,35,35,0,0,"3,150",35.0,2,0,/en/players/0d422df7/Marco-Silvestri,0d422df7,Marco-Silvestri
Sofyan Amrabat,ma MAR,MF,34,33,1,1,"2,919",32.4,10,2,/en/players/5a2cb25d/Sofyan-Amrabat,5a2cb25d,Sofyan-Amrabat
Miguel Veloso,pt POR,MF,34,32,4,3,"2,811",31.2,6,0,/en/players/ab1ca213/Miguel-Veloso,b1ca213,Miguel-Veloso
Koray Günter,de GER,DF,32,31,0,0,"2,733",30.4,7,0,/en/players/f1f1f238/Koray-Gunter,f1f1f238,Koray-Gunt
Matteo Pessina,it ITA,MF,35,27,0,7,"2,489",27.7,7,0,/en/players/780e3631/Matteo-Pessina,780e3631,Matteo-Pessi
Mattia Zaccagni,it ITA,"MF,FW",34,26,5,2,"2,114",23.5,5,0,/en/players/d85c238b/Mattia-Zaccagni,d85c238b,Mattia-Zaccagni
Marash Kumbulla,al ALB,DF,25,25,0,1,"1,950",21.7,7,1,/en/players/a40819d9/Marash-Kumbulla,40819d9,Marash-Kumbu
Valerio Verre,it ITA,"MF,FW",32,22,2,3,"1,774",19.7,4,0,/en/players/33ecf462/Valerio-Verre,33ecf462,Valerio-V
Samuel Di Carmine,it ITA,"FW,MF",22,17,0,8,"1,293",14.4,3,0,/en/players/ef94dc2f/Samuel-Di-Carmine,f94dc2f,Samuel-Di-Carmi
Fabio Borini,it ITA,"MF,FW",14,9,0,3,808,9.0,1,1,/en/players/ef5b337e/Fabio-Borini,f5b337e,Fabio-Borini
Alan Empereur,br BRA,DF,13,8,0,0,855,9.5,3,0,/en/players/825b8997/Alan-Empereur,825b8997,Alan-Empereu
Mariusz Stępiński,pl POL,"FW,MF",21,7,1,3,706,7.8,3,1,/en/players/7b536033/Mariusz-Stepinski,7b536033,Mariusz-Stepinski
Paweł Dawidowicz,pl POL,DF,15,7,0,1,693,7.7,4,2,/en/players/16bb656a/Pawel-Dawidowicz,16bb656a,Pawel-Dawidowicz
