2021-2022,Hertha-BSC
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Santiago Ascacíbar,ar ARG,MF,28,27,1,0,"2,375",26.4,5,0,/en/players/e26fcca3/Santiago-Ascacibar,26fcca3,Santiago-Ascacib
Suat Serdar,de GER,MF,30,27,0,3,"2,218",24.6,6,0,/en/players/b3325a30/Suat-Serdar,b3325a30,Suat-Serd
Peter Pekarík,sk SVK,DF,27,26,0,0,"2,234",24.8,1,0,/en/players/c18d22f5/Peter-Pekarik,c18d22f5,Peter-Pekarik
Alexander Schwolow,de GER,GK,25,25,0,0,"2,175",24.2,1,0,/en/players/0d55d942/Alexander-Schwolow,0d55d942,Alexander-Schwolow
Vladimír Darida,cz CZE,MF,25,23,5,2,"1,786",19.8,6,0,/en/players/3eb0f2df/Vladimir-Darida,3eb0f2df,Vladimir-Darid
Niklas Stark,de GER,"DF,MF",26,22,0,1,"2,031",22.6,3,0,/en/players/aad48be9/Niklas-Stark,d48be9,Niklas-Stark
Lucas Tousart,fr FRA,MF,30,22,0,2,"1,962",21.8,3,0,/en/players/71ec39ef/Lucas-Tousart,71ec39ef,Lucas-Tousart
Dedryck Boyata,be BEL,DF,23,22,0,0,"1,898",21.1,1,1,/en/players/7c473e12/Dedryck-Boyata,7c473e12,Dedryck-Boyat
Marco Richter,de GER,"MF,FW",30,19,1,5,"1,704",18.9,6,0,/en/players/f972644c/Marco-Richter,f972644c,Marco-Richt
Marvin Plattenhardt,de GER,DF,21,19,3,0,"1,637",18.2,3,0,/en/players/f7aa75bd/Marvin-Plattenhardt,f7aa75bd,Marvin-Plattenhardt
Ishak Belfodil,dz ALG,FW,26,17,2,5,"1,636",18.2,1,0,/en/players/ff182fdc/Ishak-Belfodil,ff182fdc,Ishak-Belfodi
Maximilian Mittelstädt,de GER,"DF,MF",24,16,5,0,"1,493",16.6,3,0,/en/players/88d4144a/Maximilian-Mittelstadt,88d4144a,Maximilian-Mittelstadt
Stevan Jovetić,me MNE,"FW,MF",18,13,1,6,"1,017",11.3,3,0,/en/players/f36c432f/Stevan-Jovetic,f36c432f,Stevan-Jovetic
Marc-Oliver Kempf,de GER,DF,12,12,1,0,"1,051",11.7,1,1,/en/players/815c314f/Marc-Oliver-Kempf,815c314f,Marc-Oliver-Kempf
Davie Selke,de GER,FW,25,10,0,4,"1,004",11.2,2,0,/en/players/1238a3f9/Davie-Selke,1238a3f9,Davie-Selk
Marcel Lotka,pl POL,GK,10,9,0,0,885,9.8,1,0,/en/players/5584552e/Marcel-Lotka,5584552e,Marcel-Lotk
Myziane Maolida,fr FRA,"MF,FW",14,9,1,1,776,8.6,0,0,/en/players/706a60e1/Myziane-Maolida,706a60e1,Myziane-Maolid
Márton Dárdai,de GER,DF,12,9,1,0,755,8.4,2,0,/en/players/41bff4fa/Marton-Dardai,41bff4fa,Marton-Dardai
Kevin-Prince Boateng,gh GHA,"MF,FW",18,8,0,0,696,7.7,8,0,/en/players/f4ec4fd0/Kevin-Prince-Boateng,f4ec4fd0,Kevin-Prince-Boateng
Jurgen Ekkelenkamp,nl NED,"MF,FW",21,6,0,3,718,8.0,1,0,/en/players/73d6a176/Jurgen-Ekkelenkamp,73d6a176,Jurgen-Ekkelenkam
Linus Gechter,de GER,DF,13,6,0,1,716,8.0,0,0,/en/players/ad2b068c/Linus-Gechter,d2b068c,Linus-Gecht
