2008-2009,Hoffenheim
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Demba Ba,sn SEN,FW,33,33,4,14,"2,871",31.9,4,0,/en/players/8b683d09/Demba-Ba,8b683d09,Demba-B
Andreas Beck,de GER,"DF,MF",30,30,2,0,"2,698",30.0,10,1,/en/players/00a6485f/Andreas-Beck,00a6485f,Andreas-Beck
Marvin Compper,de GER,DF,30,30,2,1,"2,681",29.8,5,0,/en/players/3e99c613/Marvin-Compper,3e99c613,Marvin-Com
Luiz Gustavo,br BRA,"DF,MF",28,27,1,0,"2,317",25.7,13,2,/en/players/82671804/Luiz-Gustavo,82671804,Luiz-Gustavo
Tobias Weis,de GER,MF,31,26,2,0,"2,295",25.5,4,1,/en/players/e7dcf8b9/Tobias-Weis,7dcf8b9,Tobias-Wei
Sejad Salihović,ba BIH,"DF,MF",29,25,8,8,"2,217",24.6,10,0,/en/players/a4e14205/Sejad-Salihovic,4e14205,Sejad-Salihovic
Carlos Eduardo,br BRA,"FW,MF",25,24,6,8,"2,035",22.6,0,1,/en/players/f8b7e8ff/Carlos-Eduardo,f8b7e8ff,Carlos-Eduardo
Andreas Ibertsberger,at AUT,DF,24,23,0,0,"1,915",21.3,2,0,/en/players/3f5e6201/Andreas-Ibertsberger,3f5e6201,Andreas-Ibertsberg
Matthias Jaissle,de GER,DF,22,21,0,0,"1,880",20.9,4,0,/en/players/fb053c54/Matthias-Jaissle,fb053c54,Matthias-Jai
Chinedu Obasi,ng NGA,FW,24,19,4,6,"1,758",19.5,4,0,/en/players/be26f25e/Chinedu-Obasi,be26f25e,Chinedu-Obasi
Daniel Haas,de GER,GK,18,17,0,0,"1,532",17.0,0,1,/en/players/52d54062/Daniel-Haas,52d54062,Daniel-H
Vedad Ibišević,ba BIH,FW,17,17,4,18,"1,457",16.2,0,0,/en/players/c3fd9887/Vedad-Ibisevic,c3fd9887,Vedad-Ibisevic
Isaac Vorsah,gh GHA,"DF,MF",26,15,1,0,"1,381",15.3,1,0,/en/players/0f4ff44a/Isaac-Vorsah,0f4ff44a,Isaac-Vorsah
Per Nilsson,se SWE,DF,15,13,0,0,"1,059",11.8,2,0,/en/players/fea4dba4/Per-Nilsson,fea4dba4,Per-Nilsso
Christoph Janker,de GER,DF,17,10,0,0,996,11.1,4,0,/en/players/cf01fe3a/Christoph-Janker,cf01fe3a,Christoph-Jank
Boubacar Sanogo,ci CIV,FW,14,10,0,1,897,10.0,1,0,/en/players/db512619/Boubacar-Sanogo,db512619,Boubacar-Sanogo
Timo Hildebrand,de GER,GK,10,10,0,0,869,9.7,0,0,/en/players/672b5171/Timo-Hildebrand,672b5171,Timo-Hildebrand
Selim Teber,de GER,MF,23,9,5,3,853,9.5,6,0,/en/players/78b26e35/Selim-Teber,78b26e35,Selim-Teb
Ramazan Özcan,at AUT,GK,8,7,0,0,659,7.3,0,0,/en/players/a165a577/Ramazan-Ozcan,165a577,Ramazan-Ozc
Wellington,br BRA,FW,18,4,0,3,475,5.3,2,0,/en/players/332bf291/Wellington,332bf291,Wellingto
Fabrício,br BRA,DF,6,1,0,0,189,2.1,2,0,/en/players/2ddf9f3f/Fabricio,2ddf9f3f,Fabricio
Zsolt Lőw,hu HUN,"DF,MF",1,1,0,0,90,1.0,1,0,/en/players/61c26afc/Zsolt-Low,61c26afc,Zsolt-Low
Boris Vukčević,de GER,MF,1,1,0,0,85,0.9,0,0,/en/players/1972bcbb/Boris-Vukcevic,1972bcbb,Boris-Vukcevic
Pascal Groß,de GER,"FW,MF",4,1,0,0,51,0.6,0,0,/en/players/8aec0537/Pascal-Gross,8aec0537,Pascal-Gro
Marco Terrazzino,de GER,"FW,MF",11,0,0,0,203,2.3,0,0,/en/players/7e689867/Marco-Terrazzino,7e689867,Marco-Terrazzino
Francisco Copado,es ESP,"FW,MF",6,0,0,1,86,1.0,0,0,/en/players/0427c7cc/Francisco-Copado,0427c7cc,Francisco-Copado
