2012-2013,Huddersfield-Town
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Alex Smithies,eng ENG,GK,46,46,0,0,"4,095",45.5,1,0,/en/players/bb91617c/Alex-Smithies,bb91617c,Alex-Smithi
Adam Clayton,eng ENG,MF,43,43,5,4,"3,723",41.4,9,0,/en/players/45b59689/Adam-Clayton,45b59689,Adam-Clayto
Peter Clarke,eng ENG,DF,43,42,1,0,"3,744",41.6,4,0,/en/players/9a7bb136/Peter-Clarke,9a7bb136,Peter-Clark
Jack Hunt,eng ENG,"DF,MF",40,39,4,0,"3,424",38.0,6,1,/en/players/60af9352/Jack-Hunt,60af9352,Jack-Hunt
Oliver Norwood,nir NIR,MF,39,37,4,3,"2,749",30.5,3,0,/en/players/43439614/Oliver-Norwood,43439614,Oliver-Norwood
Anthony Gerrard,ie IRL,DF,38,32,1,1,"2,898",32.2,7,1,/en/players/2f70ec31/Anthony-Gerrard,2f70ec31,Anthony-Gerrard
James Vaughan,eng ENG,FW,33,31,4,14,"2,640",29.3,10,0,/en/players/4fb0dc59/James-Vaughan,4fb0dc59,James-Vaugh
Paul Dixon,sct SCO,DF,37,29,2,0,"2,690",29.9,11,0,/en/players/a3e581d7/Paul-Dixon,3e581d7,Paul-Dixo
Keith Southern,eng ENG,MF,29,24,0,1,"2,212",24.6,5,1,/en/players/8db518ba/Keith-Southern,8db518ba,Keith-South
Lee Novak,eng ENG,FW,35,24,5,4,"2,034",22.6,4,0,/en/players/25d5c75d/Lee-Novak,25d5c75d,Lee-Novak
Sean Scannell,ie IRL,"FW,MF",34,22,1,2,"2,035",22.6,0,0,/en/players/7ab42a5e/Sean-Scannell,7ab42a5e,Sean-Sc
Calum Woods,eng ENG,DF,27,20,0,0,"1,857",20.6,7,0,/en/players/02f0f728/Calum-Woods,02f0f728,Calum-Wood
Joel Lynch,wls WAL,DF,22,20,0,1,"1,690",18.8,8,1,/en/players/a424ca21/Joel-Lynch,424ca21,Joel-Lynch
Danny Ward,eng ENG,"FW,MF",28,17,6,2,"1,701",18.9,2,0,/en/players/cfb29823/Danny-Ward,cfb29823,Danny-Ward
Neil Danns,gy GUY,MF,17,17,2,2,"1,489",16.5,4,0,/en/players/8081f166/Neil-Danns,8081f166,Neil-D
Jermaine Beckford,jm JAM,FW,21,14,0,8,"1,359",15.1,3,0,/en/players/393303c7/Jermaine-Beckford,393303c7,Jermaine-Beckford
Oscar Gobern,eng ENG,"DF,MF",15,13,1,0,"1,012",11.2,2,0,/en/players/a69d4228/Oscar-Gobern,69d4228,Oscar-Gob
Scott Arfield,ca CAN,MF,21,9,0,1,"1,028",11.4,1,0,/en/players/b1313ec4/Scott-Arfield,b1313ec4,Scott-Arfield
Simon Church,wls WAL,FW,7,7,1,1,585,6.5,1,0,/en/players/6f8e8db0/Simon-Church,6f8e8db0,Simon-Church
Adam Hammill,eng ENG,"FW,MF",16,6,1,2,739,8.2,2,0,/en/players/ffd4896e/Adam-Hammill,ffd4896e,Adam-Hammi
Theo Robinson,jm JAM,FW,5,4,0,0,312,3.5,0,0,/en/players/a170bb25/Theo-Robinson,170bb25,Theo-Robinso
Murray Wallace,sct SCO,"DF,MF",6,3,0,1,379,4.2,0,0,/en/players/1724d97e/Murray-Wallace,1724d97e,Murray-Wallac
Chris Atkinson,eng ENG,MF,7,3,0,1,344,3.8,0,0,/en/players/d0ce3b79/Chris-Atkinson,d0ce3b79,Chris-Atkinso
Jordan Rhodes,sct SCO,FW,2,2,0,2,180,2.0,0,0,/en/players/3b8b641c/Jordan-Rhodes,3b8b641c,Jordan-Rhod
Alan Lee,ie IRL,FW,21,1,2,2,331,3.7,2,0,/en/players/9e5eb5cd/Alan-Lee,9e5eb5cd,Alan-L
Anton Robinson,eng ENG,MF,2,1,0,0,64,0.7,0,0,/en/players/b12c4519/Anton-Robinson,b12c4519,Anton-Robinso
Ian Bennett,eng ENG,GK,1,0,0,0,45,0.5,0,0,/en/players/28d29138/Ian-Bennett,28d29138,Ian-Bennett
Jordan Sinnott,eng ENG,MF,1,0,0,0,17,0.2,0,0,/en/players/28e15292/Jordan-Sinnott,28e15292,Jordan-Sinnott
Jimmy Spencer,eng ENG,FW,1,0,0,0,1,0.0,0,0,/en/players/dcd41652/Jimmy-Spencer,dcd41652,Jimmy-Spenc
