2008-2009,Huesca
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Rubén Castro,es ESP,"FW,MF",41,41,5,14,"3,590",39.9,3,0,/en/players/d109f62b/Ruben-Castro,d109f62b,Ruben-Castro
Juanjo Camacho,es ESP,MF,39,39,1,3,"3,380",37.6,11,2,/en/players/1a1609ab/Juanjo-Camacho,1a1609ab,Juanjo-Camacho
Chechu,es ESP,DF,39,39,0,0,"3,290",36.6,3,0,/en/players/e98f3a6a/Chechu,98f3a6a,Chechu
Eduardo Navarro,es ESP,GK,37,37,0,0,"3,284",36.5,3,1,/en/players/f5caacf3/Eduardo-Navarro,f5caacf3,Eduardo-Navarro
Luis Helguera,es ESP,MF,35,35,0,3,"3,001",33.3,13,4,/en/players/873ff2a7/Luis-Helguera,873ff2a7,Luis-Helgu
Roberto,es ESP,FW,34,32,2,10,"2,553",28.4,3,0,/en/players/ce05814a/Roberto,ce05814a,Roberto
Lluís Sastre,es ESP,MF,31,31,5,0,"2,711",30.1,6,0,/en/players/5f186f5c/Lluis-Sastre,5f186f5c,Lluis-Sast
Sebastián Corona,es ESP,DF,31,31,0,1,"2,667",29.6,12,0,/en/players/d2aedc78/Sebastian-Corona,d2aedc78,Sebastian-Coro
José Luis Vegar,es ESP,MF,39,31,4,7,"2,558",28.4,5,0,/en/players/e7c93953/Jose-Luis-Vegar,7c93953,Jose-Luis-Veg
Roberto García,es ESP,"DF,MF",32,29,2,0,"2,505",27.8,8,0,/en/players/b6f452bf/Roberto-Garcia,b6f452bf,Roberto-Garci
Francisco Borrego,es ESP,DF,23,20,1,0,"1,913",21.3,7,0,/en/players/6756842c/Francisco-Borrego,6756842c,Francisco-Borrego
Adrián Ripa,es ESP,DF,31,14,2,0,"1,547",17.2,6,1,/en/players/c5a2ecfa/Adrian-Ripa,c5a2ecfa,Adrian-Ri
Jonan García,es ESP,MF,20,14,2,0,"1,259",14.0,2,0,/en/players/f569bf02/Jonan-Garcia,f569bf02,Jonan-Garci
Baltasar Rigo,es ESP,DF,13,13,0,0,991,11.0,5,0,/en/players/b80570db/Baltasar-Rigo,b80570db,Baltasar-Rigo
Edu Roldán,es ESP,MF,15,11,0,0,971,10.8,3,3,/en/players/13122bd9/Edu-Roldan,13122bd9,Edu-Rold
Julián Vara,es ESP,"DF,FW",21,9,1,2,979,10.9,6,0,/en/players/5c92e249/Julian-Vara,5c92e249,Julian-V
Jon Erice,es ESP,MF,10,7,0,0,548,6.1,2,0,/en/players/39da8b1f/Jon-Erice,39da8b1f,Jon-Eric
Nicolás Medina,ar ARG,MF,21,5,2,3,729,8.1,1,0,/en/players/aeada259/Nicolas-Medina,da259,Nicolas-Medi
Jaume Sobregrau,es ESP,DF,9,5,0,0,525,5.8,2,0,/en/players/93397184/Jaume-Sobregrau,93397184,Jaume-Sobregrau
Miguel Martínez,es ESP,GK,6,5,0,0,493,5.5,1,0,/en/players/29d6d13c/Miguel-Martinez,29d6d13c,Miguel-Martinez
Joaquín Sorribas,es ESP,MF,9,4,1,0,361,4.0,3,0,/en/players/d3b37f79/Joaquin-Sorribas,d3b37f79,Joaquin-Sorrib
Ramón,es ESP,MF,11,3,0,1,371,4.1,2,0,/en/players/7dcc13bf/Ramon,7dcc13bf,Ramo
Romero Rodri,,,14,3,1,0,359,4.0,1,0,No detected,,
Jokin Esparza,es ESP,"FW,MF",16,2,1,1,446,5.0,2,0,/en/players/04db7b72/Jokin-Esparza,04db7b72,Jokin-Esparz
Lalo Arantegui,es ESP,MF,6,2,0,0,224,2.5,0,0,/en/players/22d91311/Lalo-Arantegui,22d91311,Lalo-Arantegui
Felipe Manoel,br BRA,MF,2,0,0,0,24,0.3,0,0,/en/players/80af5ae3/Felipe-Manoel,80af5ae3,Felipe-Mano
Valentino Fiévet,es ESP,FW,1,0,0,0,14,0.2,0,0,/en/players/83eb683e/Valentino-Fievet,83eb683e,Valentino-Fievet
