,Player,Link,Player_name(param),Player_id(param)
0,﻿Rubén Castro,/en/players/d109f62b/Ruben-Castro,Ruben-Castro,d109f62b
1,Juanjo Camacho,/en/players/1a1609ab/Juanjo-Camacho,Juanjo-Camacho,1a1609ab
2,Chechu,/en/players/e98f3a6a/Chechu,Chechu,e98f3a6a
3,Eduardo Navarro,/en/players/f5caacf3/Eduardo-Navarro,Eduardo-Navarro,f5caacf3
4,Luis Helguera,/en/players/873ff2a7/Luis-Helguera,Luis-Helguera,873ff2a7
5,Roberto,/en/players/ce05814a/Roberto,Roberto,ce05814a
6,Lluís Sastre,/en/players/5f186f5c/Lluis-Sastre,Lluis-Sastre,5f186f5c
7,Sebastián Corona,/en/players/d2aedc78/Sebastian-Corona,Sebastian-Corona,d2aedc78
8,José Luis Vegar,/en/players/e7c93953/Jose-Luis-Vegar,Jose-Luis-Vegar,e7c93953
9,Roberto García,/en/players/b6f452bf/Roberto-Garcia,Roberto-Garcia,b6f452bf
10,Francisco Borrego,/en/players/6756842c/Francisco-Borrego,Francisco-Borrego,6756842c
11,Adrián Ripa,/en/players/c5a2ecfa/Adrian-Ripa,Adrian-Ripa,c5a2ecfa
12,Jonan García,/en/players/f569bf02/Jonan-Garcia,Jonan-Garcia,f569bf02
13,Baltasar Rigo,/en/players/b80570db/Baltasar-Rigo,Baltasar-Rigo,b80570db
14,Edu Roldán,/en/players/13122bd9/Edu-Roldan,Edu-Roldan,13122bd9
15,Julián Vara,/en/players/5c92e249/Julian-Vara,Julian-Vara,5c92e249
16,Jon Erice,/en/players/39da8b1f/Jon-Erice,Jon-Erice,39da8b1f
17,Nicolás Medina,/en/players/aeada259/Nicolas-Medina,Nicolas-Medina,aeada259
18,Miguel Martínez,/en/players/29d6d13c/Miguel-Martinez,Miguel-Martinez,29d6d13c
19,Joaquín Sorribas,/en/players/d3b37f79/Joaquin-Sorribas,Joaquin-Sorribas,d3b37f79
20,Ramón,/en/players/7dcc13bf/Ramon,Ramon,7dcc13bf
21,Jokin Esparza,/en/players/04db7b72/Jokin-Esparza,Jokin-Esparza,04db7b72
22,Lalo Arantegui,/en/players/22d91311/Lalo-Arantegui,Lalo-Arantegui,22d91311
23,Felipe Manoel,/en/players/80af5ae3/Felipe-Manoel,Felipe-Manoel,80af5ae3
24,Valentino Fiévet,/en/players/83eb683e/Valentino-Fievet,Valentino-Fievet,83eb683e
25,﻿Chechu,/en/players/e98f3a6a/Chechu,Chechu,e98f3a6a
26,Mikel Rico,/en/players/def69cd0/Mikel-Rico,Mikel-Rico,def69cd0
27,Toni Doblas,/en/players/d5c35223/Toni-Doblas,Toni-Doblas,d5c35223
28,Moisés,/en/players/e3415193/Moises,Moises,e3415193
29,Juanma,/en/players/396b863a/Juanma,Juanma,396b863a
30,Iriome González,/en/players/6e19f4fb/Iriome-Gonzalez,Iriome-Gonzalez,6e19f4fb
31,Borja Rubiato,/en/players/2195307f/Borja-Rubiato,Borja-Rubiato,2195307f
32,Ion Echaide,/en/players/2ad367bb/Ion-Echaide,Ion-Echaide,2ad367bb
33,Víctor Pérez,/en/players/5918a484/Victor-Perez,Victor-Perez,5918a484
34,Neru,/en/players/1c8dd214/Neru,Neru,1c8dd214
35,Francisco Gallardo,/en/players/be80c87c/Francisco-Gallardo,Francisco-Gallardo,be80c87c
36,Rodrigo Silva,/en/players/9d5bd6d4/Rodrigo-Silva,Rodrigo-Silva,9d5bd6d4
37,Reinaldo Alagoano,/en/players/fb1a3b36/Reinaldo-Alagoano,Reinaldo-Alagoano,fb1a3b36
38,Vicente Pascual,/en/players/41ee1744/Vicente-Pascual,Vicente-Pascual,41ee1744
39,Daniel Mustafá,/en/players/9381b3e0/Daniel-Mustafa,Daniel-Mustafa,9381b3e0
40,Jorge Larrosa,/en/players/8f803ed4/Jorge-Larrosa,Jorge-Larrosa,8f803ed4
41,﻿Juanjo Camacho,/en/players/1a1609ab/Juanjo-Camacho,Juanjo-Camacho,1a1609ab
42,Francisco Molinero,/en/players/2cea96ce/Francisco-Molinero,Francisco-Molinero,2cea96ce
43,Andrés Fernández,/en/players/307fcd26/Andres-Fernandez,Andres-Fernandez,307fcd26
44,Gilvan Gomes,/en/players/6e71e066/Gilvan-Gomes,Gilvan-Gomes,6e71e066
45,Alberto Marcos Rey,/en/players/7fd2179f/Alberto-Marcos-Rey,Alberto-Marcos-Rey,7fd2179f
46,David Bauzá,/en/players/8969dfa6/David-Bauza,David-Bauza,8969dfa6
47,Tariq Spezie,/en/players/79c7a874/Tariq-Spezie,Tariq-Spezie,79c7a874
48,Juan Cruz Ochoa,/en/players/301ff22a/Juan-Cruz-Ochoa,Juan-Cruz-Ochoa,301ff22a
49,Jesús Cabrero,/en/players/d5e95d46/Jesus-Cabrero,Jesus-Cabrero,d5e95d46
50,Toni Dovale,/en/players/d4b9adcf/Toni-Dovale,Toni-Dovale,d4b9adcf
51,Iñigo Pérez,/en/players/bc61cc65/Inigo-Perez,Inigo-Perez,bc61cc65
52,Marco Navas,/en/players/194ed492/Marco-Navas,Marco-Navas,194ed492
53,Óscar Vega Salinas,/en/players/00050058/Oscar-Vega-Salinas,Oscar-Vega-Salinas,00050058
54,Luis García,/en/players/a716e5a4/Luis-Garcia,Luis-Garcia,a716e5a4
55,Rafael Clavero,/en/players/1590d66a/Rafael-Clavero,Rafael-Clavero,1590d66a
56,Rafel Sastre,/en/players/477fc284/Rafel-Sastre,Rafel-Sastre,477fc284
57,Josetxo,/en/players/c1a297b4/Josetxo,Josetxo,c1a297b4
58,Omar Ramos,/en/players/0657888a/Omar-Ramos,Omar-Ramos,0657888a
59,José Antonio Llamas,/en/players/57012fb5/Jose-Antonio-Llamas,Jose-Antonio-Llamas,57012fb5
60,Antonio Núñez,/en/players/df89070b/Antonio-Nunez,Antonio-Nunez,df89070b
61,Mario Rosas,/en/players/81718397/Mario-Rosas,Mario-Rosas,81718397
62,David Rivas,/en/players/56da6c6e/David-Rivas,David-Rivas,56da6c6e
63,Jorge Larena,/en/players/3de25195/Jorge-Larena,Jorge-Larena,3de25195
64,Manu Molina,/en/players/4a541583/Manu-Molina,Manu-Molina,4a541583
65,Javi Martínez,/en/players/59359d6b/Javi-Martinez,Javi-Martinez,59359d6b
66,Toni,/en/players/248cc93a/Toni,Toni,248cc93a
67,Bernardo Domínguez,/en/players/15394beb/Bernardo-Dominguez,Bernardo-Dominguez,15394beb
68,Carlos Lázaro,/en/players/785894a8/Carlos-Lazaro,Carlos-Lazaro,785894a8
69,Rubén Garcés,/en/players/4d2129de/Ruben-Garces,Ruben-Garces,4d2129de
70,Ekhi Senar,/en/players/07939240/Ekhi-Senar,Ekhi-Senar,07939240
71,David López,/en/players/f03f284b/David-Lopez,David-Lopez,f03f284b
72,Carlos Diogo,/en/players/8da138d9/Carlos-Diogo,Carlos-Diogo,8da138d9
73,Nacho Novo,/en/players/8391cd3f/Nacho-Novo,Nacho-Novo,8391cd3f
74,Borja Bastón,/en/players/8c44e37b/Borja-Baston,Borja-Baston,8c44e37b
75,Daniel Pacheco,/en/players/5b2a4b8d/Daniel-Pacheco,Daniel-Pacheco,5b2a4b8d
76,Álex Pérez,/en/players/8dac6f70/Alex-Perez,Alex-Perez,8dac6f70
77,Sergio Díaz,/en/players/22afdb1b/Sergio-Diaz,Sergio-Diaz,22afdb1b
78,Xavi Annunziata,/en/players/e146dbda/Xavi-Annunziata,Xavi-Annunziata,e146dbda
79,Miguel Alberto García Díaz,/en/players/57ecb2b9/Miguel-Alberto-Garcia-Diaz,Miguel-Alberto-Garcia-Diaz,57ecb2b9
80,Juan Carlos,/en/players/82803509/Juan-Carlos,Juan-Carlos,82803509
81,Marc Martínez,/en/players/7c4764d7/Marc-Martinez,Marc-Martinez,7c4764d7
82,David Vázquez,/en/players/deb0ccb5/David-Vazquez,David-Vazquez,deb0ccb5
83,﻿Dani Jiménez,/en/players/e4365d4a/Dani-Jimenez,Dani-Jimenez,e4365d4a
84,Carlos David,/en/players/f4dae7af/Carlos-David,Carlos-David,f4dae7af
85,David Morillas,/en/players/9605a60a/David-Morillas,David-Morillas,9605a60a
86,Guillem,/en/players/560cedf7/Guillem,Guillem,560cedf7
87,Manuel,/en/players/b43437c4/Manuel,Manuel,b43437c4
88,Francesco Scardina,/en/players/61c18f85/Francesco-Scardina,Francesco-Scardina,61c18f85
89,Antonio Pérez,/en/players/da1f9e36/Antonio-Perez,Antonio-Perez,da1f9e36
90,Josan,/en/players/5b28b2f6/Josan,Josan,5b28b2f6
91,Javi Cabezas,/en/players/18fce040/Javi-Cabezas,Javi-Cabezas,18fce040
92,Álex Bernal,/en/players/288f8c08/Alex-Bernal,Alex-Bernal,288f8c08
93,Saihou Gassama,/en/players/6f4eed35/Saihou-Gassama,Saihou-Gassama,6f4eed35
94,Tyronne,/en/players/f76bbf9c/Tyronne,Tyronne,f76bbf9c
95,Chus Sosa,/en/players/65f98aa6/Chus-Sosa,Chus-Sosa,65f98aa6
96,José Gaspar,/en/players/921af048/Jose-Gaspar,Jose-Gaspar,921af048
97,Iñigo Ros,/en/players/bc278eb1/Inigo-Ros,Inigo-Ros,bc278eb1
98,Juan Esnáider Ruiz,/en/players/11894e8c/Juan-Esnaider-Ruiz,Juan-Esnaider-Ruiz,11894e8c
99,Álex,/en/players/3b8a3d32/Alex,Alex,3b8a3d32
100,Lucas Elbaile,/en/players/490b6af7/Lucas-Elbaile,Lucas-Elbaile,490b6af7
101,Gaspar,/en/players/75e5329b/Gaspar,Gaspar,75e5329b
102,Ramón Murillo,/en/players/6fe43a38/Ramon-Murillo,Ramon-Murillo,6fe43a38
103,Aitor Chueca,/en/players/c917b367/Aitor-Chueca,Aitor-Chueca,c917b367
104,﻿Carlos David,/en/players/f4dae7af/Carlos-David,Carlos-David,f4dae7af
105,Darwin Machís,/en/players/ed6ea4d9/Darwin-Machis,Darwin-Machis,ed6ea4d9
106,Fran Mérida,/en/players/0e50f929/Fran-Merida,Fran-Merida,0e50f929
107,Íñigo López,/en/players/8c61ca86/Inigo-Lopez,Inigo-Lopez,8c61ca86
108,Christian,/en/players/1d5a68fe/Christian,Christian,1d5a68fe
109,Leo Franco,/en/players/c39a5c6b/Leo-Franco,Leo-Franco,c39a5c6b
110,Franck-Yves Bambock,/en/players/7240e475/Franck-Yves-Bambock,Franck-Yves-Bambock,7240e475
111,Luis Fernández,/en/players/63b1f7df/Luis-Fernandez,Luis-Fernandez,63b1f7df
112,Óscar Ramírez,/en/players/45cd22ae/Oscar-Ramirez,Oscar-Ramirez,45cd22ae
113,Mikel Arruabarrena,/en/players/ad0c4ebb/Mikel-Arruabarrena,Mikel-Arruabarrena,ad0c4ebb
114,Óscar Whalley,/en/players/3d763902/Oscar-Whalley,Oscar-Whalley,3d763902
115,Alexander González,/en/players/f3a39fdd/Alexander-Gonzalez,Alexander-Gonzalez,f3a39fdd
116,Nagore,/en/players/86eeca16/Nagore,Nagore,86eeca16
117,Samuel Sáiz,/en/players/13e0eb29/Samuel-Saiz,Samuel-Saiz,13e0eb29
118,Aythami Álvarez,/en/players/3bf6578a/Aythami-Alvarez,Aythami-Alvarez,3bf6578a
119,Juan Aguilera,/en/players/18dc8533/Juan-Aguilera,Juan-Aguilera,18dc8533
120,Jesús Valentín,/en/players/2594ee7d/Jesus-Valentin,Jesus-Valentin,2594ee7d
121,David Mainz,/en/players/d4498ac2/David-Mainz,David-Mainz,d4498ac2
122,Jonathan Moya,/en/players/3f464d48/Jonathan-Moya,Jonathan-Moya,3f464d48
123,Héctor Figueroa,/en/players/b73db047/Hector-Figueroa,Hector-Figueroa,b73db047
124,Carlos Calvo,/en/players/a444d33f/Carlos-Calvo,Carlos-Calvo,a444d33f
125,Aly Coulibaly,/en/players/415290df/Aly-Coulibaly,Aly-Coulibaly,415290df
126,Mika,/en/players/00b61f8e/Mika,Mika,00b61f8e
127,Carlos Casero,/en/players/b4822e6b/Carlos-Casero,Carlos-Casero,b4822e6b
128,Javito Lopez,/en/players/7518f912/Javito-Lopez,Javito-Lopez,7518f912
129,﻿Sergio Herrera,/en/players/a4995f48/Sergio-Herrera,Sergio-Herrera,a4995f48
130,Gonzalo Melero,/en/players/3902e91b/Gonzalo-Melero,Gonzalo-Melero,3902e91b
131,David Ferreiro,/en/players/8970907e/David-Ferreiro,David-Ferreiro,8970907e
132,Jair Amador,/en/players/82b27ccb/Jair-Amador,Jair-Amador,82b27ccb
133,Borja Lázaro,/en/players/877476f8/Borja-Lazaro,Borja-Lazaro,877476f8
134,Carlos Akapo,/en/players/f2a68b97/Carlos-Akapo,Carlos-Akapo,f2a68b97
135,César Soriano,/en/players/0e41fc77/Cesar-Soriano,Cesar-Soriano,0e41fc77
136,Álvaro Vadillo,/en/players/61b62b33/Alvaro-Vadillo,Alvaro-Vadillo,61b62b33
137,Vinícius Araújo,/en/players/5d6b9376/Vinicius-Araujo,Vinicius-Araujo,5d6b9376
138,Urko Vera,/en/players/d8cf0115/Urko-Vera,Urko-Vera,d8cf0115
139,Kilian Grant,/en/players/744e8a52/Kilian-Grant,Kilian-Grant,744e8a52
140,Queco Piña,/en/players/ecf25896/Queco-Pina,Queco-Pina,ecf25896
141,Boris Cmiljanić,/en/players/2d1c5796/Boris-Cmiljanic,Boris-Cmiljanic,2d1c5796
142,Javito,/en/players/2276f5be/Javito,Javito,2276f5be
143,Agus Alonso,/en/players/5788870f/Agus-Alonso,Agus-Alonso,5788870f
144,Jorge Conte,/en/players/acc86643/Jorge-Conte,Jorge-Conte,acc86643
145,Dieste,/en/players/08e3f8fe/Dieste,Dieste,08e3f8fe
146,Gonzo,/en/players/cfe88a3c/Gonzo,Gonzo,cfe88a3c
147,Javi Jiménez,/en/players/9fe99e45/Javi-Jimenez,Javi-Jimenez,9fe99e45
148,﻿Jair Amador,/en/players/82b27ccb/Jair-Amador,Jair-Amador,82b27ccb
149,Álex Remiro,/en/players/374ee424/Alex-Remiro,Alex-Remiro,374ee424
150,Jorge Pulido,/en/players/978cd030/Jorge-Pulido,Jorge-Pulido,978cd030
151,Cucho,/en/players/71b47ab9/Cucho,Cucho,71b47ab9
152,Rajko Brežančić,/en/players/1519a888/Rajko-Brezancic,Rajko-Brezancic,1519a888
153,Ezequiel Ávila,/en/players/253a06b9/Ezequiel-Avila,Ezequiel-Avila,253a06b9
154,Álex Gallar,/en/players/36d5469c/Alex-Gallar,Alex-Gallar,36d5469c
155,Moi Gómez,/en/players/5a626448/Moi-Gomez,Moi-Gomez,5a626448
