2017-2018,Hull-City
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Allan McGregor,sct SCO,GK,44,44,0,0,"3,960",44.0,5,0,/en/players/f3a97d02/Allan-McGregor,f3a97d02,Allan-McGrego
Ola Aina,ng NGA,"DF,MF",44,42,3,0,"3,824",42.5,3,0,/en/players/246d153b/Ola-Aina,246d153b,Ola-Ai
Michael Dawson,eng ENG,DF,40,40,1,3,"3,600",40.0,8,0,/en/players/4771114f/Michael-Dawson,4771114f,Michael-Dawso
Jarrod Bowen,eng ENG,MF,42,37,1,14,"3,280",36.4,2,0,/en/players/79c84d1c/Jarrod-Bowen,79c84d1c,Jarrod-Bow
Seb Larsson,se SWE,MF,40,37,4,2,"3,240",36.0,13,0,/en/players/b26efc36/Seb-Larsson,b26efc36,Seb-Larsso
Michael Hector,jm JAM,DF,36,33,0,1,"2,966",33.0,4,1,/en/players/5f1a2f31/Michael-Hector,5f1a2f31,Michael-Hecto
Jackson Irvine,au AUS,MF,34,27,5,2,"2,459",27.3,6,0,/en/players/4637747c/Jackson-Irvine,4637747c,Jackson-Irvi
Max Clark,eng ENG,DF,27,25,0,0,"2,270",25.2,4,0,/en/players/73f16ec2/Max-Clark,73f16ec2,Max-Clark
Markus Henriksen,no NOR,MF,31,25,5,2,"2,158",24.0,8,0,/en/players/26acecd2/Markus-Henriksen,26acecd2,Markus-Henrik
Fraizer Campbell,eng ENG,FW,36,23,3,6,"2,071",23.0,10,0,/en/players/81d63375/Fraizer-Campbell,81d63375,Fraizer-Campb
Fikayo Tomori,eng ENG,DF,25,23,2,0,"2,063",22.9,3,0,/en/players/7edfbb8a/Fikayo-Tomori,7edfbb8a,Fikayo-Tomori
Kamil Grosicki,pl POL,"MF,FW",37,22,5,9,"2,132",23.7,3,0,/en/players/81d8091f/Kamil-Grosicki,81d8091f,Kamil-Grosicki
Nouha Dicko,ml MLI,FW,29,19,5,4,"1,562",17.4,0,0,/en/players/c6caef02/Nouha-Dicko,c6caef02,Nouha-Dicko
David Meyler,ie IRL,MF,25,17,2,5,"1,563",17.4,4,2,/en/players/8ea6417a/David-Meyler,8ea6417a,David-M
Jon Toral,es ESP,MF,27,16,4,1,"1,385",15.4,2,0,/en/players/8a0ca41d/Jon-Toral,8a0ca41d,Jon-To
Angus MacDonald,eng ENG,DF,12,12,0,0,933,10.4,2,0,/en/players/9ca3f7e4/Angus-MacDonald,9ca3f7e4,Angus-MacDonald
Harry Wilson,wls WAL,MF,13,11,3,7,994,11.0,0,0,/en/players/c6dc9ecd/Harry-Wilson,c6dc9ecd,Harry-Wilso
Kevin Stewart,jm JAM,MF,17,10,0,0,951,10.6,4,0,/en/players/ff674795/Kevin-Stewart,ff674795,Kevin-Stewart
Ondřej Mazuch,cz CZE,DF,14,10,0,0,903,10.0,1,0,/en/players/1e19872f/Ondrej-Mazuch,1e19872f,Ondrej-Mazuch
Stephen Kingsley,sct SCO,"MF,DF",11,10,0,0,810,9.0,1,0,/en/players/488cc9c7/Stephen-Kingsley,488cc9c7,Stephen-King
Abel Hernández,uy URU,FW,10,8,1,8,685,7.6,0,0,/en/players/a36da810/Abel-Hernandez,36da810,Abel-Hernandez
Adama Diomande,no NOR,"MF,FW",16,3,1,1,477,5.3,0,0,/en/players/336dbcb2/Adama-Diomande,336dbcb2,Adama-Diomand
Will Keane,ie IRL,FW,9,3,2,1,369,4.1,0,0,/en/players/fc7f8f87/Will-Keane,fc7f8f87,Will-K
Evandro Goebel,br BRA,MF,8,3,0,1,347,3.9,0,0,/en/players/67dbadfc/Evandro-Goebel,67dbadfc,Evandro-Goeb
Sam Clucas,eng ENG,MF,3,3,0,0,250,2.8,0,0,/en/players/987718f5/Sam-Clucas,987718f5,Sam-Cluc
David Marshall,sct SCO,GK,2,2,0,0,180,2.0,0,0,/en/players/4d93d433/David-Marshall,4d93d433,David-Marsh
Daniel Batty,eng ENG,MF,1,1,0,0,90,1.0,0,0,/en/players/96c92a74/Daniel-Batty,96c92a74,Daniel-Batt
James Weir,eng ENG,MF,3,0,0,0,15,0.2,0,0,/en/players/c8d651c1/James-Weir,c8d651c1,James-Wei
Greg Luer,eng ENG,FW,1,0,0,0,8,0.1,1,0,/en/players/82865517/Greg-Luer,82865517,Greg-Lu
Callum Burton,eng ENG,GK,0,0,,,,,,,/en/players/e8d6906d/Callum-Burton,8d6906d,Callum-Burto
Josh Clackstone,eng ENG,DF,0,0,,,,,,,/en/players/25dfa9be/Josh-Clackstone,25dfa9be,Josh-Clacksto
Tyler Hamilton,eng ENG,MF,0,0,,,,,,,/en/players/c7ce851a/Tyler-Hamilton,c7ce851a,Tyler-Hamilto
Brian Lenihan,ie IRL,"DF,MF",0,0,,,,,,,/en/players/7f1df59b/Brian-Lenihan,7f1df59b,Brian-Lenih
William Mannion,eng ENG,GK,0,0,,,,,,,/en/players/02bed2cb/William-Mannion,02bed2cb,William-Mannio
Greg Olley,eng ENG,"FW,MF",0,0,,,,,,,/en/players/784b9507/Greg-Olley,784b9507,Greg-O
