2020-2021,Ingolstadt-04
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Fabijan Buntić,hr CRO,GK,38,38,0,1,"3,420",38.0,1,0,/en/players/f566b29e/Fabijan-Buntic,f566b29e,Fabijan-Buntic
Michael Heinloth,de GER,DF,37,37,7,0,"3,289",36.5,3,0,/en/players/46dca3f4/Michael-Heinloth,46dca3f4,Michael-Heinloth
Stefan Kutschke,de GER,FW,33,33,4,13,"2,719",30.2,8,0,/en/players/652aa4de/Stefan-Kutschke,652aa4de,Stefan-Kutschk
Marc Stendera,de GER,MF,36,31,6,2,"2,782",30.9,5,0,/en/players/500cd987/Marc-Stendera,500cd987,Marc-Stend
Bjørn Paulsen,dk DEN,DF,28,28,1,3,"2,506",27.8,3,0,/en/players/3f88e797/Bjorn-Paulsen,3f88e797,Bjorn-Pau
Tobias Schröck,de GER,DF,28,28,0,2,"2,466",27.4,5,0,/en/players/cc2c720b/Tobias-Schrock,cc2c720b,Tobias-Schrock
Marcel Gaus,de GER,"MF,DF",30,28,3,5,"2,440",27.1,7,0,/en/players/0d4580f6/Marcel-Gaus,0d4580f6,Marcel-Gau
Filip Bilbija,de GER,MF,35,27,0,5,"2,337",26.0,5,0,/en/players/f5047e6d/Filip-Bilbija,f5047e6d,Filip-Bilbij
Caniggia Elva,ca CAN,"MF,FW",34,21,4,5,"2,178",24.2,5,1,/en/players/2a316ff8/Caniggia-Elva,2a316ff8,Caniggia-Elv
Thomas Keller,de GER,"DF,MF",26,20,0,2,"1,888",21.0,6,0,/en/players/285c7011/Thomas-Keller,285c7011,Thomas-K
Merlin Röhl,de GER,MF,19,16,0,1,"1,217",13.5,3,0,/en/players/1f2c7b55/Merlin-Rohl,1f2c7b55,Merlin-Roh
Fatih Kaya,tr TUR,FW,27,15,1,2,"1,255",13.9,3,0,/en/players/3e56a918/Fatih-Kaya,3e56a918,Fatih-K
Dominik Franke,de GER,DF,18,14,2,0,"1,255",13.9,4,1,/en/players/708401fc/Dominik-Franke,708401fc,Dominik-Frank
Robin Krauße,de GER,MF,19,14,1,1,"1,214",13.5,6,0,/en/players/bd045d90/Robin-Krausse,bd045d90,Robin-Krau
Dennis Eckert,de GER,FW,24,13,6,9,"1,289",14.3,3,0,/en/players/7f8fb807/Dennis-Eckert,7f8fb807,Dennis-Eckert
Jonatan Kotzke,de GER,MF,19,13,2,0,"1,127",12.5,0,0,/en/players/6e093027/Jonatan-Kotzke,6e093027,Jonatan-Kotzk
Ilmari Niskanen,fi FIN,"MF,FW",20,9,0,0,844,9.4,2,0,/en/players/cebd739d/Ilmari-Niskanen,cebd739d,Ilmari-Nisk
Nico Antonitsch,at AUT,DF,10,9,0,0,775,8.6,2,0,/en/players/05e2f1e4/Nico-Antonitsch,05e2f1e4,Nico-Antonitsch
Peter Kurzweg,de GER,DF,7,7,0,0,590,6.6,1,0,/en/players/3d85dde1/Peter-Kurzweg,3d85dde1,Peter-Kurzweg
Caiuby,br BRA,"MF,FW",19,6,0,1,703,7.8,5,0,/en/players/c6637acf/Caiuby,c6637acf,Caiub
Maximilian Beister,de GER,"FW,MF",12,6,0,2,456,5.1,2,0,/en/players/25df5f56/Maximilian-Beister,25df5f56,Maximilian-Beist
Justin Butler,de GER,FW,14,3,0,1,318,3.5,2,0,/en/players/4bc6aa51/Justin-Butler,4bc6aa51,Justin-But
Rico Preißinger,de GER,MF,12,1,1,0,225,2.5,2,0,/en/players/4b3426e8/Rico-Preissinger,4b3426e8,Rico-Preissing
Gordon Büch,de GER,DF,1,1,0,0,90,1.0,0,0,/en/players/5f4c49af/Gordon-Buch,5f4c49af,Gordon-Buch
Patrick Sussek,de GER,MF,5,0,0,0,128,1.4,0,0,/en/players/90b3d333/Patrick-Sussek,90b3d333,Patrick-Sussek
Jalen Hawkins,de GER,FW,6,0,0,0,75,0.8,0,0,/en/players/8320981e/Jalen-Hawkins,8320981e,Jalen-Hawki
Robert Jendrusch,de GER,GK,0,0,,,,,,,/en/players/672cafd8/Robert-Jendrusch,672cafd8,Robert-Jendrusch
Maximilian Neuberger,de GER,DF,0,0,,,,,,,/en/players/9633060a/Maximilian-Neuberger,9633060a,Maximilian-Neuberg
Lukas Schellenberg,de GER,GK,0,0,,,,,,,/en/players/87c0715d/Lukas-Schellenberg,87c0715d,Lukas-Schellenberg
