2017-2018,Internazionale
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Samir Handanović,si SVN,GK,38,38,0,0,"3,420",38.0,0,0,/en/players/74419746/Samir-Handanovic,74419746,Samir-Handanovic
Milan Škriniar,sk SVK,DF,38,38,0,4,"3,420",38.0,2,0,/en/players/30f5ffa9/Milan-Skriniar,30f5ffa9,Milan-Skrini
Ivan Perišić,hr CRO,MF,37,37,7,11,"3,313",36.8,4,0,/en/players/6fe90922/Ivan-Perisic,6fe90922,Ivan-Perisic
Danilo D'Ambrosio,it ITA,DF,34,34,3,2,"2,979",33.1,6,0,/en/players/44eb9093/Danilo-DAmbrosio,44eb9093,Danilo-DAmbrosio
Mauro Icardi,ar ARG,FW,34,34,1,29,"2,958",32.9,2,0,/en/players/43b78598/Mauro-Icardi,43b78598,Mauro-Icardi
Antonio Candreva,it ITA,MF,36,33,7,0,"2,537",28.2,4,0,/en/players/356c9002/Antonio-Candreva,356c9002,Antonio-Candrev
Miranda,br BRA,DF,31,31,0,0,"2,726",30.3,8,0,/en/players/314f2124/Miranda,314f2124,Mirand
Borja Valero,es ESP,MF,36,29,0,2,"2,564",28.5,3,0,/en/players/0e21fc3c/Borja-Valero,0e21fc3c,Borja-Valero
Matías Vecino,uy URU,MF,29,25,2,3,"2,137",23.7,7,1,/en/players/44ac04e9/Matias-Vecino,44ac04e9,Matias-Vecino
Roberto Gagliardini,it ITA,MF,30,23,0,0,"1,988",22.1,8,0,/en/players/ce30bfc8/Roberto-Gagliardini,ce30bfc8,Roberto-Gagliardini
Marcelo Brozović,hr CRO,MF,31,21,8,4,"1,926",21.4,9,0,/en/players/33b8d077/Marcelo-Brozovic,33b8d077,Marcelo-Brozovic
João Cancelo,pt POR,DF,26,20,2,1,"1,851",20.6,4,0,/en/players/bd6351cd/Joao-Cancelo,bd6351cd,Joao-Cancelo
Rafinha,br BRA,MF,17,12,2,2,"1,043",11.6,1,0,/en/players/0c2ac3cb/Rafinha,0c2ac3cb,Rafinh
Davide Santon,it ITA,DF,15,9,0,0,836,9.3,2,0,/en/players/88c89891/Davide-Santon,88c89891,Davide-Santo
Yuto Nagatomo,jp JPN,DF,11,9,1,0,790,8.8,1,0,/en/players/4b6960d2/Yuto-Nagatomo,4b6960d2,Yuto-Nagatomo
Andrea Ranocchia,it ITA,DF,11,7,0,2,627,7.0,4,0,/en/players/539230cf/Andrea-Ranocchia,539230cf,Andrea-Ranocchi
João Mário,pt POR,MF,14,5,1,0,554,6.2,0,0,/en/players/f0021247/Joao-Mario,f0021247,Joao-Mario
Dalbert Henrique,br BRA,DF,13,5,0,0,531,5.9,0,0,/en/players/f45f9427/Dalbert-Henrique,f45f9427,Dalbert-Henriqu
Éder,it ITA,"FW,MF",29,4,0,3,800,8.9,4,0,/en/players/5a325298/Eder,5a325298,Ed
Yann Karamoh,fr FRA,MF,16,4,0,1,489,5.4,0,0,/en/players/8b66d9cc/Yann-Karamoh,8b66d9cc,Yann-Karamoh
Lisandro López,ar ARG,DF,1,0,0,0,45,0.5,0,0,/en/players/8320fe65/Lisandro-Lopez,8320fe65,Lisandro-Lopez
Andrea Pinamonti,it ITA,FW,1,0,0,0,14,0.2,0,0,/en/players/08aa9cd1/Andrea-Pinamonti,08aa9cd1,Andrea-Pinamonti
Cristian Ansaldi,ar ARG,"DF,MF",0,0,,,,,,,/en/players/bbafc0c4/Cristian-Ansaldi,bbafc0c4,Cristian-Ansaldi
Gabriel Barbosa,br BRA,"FW,MF",0,0,,,,,,,/en/players/72d0e1b6/Gabriel-Barbosa,72d0e1b6,Gabriel-Barbo
Tommaso Berni,it ITA,GK,0,0,,,,,,,/en/players/7b8f85c7/Tommaso-Berni,7b8f85c7,Tommaso-Berni
Xian Emmers,be BEL,MF,0,0,,,,,,,/en/players/16d887db/Xian-Emmers,16d887db,Xian-Emm
Stevan Jovetić,me MNE,"FW,MF",0,0,,,,,,,/en/players/f36c432f/Stevan-Jovetic,f36c432f,Stevan-Jovetic
Manuel Lombardoni,it ITA,DF,0,0,,,,,,,/en/players/672489c0/Manuel-Lombardoni,672489c0,Manuel-Lombardoni
Daniele Padelli,it ITA,GK,0,0,,,,,,,/en/players/cf1c23d8/Daniele-Padelli,cf1c23d8,Daniele-Padelli
Marco Pissardo,it ITA,GK,0,0,,,,,,,/en/players/73ba463e/Marco-Pissardo,73ba463e,Marco-Pissardo
Zinho Vanheusden,be BEL,DF,0,0,,,,,,,/en/players/afbf187b/Zinho-Vanheusden,fbf187b,Zinho-Vanheusd
Nicolò Zaniolo,it ITA,"FW,MF",0,0,,,,,,,/en/players/9907b1c8/Nicolo-Zaniolo,9907b1c8,Nicolo-Zaniolo
