2008-2009,Juventus
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Cristian Molinaro,it ITA,"DF,MF",29,29,0,0,"2,559",28.4,6,0,/en/players/1c8c5aed/Cristian-Molinaro,1c8c5aed,Cristian-Molinaro
Pavel Nedvěd,cz CZE,MF,32,28,6,7,"2,505",27.8,4,0,/en/players/ab059f29/Pavel-Nedved,b059f29,Pavel-Nedved
Zdeněk Grygera,cz CZE,DF,31,28,2,2,"2,438",27.1,7,0,/en/players/a00c9b66/Zdenek-Grygera,00c9b66,Zdenek-Gryg
Alessandro Del Piero,it ITA,"FW,MF",31,28,9,13,"2,361",26.2,2,0,/en/players/80bc263c/Alessandro-Del-Piero,80bc263c,Alessandro-Del-Piero
Giorgio Chiellini,it ITA,DF,27,27,0,4,"2,410",26.8,5,0,/en/players/e85fb9b8/Giorgio-Chiellini,85fb9b8,Giorgio-Chiellini
Amauri,it ITA,FW,32,27,3,12,"2,378",26.4,3,0,/en/players/b6d4bf9d/Amauri,b6d4bf9d,Amauri
Nicola Legrottaglie,it ITA,DF,26,26,0,1,"2,305",25.6,9,0,/en/players/c3c63a36/Nicola-Legrottaglie,c3c63a36,Nicola-Legrottagli
Olof Mellberg,se SWE,"DF,MF",27,23,0,2,"2,099",23.3,4,0,/en/players/1c95e93d/Olof-Mellberg,1c95e93d,Olof-Mellberg
Gianluigi Buffon,it ITA,GK,23,23,0,0,"2,025",22.5,0,0,/en/players/e40d028b/Gianluigi-Buffon,40d028b,Gianluigi-Buffo
Claudio Marchisio,it ITA,MF,24,20,2,3,"1,867",20.7,5,0,/en/players/e304acd5/Claudio-Marchisio,304acd5,Claudio-Marchisio
Mohamed Sissoko,ml MLI,MF,21,20,1,2,"1,661",18.5,5,0,/en/players/2c1a819e/Mohamed-Sissoko,2c1a819e,Mohamed-Sissoko
Marco Marchionni,it ITA,MF,27,19,4,1,"1,760",19.6,0,0,/en/players/ebe475fc/Marco-Marchionni,be475fc,Marco-Marchionni
Vincenzo Iaquinta,it ITA,FW,28,18,4,12,"1,638",18.2,1,1,/en/players/69960e0c/Vincenzo-Iaquinta,69960e0c,Vincenzo-Iaquint
Alex Manninger,at AUT,GK,16,15,0,0,"1,395",15.5,0,0,/en/players/eb55b1bc/Alex-Manninger,b55b1bc,Alex-Manning
Christian Poulsen,dk DEN,MF,23,14,2,1,"1,358",15.1,3,0,/en/players/4b83b362/Christian-Poulsen,4b83b362,Christian-Pou
Mauro Camoranesi,it ITA,MF,19,14,2,1,"1,196",13.3,4,1,/en/players/35163a80/Mauro-Camoranesi,35163a80,Mauro-Camoranesi
Tiago Mendes,pt POR,MF,15,12,0,0,934,10.4,3,1,/en/players/5e0f7b89/Tiago-Mendes,5e0f7b89,Tiago-Mend
Paolo De Ceglie,it ITA,DF,19,11,1,0,"1,078",12.0,2,0,/en/players/bdc1a432/Paolo-De-Ceglie,bdc1a432,Paolo-De-Cegli
Sebastian Giovinco,it ITA,"FW,MF",19,9,4,2,897,10.0,2,0,/en/players/2b7c18ae/Sebastian-Giovinco,2b7c18ae,Sebastian-Giovinco
Cristiano Zanetti,it ITA,MF,12,9,0,2,677,7.5,2,0,/en/players/21dd8591/Cristiano-Zanetti,21dd8591,Cristiano-Zanetti
Hasan Salihamidžić,ba BIH,"DF,MF",11,7,1,1,690,7.7,1,0,/en/players/f1366d68/Hasan-Salihamidzic,f1366d68,Hasan-Salihamidzic
Jonathan Zebina,fr FRA,DF,8,4,0,0,410,4.6,2,0,/en/players/5b48889f/Jonathan-Zebina,5b48889f,Jonathan-Zebi
Dario Knežević,hr CRO,DF,3,3,0,0,270,3.0,0,0,/en/players/9f63ca80/Dario-Knezevic,9f63ca80,Dario-Knezevic
David Trezeguet,fr FRA,FW,8,2,0,1,285,3.2,0,0,/en/players/80183cb2/David-Trezeguet,80183cb2,David-Trezeguet
Lorenzo Ariaudo,it ITA,DF,3,2,0,0,212,2.4,0,0,/en/players/68b78c2a/Lorenzo-Ariaudo,68b78c2a,Lorenzo-Ariaudo
Albin Ekdal,se SWE,MF,3,0,0,0,92,1.0,1,0,/en/players/f503ea63/Albin-Ekdal,f503ea63,Albin-Ekd
Ayub Daud,so SOM,"FW,MF",1,0,0,0,2,0.0,0,0,/en/players/857ff125/Ayub-Daud,857ff125,Ayub-Daud
Ciro Immobile,it ITA,FW,1,0,0,0,1,0.0,0,0,/en/players/4431aed2/Ciro-Immobile,4431aed2,Ciro-Immobi
