2004-2005,Kaiserslautern
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Ingo Hertzsch,de GER,DF,32,32,0,0,"2,880",32.0,8,0,/en/players/8084a11e/Ingo-Hertzsch,8084a11e,Ingo-Hertzsch
Nzelo Hervé Lembi,cd COD,DF,33,31,0,2,"2,731",30.3,6,0,/en/players/9965b982/Nzelo-Herve-Lembi,9965b982,Nzelo-Herve-Lembi
Thomas Riedl,de GER,"DF,MF",31,31,1,2,"2,634",29.3,9,0,/en/players/a6d7e7c8/Thomas-Riedl,6d7e7c8,Thomas-Ried
Marco Engelhardt,de GER,"DF,MF",30,30,3,2,"2,671",29.7,8,0,/en/players/1367fb87/Marco-Engelhardt,1367fb87,Marco-Engelhardt
Halil Altıntop,tr TUR,"FW,MF",30,24,4,6,"2,215",24.6,3,0,/en/players/efcdb132/Halil-Altintop,fcdb132,Halil-Altinto
Ferydoon Zandi,ir IRN,MF,26,21,4,6,"1,919",21.3,5,0,/en/players/1baca5f1/Ferydoon-Zandi,1baca5f1,Ferydoon-Zandi
Thomas Ernst,de GER,GK,21,20,0,0,"1,829",20.3,0,0,/en/players/ddbfbb6b/Thomas-Ernst,ddbfbb6b,Thomas-Ernst
Ioannis Amanatidis,gr GRE,"FW,MF",23,20,0,6,"1,686",18.7,2,0,/en/players/ce639756/Ioannis-Amanatidis,ce639756,Ioannis-Amanatidi
Carsten Jancker,de GER,FW,25,18,5,4,"1,643",18.3,2,0,/en/players/20570c32/Carsten-Jancker,20570c32,Carsten-Janck
Timo Wenzel,de GER,DF,20,18,0,0,"1,624",18.0,4,0,/en/players/bf1cbcda/Timo-Wenzel,bf1cbcda,Timo-Wenz
Lucien Mettomo,cm CMR,DF,16,16,0,1,"1,361",15.1,1,0,/en/players/4d72172a/Lucien-Mettomo,4d72172a,Lucien-Mettomo
Ciriaco Sforza,ch SUI,"DF,MF",17,16,3,0,"1,272",14.1,4,0,/en/players/132c2f20/Ciriaco-Sforza,132c2f20,Ciriaco-Sforz
Stefan Blank,de GER,DF,14,14,0,4,"1,260",14.0,4,0,/en/players/227ec69d/Stefan-Blank,227ec69d,Stefan-Blank
Bill Tchato,cm CMR,DF,17,14,1,0,"1,242",13.8,3,0,/en/players/71b0baa4/Bill-Tchato,71b0baa4,Bill-Tchato
Tim Wiese,de GER,GK,14,14,0,0,"1,232",13.7,2,0,/en/players/1f676dd8/Tim-Wiese,1f676dd8,Tim-Wi
Kamil Kosowski,pl POL,MF,20,13,0,1,"1,142",12.7,0,0,/en/players/efdefe4c/Kamil-Kosowski,fdefe4c,Kamil-Kosowski
Jochen Seitz,de GER,"DF,MF",20,12,1,3,"1,052",11.7,3,0,/en/players/b2af62d9/Jochen-Seitz,b2af62d9,Jochen-Seitz
Dimitrios Grammozis,gr GRE,MF,13,8,1,1,798,8.9,3,2,/en/players/f9f929d1/Dimitrios-Grammozis,f9f929d1,Dimitrios-Grammozi
Thomas Drescher,de GER,DF,7,6,1,1,533,5.9,0,0,/en/players/d6e4cca2/Thomas-Drescher,d6e4cca2,Thomas-Dresch
Mika Nurmela,fi FIN,MF,7,5,0,0,411,4.6,2,0,/en/players/b0db8abc/Mika-Nurmela,b0db8abc,Mika-Nurm
Christian Nerlinger,de GER,MF,5,4,0,0,383,4.3,3,0,/en/players/ab2b8349/Christian-Nerlinger,b2b8349,Christian-Nerling
Selim Teber,de GER,MF,22,2,1,2,519,5.8,3,0,/en/players/78b26e35/Selim-Teber,78b26e35,Selim-Teb
Mihael Mikić,hr CRO,"DF,MF",6,2,0,0,308,3.4,0,0,/en/players/a6fd4036/Mihael-Mikic,6fd4036,Mihael-Mikic
Jürgen Gjasula,al ALB,MF,7,1,0,0,167,1.9,1,0,/en/players/39f8189c/Jurgen-Gjasula,39f8189c,Jurgen-Gjasu
Christian Timm,de GER,FW,2,1,0,0,73,0.8,0,0,/en/players/f84537a7/Christian-Timm,f84537a7,Christian-Timm
Michael Lehmann,de GER,MF,1,1,,0,71,0.8,0,0,/en/players/8a957de0/Michael-Lehmann,8a957de0,Michael-Lehm
Matthias Henn,de GER,DF,1,0,0,0,36,0.4,0,0,/en/players/43464a05/Matthias-Henn,43464a05,Matthias-H
