2018-2019,Karlsruher
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿David Pisot,de GER,DF,38,38,1,3,"3,420",38.0,3,0,/en/players/81a9d0bc/David-Pisot,81a9d0bc,David-Pisot
Marvin Wanitzek,de GER,MF,37,37,8,6,"3,325",36.9,10,0,/en/players/d0a1ddcb/Marvin-Wanitzek,d0a1ddcb,Marvin-Wanitzek
Damian Roßbach,de GER,DF,37,37,0,3,"3,317",36.9,9,0,/en/players/ba955ebf/Damian-Rossbach,ba955ebf,Damian-Rossbach
Benjamin Uphoff,de GER,GK,37,37,0,0,"3,299",36.7,0,0,/en/players/a9a6fc08/Benjamin-Uphoff,9a6fc08,Benjamin-Uphoff
Marco Thiede,de GER,DF,37,37,1,0,"3,271",36.3,5,0,/en/players/3e8a8b9b/Marco-Thiede,3e8a8b9b,Marco-Thied
Marvin Pourié,de GER,FW,37,37,5,22,"3,154",35.0,3,0,/en/players/10125cc1/Marvin-Pourie,10125cc1,Marvin-Pouri
Daniel Gordon,jm JAM,DF,36,36,1,3,"3,145",34.9,6,1,/en/players/25d756cb/Daniel-Gordon,25d756cb,Daniel-Gordo
Manuel Stiefler,de GER,MF,35,35,7,2,"2,947",32.7,7,0,/en/players/b862a28b/Manuel-Stiefler,b862a28b,Manuel-Stief
Anton Fink,de GER,FW,38,33,9,15,"2,733",30.4,1,0,/en/players/32b4939c/Anton-Fink,32b4939c,Anton-Fink
Marc Lorenz,de GER,MF,32,30,6,4,"2,618",29.1,13,1,/en/players/4ce79d0f/Marc-Lorenz,4ce79d0f,Marc-Lorenz
Burak Çamoğlu,tr TUR,MF,24,15,3,2,"1,471",16.3,4,0,/en/players/4a28e56a/Burak-Camoglu,4a28e56a,Burak-Camoglu
Choi Kyoung-rok,kr KOR,MF,21,9,1,0,869,9.7,2,0,/en/players/f9552f68/Choi-Kyoung-rok,f9552f68,Choi-Kyoung-rok
Alexander Groiß,de GER,MF,17,9,0,0,783,8.7,1,0,/en/players/68eed734/Alexander-Groiss,68eed734,Alexander-Groi
Martin Röser,de GER,"MF,FW",19,7,0,1,757,8.4,3,0,/en/players/16264df0/Martin-Roser,16264df0,Martin-Ro
Christoph Kobald,at AUT,"MF,DF",13,6,0,1,634,7.0,1,0,/en/players/34613521/Christoph-Kobald,34613521,Christoph-Kobald
Florent Muslija,xk KVX,MF,5,5,0,1,450,5.0,1,0,/en/players/ae961785/Florent-Muslija,961785,Florent-Muslij
Saliou Sané,de GER,FW,22,3,0,0,450,5.0,1,0,/en/players/cf7038e2/Saliou-Sane,cf7038e2,Saliou-S
Sercan Sararer,tr TUR,"MF,FW",9,2,0,0,247,2.7,0,0,/en/players/3509bccd/Sercan-Sararer,3509bccd,Sercan-S
Janis Hanek,de GER,MF,7,1,0,0,153,1.7,1,0,/en/players/f1f54d98/Janis-Hanek,f1f54d98,Janis-Hanek
Justin Möbius,de GER,MF,5,1,0,1,127,1.4,0,0,/en/players/3b2f72b6/Justin-Mobius,3b2f72b6,Justin-Mobiu
Sven Müller,de GER,GK,2,1,0,0,121,1.3,0,0,/en/players/fdc1498c/Sven-Muller,fdc1498c,Sven-Mu
Malik Batmaz,de GER,MF,3,1,0,0,105,1.2,1,0,/en/players/56502f37/Malik-Batmaz,56502f37,Malik-Batmaz
Tim Kircher,de GER,DF,3,1,0,0,104,1.2,0,0,/en/players/44780344/Tim-Kircher,44780344,Tim-Kirch
Marin Šverko,hr CRO,DF,2,0,0,0,35,0.4,1,0,/en/players/06dba850/Marin-Sverko,06dba850,Marin-Sverko
Martin Stoll,de GER,DF,1,0,0,0,15,0.2,0,0,/en/players/eb791ad7/Martin-Stoll,b791ad7,Martin-Sto
Eric Jansen,de GER,DF,1,0,0,0,1,0.0,0,0,/en/players/4f5fdcb7/Eric-Jansen,4f5fdcb7,Eric-J
Dominik Stroh-Engel,de GER,FW,1,0,0,0,1,0.0,0,0,/en/players/88131379/Dominik-Stroh-Engel,88131379,Dominik-Stroh-Eng
Edmond Kaiser,de GER,GK,0,0,,,,,,,/en/players/55306a30/Edmond-Kaiser,55306a30,Edmond-Kai
Mario Schragl,at AUT,GK,0,0,,,,,,,/en/players/08e76b15/Mario-Schragl,08e76b15,Mario-Schrag
Valentino Vujinović,de GER,FW,0,0,,,,,,,/en/players/03a55103/Valentino-Vujinovic,03a55103,Valentino-Vujinovic
