2014-2015,Koln
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Jonas Hector,de GER,"DF,MF",33,33,0,2,"2,970",33.0,2,0,/en/players/c2009df3/Jonas-Hector,c2009df3,Jonas-Hecto
Timo Horn,de GER,GK,33,33,0,0,"2,970",33.0,0,0,/en/players/3cd9e95a/Timo-Horn,3cd9e95a,Timo-Ho
Kevin Wimmer,at AUT,DF,32,32,0,0,"2,880",32.0,4,1,/en/players/faf55ce4/Kevin-Wimmer,faf55ce4,Kevin-Wimm
Matthias Lehmann,de GER,MF,32,32,1,5,"2,842",31.6,9,0,/en/players/abb42ce6/Matthias-Lehmann,bb42ce6,Matthias-Lehm
Kevin Vogt,de GER,"DF,MF",32,30,3,1,"2,688",29.9,8,0,/en/players/1d8e9add/Kevin-Vogt,1d8e9add,Kevin-Vogt
Anthony Ujah,ng NGA,FW,32,28,3,10,"2,344",26.0,2,0,/en/players/99be8fb5/Anthony-Ujah,99be8fb5,Anthony-Ujah
Dominic Maroh,si SVN,DF,29,26,0,1,"2,371",26.3,2,0,/en/players/3f30b506/Dominic-Maroh,3f30b506,Dominic-Maroh
Marcel Risse,de GER,"DF,FW",29,26,3,5,"2,258",25.1,3,0,/en/players/140afefb/Marcel-Risse,140afefb,Marcel-Ri
Paweł Olkowski,pl POL,"DF,MF",27,24,2,2,"2,110",23.4,1,1,/en/players/896c126c/Pawel-Olkowski,896c126c,Pawel-Olkowski
Mišo Brečko,si SVN,"DF,MF",19,17,1,0,"1,409",15.7,1,0,/en/players/3b9eca7f/Miso-Brecko,3b9eca7f,Miso-Brecko
Yuya Osako,jp JPN,"FW,MF",28,16,3,3,"1,523",16.9,1,0,/en/players/f69fba57/Yuya-Osako,f69fba57,Yuya-Osako
Daniel Halfar,de GER,MF,22,14,1,0,"1,341",14.9,1,0,/en/players/1d1f3446/Daniel-Halfar,1d1f3446,Daniel-Half
Dušan Švento,sk SVK,"DF,MF",19,12,0,0,"1,005",11.2,0,0,/en/players/665ea69b/Dusan-Svento,665ea69b,Dusan-Svento
Mërgim Mavraj,al ALB,DF,15,11,0,0,"1,036",11.5,1,0,/en/players/0eb5720b/Mergim-Mavraj,0eb5720b,Mergim-Mavraj
Sławomir Peszko,pl POL,MF,18,10,1,0,999,11.1,5,0,/en/players/0629adab/Slawomir-Peszko,0629adab,Slawomir-Peszko
Yannick Gerhardt,de GER,"DF,MF",16,9,1,1,833,9.3,2,0,/en/players/62ab9184/Yannick-Gerhardt,62ab9184,Yannick-Gerhardt
Simon Zoller,de GER,"FW,MF",9,5,0,1,482,5.4,1,0,/en/players/29f7cfd9/Simon-Zoller,29f7cfd9,Simon-Zo
Kazuki Nagasawa,jp JPN,MF,10,5,0,0,388,4.3,0,0,/en/players/69dc5362/Kazuki-Nagasawa,69dc5362,Kazuki-Nagasaw
Adam Matuszczyk,pl POL,MF,10,4,1,0,434,4.8,0,0,/en/players/ed07855f/Adam-Matuszczyk,d07855f,Adam-Matuszczyk
Deyverson,br BRA,FW,8,4,0,1,336,3.7,4,0,/en/players/2e5e846d/Deyverson,2e5e846d,Deyverso
Bård Finne,no NOR,"FW,MF",10,2,0,1,246,2.7,0,0,/en/players/78699620/Bard-Finne,78699620,Bard-Fi
Thomas Kessler,de GER,GK,1,1,0,0,90,1.0,0,0,/en/players/3967d651/Thomas-Kessler,3967d651,Thomas-K
Thomas Bröker,de GER,"FW,MF",4,0,0,0,84,0.9,1,0,/en/players/90b61b87/Thomas-Broker,90b61b87,Thomas-Brok
Lucas Cueto,de GER,"FW,MF",0,0,,,,,,,/en/players/77786d22/Lucas-Cueto,77786d22,Lucas-Cueto
Tomáš Kalas,cz CZE,DF,0,0,,,,,,,/en/players/df618867/Tomas-Kalas,df618867,Tomas-K
Daniel Mesenhöler,de GER,GK,0,0,,,,,,,/en/players/0e4c13d2/Daniel-Mesenholer,0e4c13d2,Daniel-Mesenho
