Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,﻿Stefan Wessels,de GER,GK,32,32,0.0,0.0,2003-2004,b405f32d,Koln,"2,840",31.6,0.0,0.0,21.0,13.0,
,Christian Springer,de GER,MF,28,27,2.0,3.0,2003-2004,fdea0bff,Koln,"2,333",25.9,5.0,0.0,21.0,13.0,
,Oliver Schröder,de GER,"DF,MF",28,25,3.0,1.0,2003-2004,3810cf9d,Koln,"2,313",25.7,1.0,0.0,21.0,13.0,
,Mustafa Doğan,de GER,DF,25,25,0.0,1.0,2003-2004,9fe497f0,Koln,"2,146",23.8,7.0,0.0,21.0,13.0,
,Matthias Scherz,de GER,FW,29,22,4.0,4.0,2003-2004,cea72c78,Koln,"1,988",22.1,2.0,0.0,21.0,13.0,
,Alexander Voigt,de GER,DF,25,22,2.0,0.0,2003-2004,3357cd1c,Koln,"1,938",21.5,6.0,1.0,21.0,13.0,
,Florian Kringe,de GER,"DF,MF",29,22,2.0,1.0,2003-2004,cbb4a154,Koln,"1,936",21.5,4.0,0.0,21.0,13.0,
,Moses Sichone,zm ZAM,DF,23,21,0.0,0.0,2003-2004,c0271a1b,Koln,"1,852",20.6,7.0,1.0,21.0,136.0,
,Dirk Lottner,de GER,"DF,MF",25,19,3.0,4.0,2003-2004,849bc5be,Koln,"1,800",20.0,4.0,0.0,21.0,13.0,
,Thomas Cichon,de GER,DF,22,19,0.0,0.0,2003-2004,0e7c3590,Koln,"1,702",18.9,4.0,0.0,21.0,13.0,
,Andriy Voronin,ua UKR,"FW,MF",19,19,2.0,4.0,2003-2004,0404459,Koln,"1,672",18.6,2.0,0.0,21.0,29.0,
,Lukas Podolski,de GER,"FW,MF",19,18,0.0,10.0,2003-2004,88f0a9a0,Koln,"1,551",17.2,2.0,0.0,21.0,13.0,
,Jörg Heinrich,de GER,"DF,MF",19,17,0.0,0.0,2003-2004,bdf3492d,Koln,"1,498",16.6,2.0,1.0,21.0,13.0,
,Carsten Cullmann,de GER,DF,15,15,2.0,0.0,2003-2004,7d78fe24,Koln,"1,350",15.0,4.0,0.0,21.0,13.0,
,Albert Streit,de GER,MF,15,11,0.0,0.0,2003-2004,35acf792,Koln,998,11.1,4.0,0.0,21.0,13.0,
,Andrew Sinkala,zm ZAM,MF,13,11,0.0,1.0,2003-2004,676808bb,Koln,960,10.7,2.0,0.0,21.0,136.0,
,Vladan Grujić,ba BIH,MF,11,9,0.0,0.0,2003-2004,8e282a9c,Koln,786,8.7,2.0,0.0,21.0,49.0,
,Markus Feulner,de GER,MF,12,9,0.0,1.0,2003-2004,08880b,Koln,779,8.7,2.0,0.0,21.0,13.0,
,Marius Ebbers,de GER,FW,17,8,0.0,1.0,2003-2004,c56ab2cd,Koln,715,7.9,1.0,1.0,21.0,13.0,
,Sebastian Helbig,de GER,"FW,MF",12,6,0.0,0.0,2003-2004,2ff04b42,Koln,582,6.5,1.0,0.0,21.0,13.0,
,Tomasz Kłos,pl POL,DF,6,5,0.0,0.0,2003-2004,fb1247f,Koln,469,5.2,3.0,0.0,21.0,14.0,
,Giovanni Federico,de GER,MF,12,4,0.0,0.0,2003-2004,5f58da6,Koln,401,4.5,0.0,0.0,21.0,13.0,
,Lukas Sinkiewicz,de GER,"DF,MF",4,4,0.0,0.0,2003-2004,ba0d7c89,Koln,360,4.0,2.0,0.0,21.0,13.0,
,Alexander Bade,de GER,GK,3,2,,0.0,2003-2004,5111ab60,Koln,222,2.5,0.0,0.0,21.0,13.0,
,Sebastian Schindzielorz,de GER,MF,3,2,0.0,0.0,2003-2004,b813dfd2,Koln,181,2.0,0.0,0.0,21.0,13.0,
,Markus Happe,de GER,DF,2,0,0.0,0.0,2003-2004,1a6acdeb,Koln,66,0.7,1.0,0.0,21.0,13.0,
,Joshua Kennedy,au AUS,FW,4,0,0.0,0.0,2003-2004,cac2205d,Koln,51,0.6,0.0,0.0,21.0,42.0,
,Michael Niedrig,de GER,MF,1,0,0.0,0.0,2003-2004,61e215f8,Koln,44,0.5,1.0,0.0,21.0,13.0,
,Markus Dworrak,de GER,"FW,MF",2,0,0.0,0.0,2003-2004,64041728,Koln,37,0.4,0.0,0.0,21.0,13.0,
,Michael Lejan,be BEL,MF,2,0,0.0,0.0,2003-2004,8a16b711,Koln,28,0.3,0.0,0.0,21.0,27.0,
,﻿Alexander Voigt,de GER,DF,33,32,3.0,5.0,2004-2005,3357cd1c,Koln,"2,799",31.1,9.0,0.0,21.0,13.0,
,Albert Streit,de GER,MF,33,30,5.0,2.0,2004-2005,35acf792,Koln,"2,534",28.2,8.0,0.0,21.0,13.0,
,Sebastian Schindzielorz,de GER,MF,31,30,0.0,0.0,2004-2005,b813dfd2,Koln,"2,340",26.0,4.0,0.0,21.0,13.0,
,Lukas Podolski,de GER,"FW,MF",30,29,10.0,24.0,2004-2005,88f0a9a0,Koln,"2,602",28.9,5.0,0.0,21.0,13.0,
,Alexander Bade,de GER,GK,27,27,0.0,0.0,2004-2005,5111ab60,Koln,"2,430",27.0,0.0,0.0,21.0,13.0,
,Andrew Sinkala,zm ZAM,MF,27,27,0.0,1.0,2004-2005,676808bb,Koln,"2,333",25.9,6.0,1.0,21.0,136.0,
,Lukas Sinkiewicz,de GER,"DF,MF",26,26,0.0,1.0,2004-2005,ba0d7c89,Koln,"2,242",24.9,4.0,0.0,21.0,13.0,
,Matthias Scherz,de GER,FW,33,24,7.0,11.0,2004-2005,cea72c78,Koln,"2,276",25.3,6.0,0.0,21.0,13.0,
,Carsten Cullmann,de GER,DF,25,22,1.0,1.0,2004-2005,7d78fe24,Koln,"2,022",22.5,4.0,0.0,21.0,13.0,
,Rolf-Christel Guié-Mien,cg CGO,MF,20,16,3.0,0.0,2004-2005,cce4cd9c,Koln,"1,365",15.2,3.0,0.0,21.0,80.0,
,Christian Springer,de GER,MF,23,15,2.0,2.0,2004-2005,fdea0bff,Koln,"1,379",15.3,2.0,0.0,21.0,13.0,
,Marius Ebbers,de GER,FW,31,14,5.0,9.0,2004-2005,c56ab2cd,Koln,"1,496",16.6,1.0,0.0,21.0,13.0,
,Fábio Bilica,br BRA,DF,15,14,2.0,0.0,2004-2005,12bdac6a,Koln,"1,278",14.2,1.0,0.0,21.0,2.0,
,Christian Rahn,de GER,"DF,MF",15,12,4.0,1.0,2004-2005,9104592b,Koln,995,11.1,3.0,0.0,21.0,13.0,
,Kostas Konstantinidis,gr GRE,DF,14,12,0.0,1.0,2004-2005,28ce024,Koln,961,10.7,5.0,1.0,21.0,55.0,
,Timo Achenbach,de GER,DF,15,11,1.0,0.0,2004-2005,82a89164,Koln,998,11.1,2.0,0.0,21.0,13.0,
,Christian Lell,de GER,DF,16,9,0.0,1.0,2004-2005,37d7f47d,Koln,978,10.9,1.0,0.0,21.0,13.0,
,Stefan Wessels,de GER,GK,7,7,0.0,0.0,2004-2005,b405f32d,Koln,630,7.0,0.0,0.0,21.0,13.0,
,Thomas Bröker,de GER,"FW,MF",15,6,2.0,1.0,2004-2005,90b61b87,Koln,611,6.8,2.0,0.0,21.0,13.0,
,Markus Feulner,de GER,MF,13,5,2.0,1.0,2004-2005,08880b,Koln,589,6.5,0.0,0.0,21.0,13.0,
,Vasilios Tsiartas,gr GRE,MF,4,4,1.0,1.0,2004-2005,81528813,Koln,278,3.1,0.0,0.0,21.0,55.0,
,Roland Benschneider,de GER,DF,12,2,0.0,0.0,2004-2005,b9ddbb3c,Koln,340,3.8,1.0,1.0,21.0,13.0,
,Vladan Grujić,ba BIH,MF,1,0,0.0,0.0,2004-2005,8e282a9c,Koln,53,0.6,1.0,0.0,21.0,49.0,
,Attila Tököli,hu HUN,FW,3,0,0.0,0.0,2004-2005,bb636da5,Koln,38,0.4,1.0,0.0,21.0,87.0,
,Michael Niedrig,de GER,MF,2,0,0.0,0.0,2004-2005,61e215f8,Koln,14,0.2,0.0,0.0,21.0,13.0,
,﻿Lukas Sinkiewicz,de GER,"DF,MF",33,32,1.0,0.0,2005-2006,ba0d7c89,Koln,"2,884",32.0,7.0,0.0,21.0,13.0,
,Lukas Podolski,de GER,"FW,MF",32,30,6.0,12.0,2005-2006,88f0a9a0,Koln,"2,749",30.5,9.0,0.0,21.0,13.0,
,Albert Streit,de GER,MF,30,28,8.0,6.0,2005-2006,35acf792,Koln,"2,510",27.9,5.0,1.0,21.0,13.0,
,Christian Lell,de GER,DF,26,23,2.0,0.0,2005-2006,37d7f47d,Koln,"1,973",21.9,6.0,1.0,21.0,13.0,
,Marvin Matip,cm CMR,"DF,MF",23,23,1.0,1.0,2005-2006,97decaae,Koln,"1,968",21.9,1.0,0.0,21.0,36.0,
,Stefan Wessels,de GER,GK,22,22,0.0,0.0,2005-2006,b405f32d,Koln,"1,935",21.5,0.0,0.0,21.0,13.0,
,Alpay Özalan,tr TUR,DF,21,21,0.0,1.0,2005-2006,1a59314,Koln,"1,782",19.8,7.0,1.0,21.0,15.0,
,Matthias Scherz,de GER,FW,27,17,3.0,8.0,2005-2006,cea72c78,Koln,"1,535",17.1,3.0,1.0,21.0,13.0,
,Ricardo Cabanas,ch SUI,MF,16,16,0.0,0.0,2005-2006,51e3aab2,Koln,"1,422",15.8,4.0,0.0,21.0,39.0,
,Björn Schlicke,de GER,DF,15,14,0.0,3.0,2005-2006,5531d218,Koln,"1,260",14.0,4.0,0.0,21.0,13.0,
,Dimitrios Grammozis,gr GRE,MF,19,12,0.0,0.0,2005-2006,f9f929d1,Koln,"1,173",13.0,6.0,0.0,21.0,55.0,
,Alexander Bade,de GER,GK,13,12,0.0,0.0,2005-2006,5111ab60,Koln,"1,125",12.5,0.0,0.0,21.0,13.0,
,Christian Springer,de GER,MF,18,12,2.0,2.0,2005-2006,fdea0bff,Koln,"1,066",11.8,4.0,0.0,21.0,13.0,
,Markus Feulner,de GER,MF,13,12,1.0,3.0,2005-2006,08880b,Koln,972,10.8,2.0,0.0,21.0,13.0,
,Marco Streller,ch SUI,FW,14,11,,3.0,2005-2006,376faf34,Koln,981,10.9,3.0,0.0,21.0,39.0,
,Sebastian Schindzielorz,de GER,MF,16,10,0.0,0.0,2005-2006,b813dfd2,Koln,929,10.3,3.0,0.0,21.0,13.0,
,Youssef Mokhtari,ma MAR,MF,13,10,4.0,0.0,2005-2006,48231705,Koln,898,10.0,2.0,0.0,21.0,26.0,
,Carsten Cullmann,de GER,DF,10,9,0.0,0.0,2005-2006,7d78fe24,Koln,834,9.3,2.0,0.0,21.0,13.0,
,Christian Rahn,de GER,"DF,MF",11,9,1.0,0.0,2005-2006,9104592b,Koln,704,7.8,1.0,0.0,21.0,13.0,
,Roland Benschneider,de GER,DF,12,8,0.0,1.0,2005-2006,b9ddbb3c,Koln,706,7.8,1.0,1.0,21.0,13.0,
,Boris Živković,hr CRO,DF,8,8,0.0,1.0,2005-2006,f6338bc4,Koln,675,7.5,1.0,0.0,21.0,16.0,
,Andrew Sinkala,zm ZAM,MF,9,8,0.0,0.0,2005-2006,676808bb,Koln,591,6.6,2.0,1.0,21.0,136.0,
,Anthony Lurling,nl NED,"FW,MF",12,6,0.0,0.0,2005-2006,bb641,Koln,572,6.4,3.0,0.0,21.0,11.0,
,Peter Madsen,dk DEN,FW,8,5,,0.0,2005-2006,26c57f1,Koln,400,4.4,0.0,0.0,21.0,7.0,
,Imre Szabics,hu HUN,FW,11,4,0.0,1.0,2005-2006,f16f025d,Koln,281,3.1,1.0,1.0,21.0,87.0,
