2011-2012,Las-Palmas
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Javi Castellano,es ESP,"DF,MF",41,41,2,0,"3,690",41.0,10,0,/en/players/dac68523/Javi-Castellano,dac68523,Javi-Castellano
Stéphane Pignol,fr FRA,DF,38,37,0,0,"3,317",36.9,15,2,/en/players/ca3ae27c/Stephane-Pignol,ca3ae27c,Stephane-Pigno
Mariano Barbosa,ar ARG,GK,37,37,0,0,"3,274",36.4,2,1,/en/players/aad4f74f/Mariano-Barbosa,d4f74f,Mariano-Barbo
Vitolo,es ESP,"FW,MF",36,31,1,10,"2,605",28.9,12,0,/en/players/db750822/Vitolo,db750822,Vitolo
David González,es ESP,MF,34,30,6,2,"2,560",28.4,10,1,/en/players/d65705c4/David-Gonzalez,d65705c4,David-Gonzalez
Jonathan Viera,es ESP,"FW,MF",29,29,13,9,"2,578",28.6,9,3,/en/players/efa708aa/Jonathan-Viera,fa708aa,Jonathan-Vi
Diego Herner,ar ARG,DF,29,28,1,0,"2,381",26.5,6,2,/en/players/8fd75cd3/Diego-Herner,8fd75cd3,Diego-H
Ruymán Hernández,es ESP,DF,24,23,1,1,"2,038",22.6,6,1,/en/players/4d598125/Ruyman-Hernandez,4d598125,Ruyman-Hernandez
Víctor Laguardia,es ESP,DF,25,23,0,1,"2,024",22.5,8,0,/en/players/b7c99b9b/Victor-Laguardia,b7c99b9b,Victor-Laguardi
Javi Guerrero,es ESP,FW,28,22,4,7,"1,813",20.1,6,2,/en/players/bd4345ec/Javi-Guerrero,bd4345ec,Javi-Guerrero
Javier Portillo,es ESP,FW,34,20,2,8,"1,730",19.2,2,0,/en/players/99058498/Javier-Portillo,99058498,Javier-Portillo
Enrique Corrales,es ESP,DF,20,20,0,0,"1,672",18.6,7,1,/en/players/a8dbcf66/Enrique-Corrales,8dbcf66,Enrique-Co
Juanpe,es ESP,DF,19,18,0,1,"1,573",17.5,7,1,/en/players/1633fc8a/Juanpe,1633fc8a,Ju
Vicente Gómez,es ESP,MF,29,17,0,2,"1,513",16.8,5,1,/en/players/cefb32b1/Vicente-Gomez,cefb32b1,Vicente-Gomez
David García,es ESP,DF,17,16,0,3,"1,312",14.6,4,0,/en/players/1250086e/David-Garcia,1250086e,David-Garci
Sergio Suárez,es ESP,MF,24,13,1,3,"1,122",12.5,7,2,/en/players/e7c64834/Sergio-Suarez,7c64834,Sergio-Suarez
Momo,es ESP,MF,13,11,1,2,892,9.9,1,0,/en/players/9857e65d/Momo,9857e65d,Momo
Mauro Quiroga,ar ARG,FW,33,10,1,7,"1,542",17.1,4,0,/en/players/1643c897/Mauro-Quiroga,1643c897,Mauro-Quirog
Roque Mesa,es ESP,MF,22,10,0,0,949,10.5,5,0,/en/players/7c4243d4/Roque-Mesa,7c4243d4,Roque-M
Francis Suárez,es ESP,MF,16,10,2,1,800,8.9,4,1,/en/players/213227f5/Francis-Suarez,213227f5,Francis-Suarez
Dani Castellano,es ESP,"DF,MF",13,7,1,0,527,5.9,2,0,/en/players/21d4e122/Dani-Castellano,21d4e122,Dani-Castellano
Raúl Lizoain,es ESP,GK,6,5,0,0,506,5.6,0,0,/en/players/f69e9eee/Raul-Lizoain,f69e9eee,Raul-Lizoai
Pedro Vega,es ESP,MF,9,2,0,0,278,3.1,1,0,/en/players/aec634a0/Pedro-Vega,c634a0,Pedro-Veg
José Artiles,es ESP,"FW,MF",6,1,0,0,252,2.8,0,0,/en/players/913e81fb/Jose-Artiles,913e81fb,Jose-Arti
Iban Iyanga,gq EQG,"DF,FW",4,1,0,1,97,1.1,0,0,/en/players/e3985fc6/Iban-Iyanga,3985fc6,Iban-Iyang
Juan Guerra,ve VEN,MF,1,0,0,0,36,0.4,1,0,/en/players/598b47bf/Juan-Guerra,598b47bf,Juan-Gu
Hernán,es ESP,"DF,MF",1,0,0,0,9,0.1,0,0,/en/players/8c83efb6/Hernan,8c83efb6,H
