,Player,Link,Player_name(param),Player_id(param)
0,﻿Baiano,/en/players/26a7618d/Baiano,Baiano,26a7618d
1,Rubén Castro,/en/players/d109f62b/Ruben-Castro,Ruben-Castro,d109f62b
2,Alberto Monteagudo,/en/players/eaf8a40b/Alberto-Monteagudo,Alberto-Monteagudo,eaf8a40b
3,Álvaro,/en/players/3bb76c65/Alvaro,Alvaro,3bb76c65
4,Javi Martel,/en/players/f5db3525/Javi-Martel,Javi-Martel,f5db3525
5,Gustavo Reggi,/en/players/877bbcf1/Gustavo-Reggi,Gustavo-Reggi,877bbcf1
6,Carmelo González,/en/players/27f4e837/Carmelo-Gonzalez,Carmelo-Gonzalez,27f4e837
7,Pedro Vega,/en/players/aec634a0/Pedro-Vega,Pedro-Vega,aec634a0
8,José Antonio,/en/players/a1b47d18/Jose-Antonio,Jose-Antonio,a1b47d18
9,Marc Bernaus,/en/players/761ecc1f/Marc-Bernaus,Marc-Bernaus,761ecc1f
10,Bo Braastrup Andersen,/en/players/1947dd0d/Bo-Braastrup-Andersen,Bo-Braastrup-Andersen,1947dd0d
11,Ildefons Lima,/en/players/e4f64f08/Ildefons-Lima,Ildefons-Lima,e4f64f08
12,Diego Trotta,/en/players/e7ec1faf/Diego-Trotta,Diego-Trotta,e7ec1faf
13,Mario Cotelo,/en/players/bb049a1f/Mario-Cotelo,Mario-Cotelo,bb049a1f
14,Ángel López,/en/players/93cdc601/Angel-Lopez,Angel-Lopez,93cdc601
15,Orlando Suárez,/en/players/ed1316be/Orlando-Suarez,Orlando-Suarez,ed1316be
16,Orlando Quintana,/en/players/bdb7b026/Orlando-Quintana,Orlando-Quintana,bdb7b026
17,Álex,/en/players/4512fa60/Alex,Alex,4512fa60
18,Tomás Hervás,/en/players/9f1f6292/Tomas-Hervas,Tomas-Hervas,9f1f6292
19,Alberto,/en/players/cbd5eb5f/Alberto,Alberto,cbd5eb5f
20,Edier Frejd,/en/players/7727127b/Edier-Frejd,Edier-Frejd,7727127b
21,Angel Sanchez Armas,/en/players/ec4ed530/Angel-Sanchez-Armas,Angel-Sanchez-Armas,ec4ed530
22,Alain N'Kong,/en/players/bc8192a1/Alain-NKong,Alain-NKong,bc8192a1
23,Rafael Maceratesi,/en/players/97868bb0/Rafael-Maceratesi,Rafael-Maceratesi,97868bb0
24,Željko Cicović,/en/players/62803fde/Zeljko-Cicovic,Zeljko-Cicovic,62803fde
25,José Silvano,/en/players/a735acbb/Jose-Silvano,Jose-Silvano,a735acbb
26,Juan Carlos Socorro,/en/players/45588437/Juan-Carlos-Socorro,Juan-Carlos-Socorro,45588437
27,David González,/en/players/d65705c4/David-Gonzalez,David-Gonzalez,d65705c4
28,Miguel Ángel Molina,/en/players/f0a68573/Miguel-Angel-Molina,Miguel-Angel-Molina,f0a68573
29,﻿Rubén Castro,/en/players/d109f62b/Ruben-Castro,Ruben-Castro,d109f62b
30,Guillermo Castro,/en/players/7f3d2662/Guillermo-Castro,Guillermo-Castro,7f3d2662
31,Momo,/en/players/9857e65d/Momo,Momo,9857e65d
32,Kily González,/en/players/69966620/Kily-Gonzalez,Kily-Gonzalez,69966620
33,Mariano Bogliacino,/en/players/ab028814/Mariano-Bogliacino,Mariano-Bogliacino,ab028814
34,Sanel Jahić,/en/players/60e95fa4/Sanel-Jahic,Sanel-Jahic,60e95fa4
35,Jotha,/en/players/bed4387d/Jotha,Jotha,bed4387d
36,Gastón Sessa,/en/players/0a798ba0/Gaston-Sessa,Gaston-Sessa,0a798ba0
37,Changui,/en/players/5fab2c25/Changui,Changui,5fab2c25
38,Nicolás Frutos,/en/players/0fc7518c/Nicolas-Frutos,Nicolas-Frutos,0fc7518c
39,Janne Hietanen,/en/players/f386d256/Janne-Hietanen,Janne-Hietanen,f386d256
40,Paqui,/en/players/cf8ddf0b/Paqui,Paqui,cf8ddf0b
41,Matheus Vivian,/en/players/72a87101/Matheus-Vivian,Matheus-Vivian,72a87101
42,David García,/en/players/1250086e/David-Garcia,David-Garcia,1250086e
43,Juanma,/en/players/396b863a/Juanma,Juanma,396b863a
44,Adrián Martín,/en/players/53eabc97/Adrian-Martin,Adrian-Martin,53eabc97
45,Aridani Arbelo,/en/players/bc62fd29/Aridani-Arbelo,Aridani-Arbelo,bc62fd29
46,André Schei Lindbæk,/en/players/198eb259/Andre-Schei-Lindbaek,Andre-Schei-Lindbaek,198eb259
47,David Medina,/en/players/b5fc02b6/David-Medina,David-Medina,b5fc02b6
48,Acorán,/en/players/aa1ecac3/Acoran,Acoran,aa1ecac3
49,﻿Marcos Márquez,/en/players/914f774e/Marcos-Marquez,Marcos-Marquez,914f774e
50,Aythami Artiles,/en/players/01ae64cd/Aythami-Artiles,Aythami-Artiles,01ae64cd
51,Siro Darino,/en/players/5a4e45be/Siro-Darino,Siro-Darino,5a4e45be
52,Xabier Castillo,/en/players/638dc43b/Xabier-Castillo,Xabier-Castillo,638dc43b
53,Nacho Garro,/en/players/9f6a2843/Nacho-Garro,Nacho-Garro,9f6a2843
54,David Txiki,/en/players/9c1b1fe2/David-Txiki,David-Txiki,9c1b1fe2
55,Roberto Trashorras,/en/players/5252fdf5/Roberto-Trashorras,Roberto-Trashorras,5252fdf5
56,Ángel Pindado,/en/players/6b44da65/Angel-Pindado,Angel-Pindado,6b44da65
57,Nauzet Alemán,/en/players/4cf8242b/Nauzet-Aleman,Nauzet-Aleman,4cf8242b
58,Ione Cabrera,/en/players/a1b97b7c/Ione-Cabrera,Ione-Cabrera,a1b97b7c
59,Víctor Afonso,/en/players/43946a7f/Victor-Afonso,Victor-Afonso,43946a7f
60,Miguel Cobas,/en/players/86244575/Miguel-Cobas,Miguel-Cobas,86244575
61,Nacho González,/en/players/0c99d0e9/Nacho-Gonzalez,Nacho-Gonzalez,0c99d0e9
62,Joseba Arriaga,/en/players/5819e0da/Joseba-Arriaga,Joseba-Arriaga,5819e0da
63,Fredi Lobeiras,/en/players/9e85ab41/Fredi-Lobeiras,Fredi-Lobeiras,9e85ab41
64,Roberto Losada,/en/players/547ccdd5/Roberto-Losada,Roberto-Losada,547ccdd5
65,Goran Marić,/en/players/71251e74/Goran-Maric,Goran-Maric,71251e74
66,Nacho Casanova,/en/players/5621fc5b/Nacho-Casanova,Nacho-Casanova,5621fc5b
67,Francisco Alberoni,/en/players/1004e28d/Francisco-Alberoni,Francisco-Alberoni,1004e28d
68,Francis Suárez,/en/players/213227f5/Francis-Suarez,Francis-Suarez,213227f5
69,﻿David García,/en/players/1250086e/David-Garcia,David-Garcia,1250086e
70,Daniel López Ramos,/en/players/915cea2d/Daniel-Lopez-Ramos,Daniel-Lopez-Ramos,915cea2d
71,Marcos Márquez,/en/players/914f774e/Marcos-Marquez,Marcos-Marquez,914f774e
72,Christian,/en/players/1d5a68fe/Christian,Christian,1d5a68fe
73,Samuel,/en/players/a7055133/Samuel,Samuel,a7055133
74,Adrián Colunga,/en/players/2212dd4e/Adrian-Colunga,Adrian-Colunga,2212dd4e
75,Sergio Suárez,/en/players/e7c64834/Sergio-Suarez,Sergio-Suarez,e7c64834
76,Roberto Santamaría,/en/players/bca21ef3/Roberto-Santamaria,Roberto-Santamaria,bca21ef3
77,Juanpa,/en/players/75ef1517/Juanpa,Juanpa,75ef1517
78,Pitu,/en/players/ed6ee013/Pitu,Pitu,ed6ee013
79,Carlos Merino,/en/players/443c8c9a/Carlos-Merino,Carlos-Merino,443c8c9a
80,Esteban González,/en/players/3b3381db/Esteban-Gonzalez,Esteban-Gonzalez,3b3381db
81,Capi,/en/players/7ba110d0/Capi,Capi,7ba110d0
82,Yuri de Souza,/en/players/75e74213/Yuri-de-Souza,Yuri-de-Souza,75e74213
83,Kenji Fukuda,/en/players/889fd1fe/Kenji-Fukuda,Kenji-Fukuda,889fd1fe
84,Juan Viyuela,/en/players/888234e9/Juan-Viyuela,Juan-Viyuela,888234e9
85,Ruymán Hernández,/en/players/4d598125/Ruyman-Hernandez,Ruyman-Hernandez,4d598125
86,Juan Manuel Azconzábal,/en/players/90336cf6/Juan-Manuel-Azconzabal,Juan-Manuel-Azconzabal,90336cf6
87,Iván Benítez,/en/players/ba34fbb2/Ivan-Benitez,Ivan-Benitez,ba34fbb2
88,Dani López,/en/players/da8aa199/Dani-Lopez,Dani-Lopez,da8aa199
89,Jorge Larena,/en/players/3de25195/Jorge-Larena,Jorge-Larena,3de25195
