2007-2008,Lazio
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Cristian Ledesma,it ITA,MF,32,31,4,3,"2,801",31.1,8,0,/en/players/ebb9eaa9/Cristian-Ledesma,bb9eaa9,Cristian-Ledesm
Tommaso Rocchi,it ITA,"FW,MF",36,31,5,14,"2,700",30.0,0,0,/en/players/928198e6/Tommaso-Rocchi,928198e6,Tommaso-Rocchi
Goran Pandev,mk MKD,"FW,MF",32,30,3,14,"2,545",28.3,8,0,/en/players/d711d04f/Goran-Pandev,d711d04f,Goran-Pandev
Emílson Cribari,br BRA,DF,31,29,0,0,"2,680",29.8,1,0,/en/players/0913c971/Emilson-Cribari,0913c971,Emilson-Cribari
Marco Ballotta,it ITA,GK,29,29,0,0,"2,610",29.0,0,0,/en/players/6e313d9f/Marco-Ballotta,6e313d9f,Marco-Ballott
Massimo Mutarelli,it ITA,MF,24,22,2,2,"1,876",20.8,8,2,/en/players/4a5cc942/Massimo-Mutarelli,4a5cc942,Massimo-Mutarelli
Gaby Mudingayi,be BEL,MF,27,21,0,0,"1,953",21.7,12,0,/en/players/d4a01bb2/Gaby-Mudingayi,d4a01bb2,Gaby-Mudingayi
Valon Behrami,ch SUI,"DF,MF",22,21,0,1,"1,804",20.0,5,0,/en/players/d3d758d8/Valon-Behrami,d3d758d8,Valon-Behrami
Sebastiano Siviglia,it ITA,DF,19,19,0,1,"1,683",18.7,5,2,/en/players/d8c086d3/Sebastiano-Siviglia,d8c086d3,Sebastiano-Sivigli
Stefano Mauri,it ITA,"FW,MF",24,18,5,3,"1,583",17.6,1,0,/en/players/e3bb6738/Stefano-Mauri,3bb6738,Stefano-Mauri
Lorenzo De Silvestri,it ITA,"DF,MF",24,17,2,0,"1,570",17.4,5,2,/en/players/e74f0e59/Lorenzo-De-Silvestri,74f0e59,Lorenzo-De-Silvestri
Luciano Zauri,it ITA,DF,18,17,0,0,"1,512",16.8,7,1,/en/players/96947b99/Luciano-Zauri,96947b99,Luciano-Zauri
Aleksandar Kolarov,rs SRB,DF,24,17,1,1,"1,489",16.5,6,1,/en/players/eda40760/Aleksandar-Kolarov,da40760,Aleksandar-Kolarov
Christian Manfredini,ci CIV,MF,23,15,0,0,"1,309",14.5,2,0,/en/players/339ae404/Christian-Manfredini,339ae404,Christian-Manfredini
Guglielmo Stendardo,it ITA,DF,13,13,0,0,"1,086",12.1,2,1,/en/players/333a9ae7/Guglielmo-Stendardo,333a9ae7,Guglielmo-Stendardo
Ștefan Radu,ro ROU,DF,11,11,0,0,949,10.5,1,0,/en/players/53de807a/Stefan-Radu,53de807a,Stefan-Radu
Ousmane Dabo,fr FRA,MF,13,10,0,0,728,8.1,6,1,/en/players/9af295a5/Ousmane-Dabo,9af295a5,Ousmane-Dabo
Fernando Muslera,uy URU,GK,9,9,0,0,810,9.0,2,0,/en/players/a2abe631/Fernando-Muslera,2abe631,Fernando-Mu
Rolando Bianchi,it ITA,FW,15,9,0,4,805,8.9,3,1,/en/players/11fcbfe7/Rolando-Bianchi,11fcbfe7,Rolando-Bianchi
Lionel Scaloni,ar ARG,"DF,MF",12,7,0,0,794,8.8,0,0,/en/players/6cc4990c/Lionel-Scaloni,6cc4990c,Lionel-Scaloni
Mourad Meghni,dz ALG,MF,19,7,0,0,723,8.0,1,0,/en/players/84d68ba9/Mourad-Meghni,84d68ba9,Mourad-Meghni
David Rozehnal,cz CZE,DF,10,7,0,0,648,7.2,1,0,/en/players/f97753b7/David-Rozehnal,f97753b7,David-Rozeh
Stephen Makinwa,ng NGA,FW,14,6,0,0,599,6.7,0,0,/en/players/9bafb175/Stephen-Makinwa,9bafb175,Stephen-Makinw
Roberto Baronio,it ITA,MF,8,6,0,0,508,5.6,2,0,/en/players/6888b53a/Roberto-Baronio,6888b53a,Roberto-Baronio
Fabio Firmani,it ITA,MF,7,5,0,3,464,5.2,4,1,/en/players/98dfb43e/Fabio-Firmani,98dfb43e,Fabio-Firmani
Igli Tare,al ALB,FW,18,4,1,1,499,5.5,2,0,/en/players/c491b53d/Igli-Tare,c491b53d,Igli-T
Fabio Vignaroli,it ITA,"FW,MF",9,3,1,0,392,4.4,0,0,/en/players/b4f7bdf5/Fabio-Vignaroli,b4f7bdf5,Fabio-Vignaroli
Simone Del Nero,it ITA,"DF,FW",5,2,0,0,173,1.9,1,0,/en/players/ce1ace0d/Simone-Del-Nero,ce1ace0d,Simone-Del-Nero
Ivan Artipoli,it ITA,DF,1,1,0,0,70,0.8,0,0,/en/players/7377878d/Ivan-Artipoli,7377878d,Ivan-Artipoli
Modibo Diakité,fr FRA,DF,1,1,0,0,40,0.4,0,0,/en/players/e5eb4ab4/Modibo-Diakite,5eb4ab4,Modibo-Diakit
