2019-2020,Le-Havre
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Mathieu Gorgelin,fr FRA,GK,28,28,0,0,"2,520",28.0,1,0,/en/players/4d3e9033/Mathieu-Gorgelin,4d3e9033,Mathieu-Gorgeli
Pape Gueye,sn SEN,MF,25,24,2,0,"2,163",24.0,7,1,/en/players/7155e3e1/Pape-Gueye,7155e3e1,Pape-Gu
Tino Kadewere,zw ZIM,FW,24,24,4,20,"2,063",22.9,3,1,/en/players/7d08063d/Tino-Kadewere,7d08063d,Tino-Kadew
Barnabás Bese,hu HUN,"DF,MF",25,23,2,2,"2,011",22.3,1,0,/en/players/c9bd8fc5/Barnabas-Bese,c9bd8fc5,Barnabas-B
Jean-Pascal Fontaine,fr FRA,MF,23,22,6,2,"1,984",22.0,7,0,/en/players/3042bc31/Jean-Pascal-Fontaine,3042bc31,Jean-Pascal-Fontai
Umut Meraş,tr TUR,"DF,MF",22,22,1,0,"1,934",21.5,2,1,/en/players/c8112d1e/Umut-Meras,c8112d1e,Umut-M
Junior Dina Ebimbe,fr FRA,"MF,FW",25,21,1,3,"1,768",19.6,3,0,/en/players/95bb6ddc/Junior-Dina-Ebimbe,95bb6ddc,Junior-Dina-Ebimb
Jamal Thiaré,sn SEN,FW,26,20,1,8,"1,843",20.5,4,0,/en/players/ecca2f67/Jamal-Thiare,cca2f67,Jamal-Thi
Ertuğrul Ersoy,tr TUR,DF,20,20,1,0,"1,777",19.7,2,1,/en/players/dd97ba77/Ertugrul-Ersoy,dd97ba77,Ertugrul-Erso
Fernand Mayembo,cg CGO,DF,18,18,0,0,"1,574",17.5,1,1,/en/players/b20cc590/Fernand-Mayembo,b20cc590,Fernand-Mayembo
Alexandre Bonnet,fr FRA,"MF,FW",22,14,1,1,"1,278",14.2,4,0,/en/players/350188c1/Alexandre-Bonnet,350188c1,Alexandre-Bonnet
Samba Camara,ml MLI,DF,14,14,0,0,"1,251",13.9,1,0,/en/players/7c85e03f/Samba-Camara,7c85e03f,Samba-Cam
Romain Basque,fr FRA,"MF,FW",15,10,0,0,891,9.9,2,0,/en/players/59cb2888/Romain-Basque,59cb2888,Romain-Basqu
Victor Lekhal,dz ALG,"MF,DF",9,9,0,0,809,9.0,2,0,/en/players/366d0e90/Victor-Lekhal,366d0e90,Victor-Lekh
Ayman Ben Mohamed,tn TUN,"MF,DF",16,9,1,1,645,7.2,1,0,/en/players/c0494ed8/Ayman-Ben-Mohamed,c0494ed8,Ayman-Ben-Mohamed
Loïc Bade,fr FRA,DF,7,7,0,0,585,6.5,1,0,/en/players/114bbdee/Loic-Bade,114bbdee,Loic-Bad
Woyo Coulibaly,fr FRA,DF,11,6,0,0,611,6.8,1,0,/en/players/beb6e3a6/Woyo-Coulibaly,beb6e3a6,Woyo-Coulib
Amos Youga,cf CTA,"MF,DF",12,6,0,0,563,6.3,0,0,/en/players/8ca850b8/Amos-Youga,8ca850b8,Amos-Youg
Yacouba Coulibaly,bf BFA,DF,5,5,0,0,422,4.7,4,1,/en/players/62a7c3a7/Yacouba-Coulibaly,62a7c3a7,Yacouba-Coulib
Himad Abdelli,fr FRA,"MF,FW",13,3,1,0,423,4.7,2,0,/en/players/7978cbf0/Himad-Abdelli,7978cbf0,Himad-Abdelli
Ebenezer Assifuah,gh GHA,"MF,FW",6,2,0,0,206,2.3,0,0,/en/players/062c7629/Ebenezer-Assifuah,062c7629,Ebenezer-Assifuah
Alan Dzabana,fr FRA,FW,8,1,0,1,213,2.4,1,0,/en/players/7c4fe42f/Alan-Dzabana,7c4fe42f,Alan-Dzab
Hervé Bazile,ht HAI,"FW,MF",6,0,0,0,107,1.2,0,0,/en/players/7abfcbff/Herve-Bazile,7abfcbff,Herve-Bazi
Yahia Fofana,fr FRA,GK,0,0,,,,,,,/en/players/9d420dad/Yahia-Fofana,9d420dad,Yahia-Fof
Baba Traore,fr FRA,DF,0,0,,,,,,,/en/players/bf731c32/Baba-Traore,bf731c32,Baba-Trao
