2003-2004,Le-Mans
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Frédéric Thomas,fr FRA,MF,36,34,0,1,"3,098",34.4,1,1,/en/players/8b735a92/Frederic-Thomas,8b735a92,Frederic-Thom
Daniel Cousin,ga GAB,FW,33,31,4,11,"2,729",30.3,4,1,/en/players/c666c11f/Daniel-Cousin,c666c11f,Daniel-Cousi
Jean-François Bédénik,fr FRA,GK,28,28,0,0,"2,520",28.0,0,0,/en/players/b290fb9c/Jean-Francois-Bedenik,b290fb9c,Jean-Francois-Bedenik
Olivier Thomas,fr FRA,DF,33,27,0,0,"2,428",27.0,5,0,/en/players/37abdce9/Olivier-Thomas,37abdce9,Olivier-Thom
Yohan Hautcœur,fr FRA,MF,33,26,1,2,"2,357",26.2,3,0,/en/players/d7110aaf/Yohan-Hautcoeur,d7110aaf,Yohan-Hautcoeu
Laurent Bonnart,fr FRA,DF,26,25,1,1,"2,281",25.3,1,0,/en/players/fbb6569e/Laurent-Bonnart,fbb6569e,Laurent-Bonnart
Yannick Fischer,fr FRA,DF,28,24,0,1,"2,219",24.7,5,0,/en/players/336a8eaa/Yannick-Fischer,336a8eaa,Yannick-Fisch
Laurent Peyrelade,fr FRA,FW,34,23,3,5,"2,043",22.7,4,0,/en/players/d702eb91/Laurent-Peyrelade,d702eb91,Laurent-Peyrelad
Fabrice Pancrate,fr FRA,"FW,MF",36,22,6,5,"2,119",23.5,1,0,/en/players/70d29079/Fabrice-Pancrate,70d29079,Fabrice-Pancrat
Fernando D'Amico,ar ARG,MF,24,22,0,2,"1,902",21.1,11,0,/en/players/b09f32a1/Fernando-DAmico,b09f32a1,Fernando-DAmico
James Fanchone,fr FRA,"FW,MF",27,20,2,2,"1,775",19.7,2,0,/en/players/a1eeef54/James-Fanchone,1eeef54,James-Fancho
Thabang Molefe,za RSA,DF,21,20,0,1,"1,705",18.9,7,1,/en/players/978c1be0/Thabang-Molefe,978c1be0,Thabang-Molef
Philippe Celdran,fr FRA,MF,28,19,4,1,"1,716",19.1,1,0,/en/players/5f28360b/Philippe-Celdran,5f28360b,Philippe-Celd
Jacques-Désiré Périatambée,mu MRI,MF,31,18,0,0,"1,629",18.1,5,0,/en/players/ec96ccd7/Jacques-Desire-Periatambee,c96ccd7,Jacques-Desire-Periatamb
Dan Eggen,no NOR,DF,21,16,1,1,"1,437",16.0,2,0,/en/players/176fab3d/Dan-Eggen,176fab3d,Dan-Egg
Yoann Poulard,fr FRA,DF,14,14,0,0,"1,260",14.0,1,0,/en/players/11b8a92d/Yoann-Poulard,11b8a92d,Yoann-Poulard
Eddy Capron,fr FRA,DF,17,14,1,0,"1,217",13.5,3,0,/en/players/8cb3fb13/Eddy-Capron,8cb3fb13,Eddy-Capro
Yohann Pelé,fr FRA,GK,10,10,0,0,900,10.0,0,0,/en/players/76806215/Yohann-Pele,76806215,Yohann-P
Jean-Jacques Domoraud,ci CIV,DF,11,9,0,0,745,8.3,3,0,/en/players/148ccbc7/Jean-Jacques-Domoraud,148ccbc7,Jean-Jacques-Domoraud
Jérôme Drouin,fr FRA,MF,5,5,0,0,399,4.4,2,0,/en/players/3818fa34/Jerome-Drouin,3818fa34,Jerome-Droui
Cédric Liabeuf,fr FRA,MF,11,4,0,0,425,4.7,0,0,/en/players/6a2e153b/Cedric-Liabeuf,6a2e153b,Cedric-Liabeuf
Sergiu Radu,ro ROU,FW,13,3,0,0,281,3.1,0,0,/en/players/9d535200/Sergiu-Radu,9d535200,Sergiu-Radu
Ulick Lupede,,DF,3,2,0,0,184,2.0,0,0,/en/players/32dfdba2/Ulick-Lupede,32dfdba2,Ulick-Luped
Sekou Baradji,fr FRA,"DF,MF",2,2,0,0,180,2.0,0,0,/en/players/5693aa98/Sekou-Baradji,5693aa98,Sekou-Baradji
Yannick Yenga,cd COD,"FW,MF",1,0,0,0,25,0.3,0,0,/en/players/ba23fe2b/Yannick-Yenga,ba23fe2b,Yannick-Yeng
