2017-2018,Lecce
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Antonio Marino,it ITA,DF,3,3,0,0,270,3.0,0,0,/en/players/561951d5/Antonio-Marino,561951d5,Antonio-Marino
Filippo Perucchini,it ITA,GK,3,3,0,0,270,3.0,0,0,/en/players/0e5a86d4/Filippo-Perucchini,0e5a86d4,Filippo-Perucchini
Andrea Arrigoni,it ITA,MF,3,3,0,0,261,2.9,0,0,/en/players/4959988b/Andrea-Arrigoni,4959988b,Andrea-Arrigoni
Luca Di Matteo,it ITA,"DF,MF",3,3,0,0,253,2.8,0,0,/en/players/64d93b15/Luca-Di-Matteo,64d93b15,Luca-Di-Matteo
Marco Mancosu,it ITA,MF,3,3,0,0,247,2.7,0,0,/en/players/2c3a6c21/Marco-Mancosu,2c3a6c21,Marco-Mancosu
Franco Lepore,it ITA,MF,3,3,0,1,243,2.7,0,0,/en/players/1781c950/Franco-Lepore,1781c950,Franco-Lepo
Matteo Di Piazza,it ITA,FW,3,3,0,4,187,2.1,1,0,/en/players/631088b4/Matteo-Di-Piazza,631088b4,Matteo-Di-Piazz
Giuseppe Torromino,it ITA,FW,3,2,0,1,213,2.4,0,0,/en/players/f1b75e4e/Giuseppe-Torromino,f1b75e4e,Giuseppe-Torromino
Simone Ciancio,it ITA,DF,3,2,0,0,203,2.3,0,0,/en/players/1320c06a/Simone-Ciancio,1320c06a,Simone-Ciancio
Salvatore Caturano,it ITA,FW,3,2,0,1,201,2.2,1,0,/en/players/bf6156b5/Salvatore-Caturano,bf6156b5,Salvatore-Caturano
Francesco Cosenza,it ITA,DF,2,2,0,0,180,2.0,0,0,/en/players/98fdcb58/Francesco-Cosenza,98fdcb58,Francesco-Cosenz
Pedro Ferreira,pt POR,MF,2,2,0,0,180,2.0,0,0,/en/players/ad2d8b75/Pedro-Ferreira,d2d8b75,Pedro-Ferrei
Mirko Drudi,it ITA,DF,3,1,0,0,134,1.5,0,0,/en/players/b54379bf/Mirko-Drudi,b54379bf,Mirko-Drudi
Mario Pacilli,it ITA,"FW,MF",2,1,0,0,95,1.1,0,0,/en/players/c494a95f/Mario-Pacilli,c494a95f,Mario-Pacilli
Linas Mėgelaitis,lt LTU,MF,2,0,0,0,32,0.4,0,0,/en/players/fe2ff64c/Linas-Megelaitis,fe2ff64c,Linas-Megelaiti
Radoslav Tsonev,bg BUL,MF,1,0,0,0,1,0.0,0,0,/en/players/c7e19e06/Radoslav-Tsonev,c7e19e06,Radoslav-Tsonev
Gianmarco Chironi,it ITA,GK,0,0,,,,,,,/en/players/3f64e88b/Gianmarco-Chironi,3f64e88b,Gianmarco-Chironi
Giulio Gambardella,it ITA,DF,0,0,,,,,,,/en/players/5b6d0eee/Giulio-Gambardella,5b6d0eee,Giulio-Gambard
Gianmarco Monaco,it ITA,MF,0,0,,,,,,,/en/players/432a8d6e/Gianmarco-Monaco,432a8d6e,Gianmarco-Monaco
Matteia Persano,it ITA,FW,0,0,,,,,,,/en/players/8daab0b0/Matteia-Persano,8daab0b0,Matteia-Persano
Davide Riccardi,it ITA,DF,0,0,,,,,,,/en/players/7b4b9221/Davide-Riccardi,7b4b9221,Davide-Riccardi
Gianluca Turchetta,it ITA,MF,0,0,,,,,,,/en/players/27f7ea4c/Gianluca-Turchetta,27f7ea4c,Gianluca-Turchett
Emanuele Valeri,it ITA,DF,0,0,,,,,,,/en/players/ec52b661/Emanuele-Valeri,c52b661,Emanuele-Valeri
Paolo Vicino,it ITA,GK,0,0,,,,,,,/en/players/b7db8e8e/Paolo-Vicino,b7db8e8e,Paolo-Vicino
