2013-2014,Leeds-United
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Ross McCormack,sct SCO,"FW,MF",46,46,9,28,"4,125",45.8,1,0,/en/players/ab76b835/Ross-McCormack,b76b835,Ross-McCormack
Jason Pearce,eng ENG,DF,45,45,1,2,"4,050",45.0,6,0,/en/players/04132c14/Jason-Pearce,04132c14,Jason-Pearc
Tom Lees,eng ENG,DF,41,40,1,0,"3,578",39.8,2,0,/en/players/8c9aab00/Tom-Lees,8c9aab00,Tom-L
Rodolph Austin,jm JAM,"DF,MF",40,40,3,3,"3,553",39.5,9,0,/en/players/5330af9d/Rodolph-Austin,5330af9d,Rodolph-Austi
Luke Murphy,eng ENG,MF,37,37,2,3,"3,039",33.8,8,0,/en/players/fb73ffeb/Luke-Murphy,fb73ffeb,Luke-Murph
Paddy Kenny,ie IRL,GK,30,30,0,0,"2,700",30.0,1,0,/en/players/b03eb26c/Paddy-Kenny,b03eb26c,Paddy-K
Stephen Warnock,eng ENG,DF,27,27,1,1,"2,338",26.0,6,1,/en/players/07869028/Stephen-Warnock,07869028,Stephen-Warnock
Alex Mowatt,eng ENG,MF,29,24,4,1,"2,083",23.1,6,0,/en/players/361b8b6c/Alex-Mowatt,361b8b6c,Alex-Mowatt
Lee Peltier,eng ENG,"DF,MF",25,23,0,1,"1,899",21.1,1,0,/en/players/af341b88/Lee-Peltier,f341b88,Lee-Pelti
Matt Smith,eng ENG,FW,39,20,6,12,"2,068",23.0,0,1,/en/players/2d44ca9b/Matt-Smith,2d44ca9b,Matt-Smith
Danny Pugh,eng ENG,"DF,MF",20,19,1,2,"1,695",18.8,3,0,/en/players/7f60e79c/Danny-Pugh,7f60e79c,Danny-Pugh
Scott Wootton,eng ENG,DF,20,19,0,0,"1,645",18.3,4,0,/en/players/6f5afaeb/Scott-Wootton,6f5afaeb,Scott-Wootto
Sam Byram,eng ENG,"DF,MF",25,17,3,0,"1,692",18.8,3,0,/en/players/1bf811d4/Sam-Byram,1bf811d4,Sam-Byram
Michael Tonge,eng ENG,MF,23,16,1,0,"1,538",17.1,4,0,/en/players/046f30a8/Michael-Tonge,046f30a8,Michael-Tong
Jack Butland,eng ENG,GK,16,16,0,0,"1,440",16.0,0,0,/en/players/cc70a1d5/Jack-Butland,cc70a1d5,Jack-Butland
Marius Žaliūkas,lt LTU,"DF,MF",15,13,0,0,"1,193",13.3,2,0,/en/players/85e946b2/Marius-Zaliukas,85e946b2,Marius-Zaliuk
Noel Hunt,ie IRL,"FW,MF",19,13,0,0,"1,016",11.3,3,0,/en/players/6825c1f9/Noel-Hunt,6825c1f9,Noel-Hunt
Michael Brown,eng ENG,MF,18,12,0,0,"1,059",11.8,5,0,/en/players/85543572/Michael-Brown,85543572,Michael-Brow
Luke Varney,eng ENG,"FW,MF",11,11,2,2,819,9.1,2,0,/en/players/1757d8ed/Luke-Varney,1757d8ed,Luke-V
Cameron Stewart,eng ENG,MF,11,9,1,0,840,9.3,0,0,/en/players/c29409df/Cameron-Stewart,c29409df,Cameron-Stewart
Jimmy Kébé,ml MLI,MF,9,9,0,1,751,8.3,1,0,/en/players/ea7c7cdf/Jimmy-Kebe,7c7cdf,Jimmy-Keb
Paul Green,ie IRL,MF,9,7,0,0,589,6.5,1,0,/en/players/b010f869/Paul-Green,b010f869,Paul-G
Connor Wickham,eng ENG,"FW,MF",5,5,1,0,445,4.9,0,0,/en/players/41cc19c2/Connor-Wickham,41cc19c2,Connor-Wickham
Dominic Poleon,eng ENG,"FW,MF",19,2,0,1,525,5.8,2,0,/en/players/18c922bb/Dominic-Poleon,18c922bb,Dominic-Poleo
Aidy White,eng ENG,"DF,MF",9,2,0,0,334,3.7,0,0,/en/players/a850b35d/Aidy-White,850b35d,Aidy-Whit
Dexter Blackstock,ag ATG,FW,4,2,2,1,207,2.3,1,0,/en/players/803907c3/Dexter-Blackstock,803907c3,Dexter-Blackstock
El Hadji Diouf,sn SEN,"FW,MF",6,2,1,0,189,2.1,0,0,/en/players/1a4542c8/El-Hadji-Diouf,1a4542c8,El-Hadji-Diouf
Gboly Ariyibi,us USA,"FW,MF",2,0,0,0,75,0.8,0,0,/en/players/37849392/Gboly-Ariyibi,37849392,Gboly-Ariyibi
Adam Drury,eng ENG,DF,1,0,0,0,11,0.1,0,0,/en/players/cc8f5f70/Adam-Drury,cc8f5f70,Adam-Dru
