,Player,Link,Player_name(param),Player_id(param)
0,﻿Paul Robinson,/en/players/3515ba56/Paul-Robinson,Paul-Robinson,3515ba56
1,Alan Smith,/en/players/fdac06ea/Alan-Smith,Alan-Smith,fdac06ea
2,Danny Mills,/en/players/240e4301/Danny-Mills,Danny-Mills,240e4301
3,Harry Kewell,/en/players/51ef13b9/Harry-Kewell,Harry-Kewell,51ef13b9
4,Eirik Bakke,/en/players/5a10a72e/Eirik-Bakke,Eirik-Bakke,5a10a72e
5,Mark Viduka,/en/players/c4c545c7/Mark-Viduka,Mark-Viduka,c4c545c7
6,Ian Harte,/en/players/fd4fa092/Ian-Harte,Ian-Harte,fd4fa092
7,Gary Kelly,/en/players/1832e33c/Gary-Kelly,Gary-Kelly,1832e33c
8,Jason Wilcox,/en/players/6b9fa9ad/Jason-Wilcox,Jason-Wilcox,6b9fa9ad
9,Dominic Matteo,/en/players/f6ea8457/Dominic-Matteo,Dominic-Matteo,f6ea8457
10,Jonathan Woodgate,/en/players/9482a3bd/Jonathan-Woodgate,Jonathan-Woodgate,9482a3bd
11,Lucas Radebe,/en/players/84d2a0f0/Lucas-Radebe,Lucas-Radebe,84d2a0f0
12,Teddy Lučić,/en/players/25a2a558/Teddy-Lucic,Teddy-Lucic,25a2a558
13,Nick Barmby,/en/players/4af0a400/Nick-Barmby,Nick-Barmby,4af0a400
14,Lee Bowyer,/en/players/f4fd57ba/Lee-Bowyer,Lee-Bowyer,f4fd57ba
15,Paul Okon,/en/players/61d7a6b1/Paul-Okon,Paul-Okon,61d7a6b1
16,Michael Duberry,/en/players/db61b520/Michael-Duberry,Michael-Duberry,db61b520
17,Stephen McPhail,/en/players/60c96516/Stephen-McPhail,Stephen-McPhail,60c96516
18,Seth Johnson,/en/players/5915b54c/Seth-Johnson,Seth-Johnson,5915b54c
19,Raúl Bravo,/en/players/65b9e56b/Raul-Bravo,Raul-Bravo,65b9e56b
20,Olivier Dacourt,/en/players/3a114b3c/Olivier-Dacourt,Olivier-Dacourt,3a114b3c
21,Robbie Fowler,/en/players/7cd34266/Robbie-Fowler,Robbie-Fowler,7cd34266
22,Jacob Burns,/en/players/400a4f05/Jacob-Burns,Jacob-Burns,400a4f05
23,James Milner,/en/players/2f90f6b8/James-Milner,James-Milner,2f90f6b8
24,Michael Bridges,/en/players/a57b3014/Michael-Bridges,Michael-Bridges,a57b3014
25,Simon Johnson,/en/players/dca18241/Simon-Johnson,Simon-Johnson,dca18241
26,Jamie McMaster,/en/players/dbae44b4/Jamie-McMaster,Jamie-McMaster,dbae44b4
27,Matthew Kilgallon,/en/players/7c6a3c44/Matthew-Kilgallon,Matthew-Kilgallon,7c6a3c44
28,﻿Gary Kelly,/en/players/1832e33c/Gary-Kelly,Gary-Kelly,1832e33c
29,Jermaine Pennant,/en/players/c6043950/Jermaine-Pennant,Jermaine-Pennant,c6043950
30,Zoumana Camara,/en/players/dd8ab3d6/Zoumana-Camara,Zoumana-Camara,dd8ab3d6
31,Jody Morris,/en/players/c5002fd1/Jody-Morris,Jody-Morris,c5002fd1
32,David Batty,/en/players/21b2e37b/David-Batty,David-Batty,21b2e37b
33,Didier Domi,/en/players/91736476/Didier-Domi,Didier-Domi,91736476
34,Lamine Sakho,/en/players/5d65dcf4/Lamine-Sakho,Lamine-Sakho,5d65dcf4
35,Salomon Olembé,/en/players/d7ac4a47/Salomon-Olembe,Salomon-Olembe,d7ac4a47
36,Roque Júnior,/en/players/ef2d5206/Roque-Junior,Roque-Junior,ef2d5206
37,Frazer Richardson,/en/players/4b3d3a68/Frazer-Richardson,Frazer-Richardson,4b3d3a68
38,Scott Carson,/en/players/3e1550ee/Scott-Carson,Scott-Carson,3e1550ee
39,Aaron Lennon,/en/players/2ff964a0/Aaron-Lennon,Aaron-Lennon,2ff964a0
40,Cyril Chapuis,/en/players/a6921a34/Cyril-Chapuis,Cyril-Chapuis,a6921a34
41,﻿Neil Sullivan,/en/players/2ea16583/Neil-Sullivan,Neil-Sullivan,2ea16583
42,Paul Butler,/en/players/8623b652/Paul-Butler,Paul-Butler,8623b652
43,Ian Thomas-Moore,/en/players/9c89ccea/Ian-Thomas-Moore,Ian-Thomas-Moore,9c89ccea
44,Sean Gregan,/en/players/ea44eeb9/Sean-Gregan,Sean-Gregan,ea44eeb9
45,Danny Pugh,/en/players/7f60e79c/Danny-Pugh,Danny-Pugh,7f60e79c
46,Jermaine Wright,/en/players/ed9cb8eb/Jermaine-Wright,Jermaine-Wright,ed9cb8eb
47,Clarke Carlisle,/en/players/4128d875/Clarke-Carlisle,Clarke-Carlisle,4128d875
48,Brian Deane,/en/players/909a4bb4/Brian-Deane,Brian-Deane,909a4bb4
49,Simon Walton,/en/players/64f21a56/Simon-Walton,Simon-Walton,64f21a56
50,Marlon King,/en/players/0fc9488a/Marlon-King,Marlon-King,0fc9488a
51,Shaun Derry,/en/players/e3606bf2/Shaun-Derry,Shaun-Derry,e3606bf2
52,Rob Hulse,/en/players/edaf9ca0/Rob-Hulse,Rob-Hulse,edaf9ca0
53,Julian Joachim,/en/players/2a0f531a/Julian-Joachim,Julian-Joachim,2a0f531a
54,Michael Gray,/en/players/fefae709/Michael-Gray,Michael-Gray,fefae709
55,Stephen Crainey,/en/players/2f6dd6a3/Stephen-Crainey,Stephen-Crainey,2f6dd6a3
56,Gylfi Einarsson,/en/players/6648420a/Gylfi-Einarsson,Gylfi-Einarsson,6648420a
57,Matthew Spring,/en/players/33e1c345/Matthew-Spring,Matthew-Spring,33e1c345
58,﻿Paul Butler,/en/players/8623b652/Paul-Butler,Paul-Butler,8623b652
59,Neil Sullivan,/en/players/2ea16583/Neil-Sullivan,Neil-Sullivan,2ea16583
60,Eddie Lewis,/en/players/356b4546/Eddie-Lewis,Eddie-Lewis,356b4546
61,Jonathan Douglas,/en/players/7670e1c6/Jonathan-Douglas,Jonathan-Douglas,7670e1c6
62,Liam Miller,/en/players/64b24142/Liam-Miller,Liam-Miller,64b24142
63,David Healy,/en/players/c757265f/David-Healy,David-Healy,c757265f
64,Dan Harding,/en/players/f0ccb090/Dan-Harding,Dan-Harding,f0ccb090
65,Richard Cresswell,/en/players/2feffa68/Richard-Cresswell,Richard-Cresswell,2feffa68
66,Ian Bennett,/en/players/28d29138/Ian-Bennett,Ian-Bennett,28d29138
67,Jermaine Beckford,/en/players/393303c7/Jermaine-Beckford,Jermaine-Beckford,393303c7
68,﻿Eddie Lewis,/en/players/356b4546/Eddie-Lewis,Eddie-Lewis,356b4546
69,Matt Heath,/en/players/6b4899eb/Matt-Heath,Matt-Heath,6b4899eb
70,Robbie Blake,/en/players/ddc0a1fd/Robbie-Blake,Robbie-Blake,ddc0a1fd
71,Ian Westlake,/en/players/ce534927/Ian-Westlake,Ian-Westlake,ce534927
72,Casper Ankergren,/en/players/328953a1/Casper-Ankergren,Casper-Ankergren,328953a1
73,Hayden Foxe,/en/players/fa38e5ea/Hayden-Foxe,Hayden-Foxe,fa38e5ea
74,Graham Stack,/en/players/981bc560/Graham-Stack,Graham-Stack,981bc560
75,Kevin Nicholls,/en/players/82248e5d/Kevin-Nicholls,Kevin-Nicholls,82248e5d
76,Robbie Elliott,/en/players/9ade4dc1/Robbie-Elliott,Robbie-Elliott,9ade4dc1
77,Trésor Kandol,/en/players/bcce1259/Tresor-Kandol,Tresor-Kandol,bcce1259
78,Radostin Kishishev,/en/players/d06e83b4/Radostin-Kishishev,Radostin-Kishishev,d06e83b4
79,Alan Thompson,/en/players/2eaac012/Alan-Thompson,Alan-Thompson,2eaac012
80,Sébastien Carole,/en/players/abea3689/Sebastien-Carole,Sebastien-Carole,abea3689
81,Ľubomír Michalík,/en/players/3ae06b45/Lubomir-Michalik,Lubomir-Michalik,3ae06b45
82,Armando Sá,/en/players/3f76ff2b/Armando-Sa,Armando-Sa,3f76ff2b
83,Jonny Howson,/en/players/08b10f50/Jonny-Howson,Jonny-Howson,08b10f50
84,Ugo Ehiogu,/en/players/bd8d3cd5/Ugo-Ehiogu,Ugo-Ehiogu,bd8d3cd5
85,Steve Stone,/en/players/4592c48e/Steve-Stone,Steve-Stone,4592c48e
86,Adam Johnson,/en/players/1ba61951/Adam-Johnson,Adam-Johnson,1ba61951
87,Tore André Flo,/en/players/83e490ef/Tore-Andre-Flo,Tore-Andre-Flo,83e490ef
88,Robert Bayly,/en/players/a5de26b8/Robert-Bayly,Robert-Bayly,a5de26b8
89,Tom Elliott,/en/players/d73aa456/Tom-Elliott,Tom-Elliott,d73aa456
90,﻿Casper Ankergren,/en/players/328953a1/Casper-Ankergren,Casper-Ankergren,328953a1
91,David Prutton,/en/players/7123fdc0/David-Prutton,David-Prutton,7123fdc0
92,Rui Marques,/en/players/51947459/Rui-Marques,Rui-Marques,51947459
93,Andrew Hughes,/en/players/f63b342e/Andrew-Hughes,Andrew-Hughes,f63b342e
94,Bradley Johnson,/en/players/e0d9bbbe/Bradley-Johnson,Bradley-Johnson,e0d9bbbe
95,Darren Kenton,/en/players/93040d46/Darren-Kenton,Darren-Kenton,93040d46
96,Neil Kilkenny,/en/players/eb34721b/Neil-Kilkenny,Neil-Kilkenny,eb34721b
97,Paul Huntington,/en/players/930585c0/Paul-Huntington,Paul-Huntington,930585c0
98,Jamie Clapham,/en/players/1df59e7b/Jamie-Clapham,Jamie-Clapham,1df59e7b
99,Alan Sheehan,/en/players/0e39bdaa/Alan-Sheehan,Alan-Sheehan,0e39bdaa
100,Dougie Freedman,/en/players/40d2372e/Dougie-Freedman,Dougie-Freedman,40d2372e
101,Ben Parker,/en/players/78a5dadd/Ben-Parker,Ben-Parker,78a5dadd
102,Peter Sweeney,/en/players/f6453143/Peter-Sweeney,Peter-Sweeney,f6453143
103,Anthony Elding,/en/players/02e4505f/Anthony-Elding,Anthony-Elding,02e4505f
104,David Lucas,/en/players/6c076ace/David-Lucas,David-Lucas,6c076ace
105,Mark de Vries,/en/players/6951a41c/Mark-de-Vries,Mark-de-Vries,6951a41c
106,Curtis Weston,/en/players/2a529396/Curtis-Weston,Curtis-Weston,2a529396
107,Leon Constantine,/en/players/107bc8b1/Leon-Constantine,Leon-Constantine,107bc8b1
108,Wayne Andrews,/en/players/ac95c49a/Wayne-Andrews,Wayne-Andrews,ac95c49a
109,Scott Gardner,/en/players/21e44e00/Scott-Gardner,Scott-Gardner,21e44e00
110,Filipe da Costa,/en/players/64f0504d/Filipe-da-Costa,Filipe-da-Costa,64f0504d
111,Fabian Delph,/en/players/111c3236/Fabian-Delph,Fabian-Delph,111c3236
112,﻿Jonathan Douglas,/en/players/7670e1c6/Jonathan-Douglas,Jonathan-Douglas,7670e1c6
113,Luciano Becchio,/en/players/3b3d4028/Luciano-Becchio,Luciano-Becchio,3b3d4028
114,Robert Snodgrass,/en/players/9f4647e9/Robert-Snodgrass,Robert-Snodgrass,9f4647e9
115,Andy Robinson,/en/players/a46bae56/Andy-Robinson,Andy-Robinson,a46bae56
116,Richard Naylor,/en/players/2a5b7959/Richard-Naylor,Richard-Naylor,2a5b7959
117,Paul Telfer,/en/players/7b3990c5/Paul-Telfer,Paul-Telfer,7b3990c5
118,Mike Grella,/en/players/996c5a04/Mike-Grella,Mike-Grella,996c5a04
119,Carl Dickinson,/en/players/ddce8cfa/Carl-Dickinson,Carl-Dickinson,ddce8cfa
120,Lee Trundle,/en/players/91923b84/Lee-Trundle,Lee-Trundle,91923b84
121,Sam Sodje,/en/players/36f2b3ef/Sam-Sodje,Sam-Sodje,36f2b3ef
122,Aidy White,/en/players/a850b35d/Aidy-White,Aidy-White,a850b35d
123,Liam Dickinson,/en/players/496a1d0f/Liam-Dickinson,Liam-Dickinson,496a1d0f
124,Enoch Showunmi,/en/players/8fb89c41/Enoch-Showunmi,Enoch-Showunmi,8fb89c41
125,Malcolm Christie,/en/players/6f5273d9/Malcolm-Christie,Malcolm-Christie,6f5273d9
126,Mansour Assoumani,/en/players/ba962670/Mansour-Assoumani,Mansour-Assoumani,ba962670
127,﻿Michael Doyle,/en/players/445f0d6f/Michael-Doyle,Michael-Doyle,445f0d6f
128,Leigh Bromby,/en/players/7e29cbe2/Leigh-Bromby,Leigh-Bromby,7e29cbe2
129,Patrick Kisnorbo,/en/players/774dc45e/Patrick-Kisnorbo,Patrick-Kisnorbo,774dc45e
130,Shane Higgs,/en/players/0b889d48/Shane-Higgs,Shane-Higgs,0b889d48
131,Jason Crowe,/en/players/f965d32c/Jason-Crowe,Jason-Crowe,f965d32c
132,Max Gradel,/en/players/c5a500ca/Max-Gradel,Max-Gradel,c5a500ca
133,Shane Lowry,/en/players/7f5738cb/Shane-Lowry,Shane-Lowry,7f5738cb
134,Neill Collins,/en/players/91ff7e1e/Neill-Collins,Neill-Collins,91ff7e1e
135,Gary McSheffrey,/en/players/e4852a2c/Gary-McSheffrey,Gary-McSheffrey,e4852a2c
136,Sam Vokes,/en/players/1d6ac165/Sam-Vokes,Sam-Vokes,1d6ac165
137,Tony Capaldi,/en/players/fca32f3b/Tony-Capaldi,Tony-Capaldi,fca32f3b
138,Paul Dickov,/en/players/1ea43e27/Paul-Dickov,Paul-Dickov,1ea43e27
139,Sanchez Watt,/en/players/836c6717/Sanchez-Watt,Sanchez-Watt,836c6717
140,Hogan Ephraim,/en/players/668b380c/Hogan-Ephraim,Hogan-Ephraim,668b380c
141,﻿Jonny Howson,/en/players/08b10f50/Jonny-Howson,Jonny-Howson,08b10f50
142,George McCartney,/en/players/f6c4946d/George-McCartney,George-McCartney,f6c4946d
143,Andy O'Brien,/en/players/1719f6b2/Andy-OBrien,Andy-OBrien,1719f6b2
144,Paul Connolly,/en/players/b6d19744/Paul-Connolly,Paul-Connolly,b6d19744
145,Alex Bruce,/en/players/102ed2b2/Alex-Bruce,Alex-Bruce,102ed2b2
146,Eric Lichaj,/en/players/7636a420/Eric-Lichaj,Eric-Lichaj,7636a420
147,Davide Somma,/en/players/37575ba0/Davide-Somma,Davide-Somma,37575ba0
148,Billy Paynter,/en/players/1b02a234/Billy-Paynter,Billy-Paynter,1b02a234
149,Lloyd Sam,/en/players/5d398e26/Lloyd-Sam,Lloyd-Sam,5d398e26
150,Ross McCormack,/en/players/ab76b835/Ross-McCormack,Ross-McCormack,ab76b835
151,Amdy Faye,/en/players/c0e82ee2/Amdy-Faye,Amdy-Faye,c0e82ee2
152,Federico Bessone,/en/players/7570ed49/Federico-Bessone,Federico-Bessone,7570ed49
153,Jake Livermore,/en/players/b98570d1/Jake-Livermore,Jake-Livermore,b98570d1
154,Jason Brown,/en/players/02bc5b92/Jason-Brown,Jason-Brown,02bc5b92
155,Barry Bannan,/en/players/9469fb13/Barry-Bannan,Barry-Bannan,9469fb13
156,Ramón Núñez,/en/players/29b88d14/Ramon-Nunez,Ramon-Nunez,29b88d14
157,Adam Clayton,/en/players/45b59689/Adam-Clayton,Adam-Clayton,45b59689
158,﻿Robert Snodgrass,/en/players/9f4647e9/Robert-Snodgrass,Robert-Snodgrass,9f4647e9
159,Tom Lees,/en/players/8c9aab00/Tom-Lees,Tom-Lees,8c9aab00
160,Andy Lonergan,/en/players/165cf989/Andy-Lonergan,Andy-Lonergan,165cf989
161,Darren O'Dea,/en/players/c6cb0a85/Darren-ODea,Darren-ODea,c6cb0a85
162,Michael Brown,/en/players/85543572/Michael-Brown,Michael-Brown,85543572
163,Andy Keogh,/en/players/c7e84594/Andy-Keogh,Andy-Keogh,c7e84594
164,Paul Robinson,/en/players/80cdbbe1/Paul-Robinson,Paul-Robinson,80cdbbe1
165,Zac Thompson,/en/players/b8bf3082/Zac-Thompson,Zac-Thompson,b8bf3082
166,Alex McCarthy,/en/players/36c2ca73/Alex-McCarthy,Alex-McCarthy,36c2ca73
167,Paul Rachubka,/en/players/f3229025/Paul-Rachubka,Paul-Rachubka,f3229025
168,Andros Townsend,/en/players/b28bbd58/Andros-Townsend,Andros-Townsend,b28bbd58
169,Adam Smith,/en/players/20b104bc/Adam-Smith,Adam-Smith,20b104bc
170,Danny Webber,/en/players/046789e9/Danny-Webber,Danny-Webber,046789e9
171,Mika Väyrynen,/en/players/c5ce3c8b/Mika-Vayrynen,Mika-Vayrynen,c5ce3c8b
172,Charlie Taylor,/en/players/cc2d7ad5/Charlie-Taylor,Charlie-Taylor,cc2d7ad5
173,Mikael Forssell,/en/players/1454df8d/Mikael-Forssell,Mikael-Forssell,1454df8d
174,Robbie Rogers,/en/players/3cd468bf/Robbie-Rogers,Robbie-Rogers,3cd468bf
175,Alex Cairns,/en/players/1a5e36e7/Alex-Cairns,Alex-Cairns,1a5e36e7
176,﻿Paddy Kenny,/en/players/b03eb26c/Paddy-Kenny,Paddy-Kenny,b03eb26c
177,Sam Byram,/en/players/1bf811d4/Sam-Byram,Sam-Byram,1bf811d4
178,Lee Peltier,/en/players/af341b88/Lee-Peltier,Lee-Peltier,af341b88
179,Michael Tonge,/en/players/046f30a8/Michael-Tonge,Michael-Tonge,046f30a8
180,Paul Green,/en/players/b010f869/Paul-Green,Paul-Green,b010f869
181,El Hadji Diouf,/en/players/1a4542c8/El-Hadji-Diouf,El-Hadji-Diouf,1a4542c8
182,David Norris,/en/players/3436e03d/David-Norris,David-Norris,3436e03d
183,Jason Pearce,/en/players/04132c14/Jason-Pearce,Jason-Pearce,04132c14
184,Luke Varney,/en/players/1757d8ed/Luke-Varney,Luke-Varney,1757d8ed
185,Rodolph Austin,/en/players/5330af9d/Rodolph-Austin,Rodolph-Austin,5330af9d
186,Stephen Warnock,/en/players/07869028/Stephen-Warnock,Stephen-Warnock,07869028
187,Steve Morison,/en/players/292064fa/Steve-Morison,Steve-Morison,292064fa
