2010-2011,Levante
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Sergio Ballesteros,es ESP,DF,35,35,0,1,"3,132",34.8,11,0,/en/players/29863c56/Sergio-Ballesteros,29863c56,Sergio-Ballestero
Xavi Torres,es ESP,MF,35,34,2,0,"3,070",34.1,6,0,/en/players/1b51ad2f/Xavi-Torres,1b51ad2f,Xavi-To
Javi Venta,es ESP,DF,33,33,0,0,"2,970",33.0,8,0,/en/players/fc3efd36/Javi-Venta,fc3efd36,Javi-Vent
Nano,es ESP,DF,32,28,1,2,"2,570",28.6,9,0,/en/players/3d6dd9f9/Nano,3d6dd9f9,Nano
Juanlu,es ESP,MF,30,28,6,3,"2,292",25.5,8,0,/en/players/94b88487/Juanlu,94b88487,Juanlu
Valdo,cv CPV,"FW,MF",29,25,8,2,"2,098",23.3,4,0,/en/players/5d34e206/Valdo,5d34e206,Valdo
Juanfran,es ESP,DF,23,22,0,0,"1,912",21.2,10,0,/en/players/d8a22e59/Juanfran,d8a22e59,Juanf
Felipe Caicedo,ec ECU,"FW,MF",27,22,1,13,"1,693",18.8,8,0,/en/players/93b891d1/Felipe-Caicedo,93b891d1,Felipe-Caicedo
Asier del Horno,es ESP,DF,22,21,2,2,"1,894",21.0,8,0,/en/players/eb525f4a/Asier-del-Horno,b525f4a,Asier-del-Horno
Miguel Pallardó,es ESP,MF,27,21,0,0,"1,814",20.2,6,0,/en/players/6c3dfe68/Miguel-Pallardo,6c3dfe68,Miguel-Pallardo
Gustavo Munúa,uy URU,GK,20,20,0,0,"1,800",20.0,6,0,/en/players/7e384992/Gustavo-Munua,7e384992,Gustavo-Munu
Manolo Reina,es ESP,GK,18,18,0,0,"1,620",18.0,3,0,/en/players/605eb473/Manolo-Reina,605eb473,Manolo-Rei
Rubén Suárez,es ESP,MF,27,18,1,5,"1,508",16.8,5,0,/en/players/addc6eca/Ruben-Suarez,ddc6eca,Ruben-Suarez
Xisco,es ESP,"FW,MF",26,16,3,1,"1,324",14.7,4,0,/en/players/efaaae13/Xisco,faaae13,Xisco
Vicente Iborra,es ESP,MF,16,14,0,0,"1,261",14.0,9,0,/en/players/ad1ffcfd/Vicente-Iborra,d1ffcfd,Vicente-Ibo
Xisco Nadal,es ESP,"FW,MF",25,12,2,0,"1,180",13.1,1,2,/en/players/5dc11264/Xisco-Nadal,5dc11264,Xisco-Nad
Cristhian Stuani,uy URU,"FW,MF",30,11,2,8,"1,289",14.3,5,0,/en/players/220c11f1/Cristhian-Stuani,220c11f1,Cristhian-Stuani
Sergio,es ESP,MF,14,9,1,2,905,10.1,1,0,/en/players/c6ed9815/Sergio,c6ed9815,Sergio
Rafa Jordà,es ESP,FW,17,7,0,2,748,8.3,4,0,/en/players/05e805eb/Rafa-Jorda,05e805eb,Rafa-Jord
David Cerrajería,es ESP,DF,9,7,0,0,657,7.3,3,0,/en/players/2ebb9df6/David-Cerrajeria,2ebb9df6,David-Cerrajeri
Héctor Rodas,es ESP,DF,5,5,0,0,408,4.5,2,0,/en/players/dcdd3a95/Hector-Rodas,dcdd3a95,Hector-Rod
Jefferson Montero,ec ECU,"FW,MF",11,4,0,0,534,5.9,1,0,/en/players/fa6561bf/Jefferson-Montero,fa6561bf,Jefferson-Montero
Miquel Robusté,es ESP,DF,7,4,0,0,424,4.7,3,0,/en/players/4be9a341/Miquel-Robuste,4be9a341,Miquel-Robust
Gorka Larrea,es ESP,MF,6,2,0,0,239,2.7,1,0,/en/players/242e09b6/Gorka-Larrea,242e09b6,Gorka-L
Nacho González,uy URU,MF,3,2,0,0,117,1.3,0,0,/en/players/53031e02/Nacho-Gonzalez,53031e02,Nacho-Gonzalez
Adrián Lois,es ESP,MF,1,0,0,0,13,0.1,0,0,/en/players/4337da46/Adrian-Lois,4337da46,Adrian-Loi
Sergio Abad Beyxer,es ESP,MF,1,0,0,0,5,0.1,0,0,/en/players/30f729b3/Sergio-Abad-Beyxer,30f729b3,Sergio-Abad-Beyx
Wellington Silva,br BRA,"FW,MF",1,0,0,0,3,0.0,0,0,/en/players/5c60f49c/Wellington-Silva,5c60f49c,Wellington-Silv
