2006-2007,Lille
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Grégory Tafforeau,fr FRA,DF,34,34,0,0,"2,992",33.2,1,0,/en/players/d749a013/Gregory-Tafforeau,d749a013,Gregory-Tafforeau
Jean Makoun,cm CMR,MF,33,33,4,1,"2,970",33.0,8,0,/en/players/728c9139/Jean-Makoun,728c9139,Jean-Makou
Tony Sylva,sn SEN,GK,33,33,0,0,"2,953",32.8,1,0,/en/players/ef3c3977/Tony-Sylva,f3c3977,Tony-Sylv
Abdul Kader Keïta,ci CIV,"FW,MF",36,28,6,9,"2,657",29.5,5,0,/en/players/5cd6a4ed/Abdul-Kader-Keita,5cd6a4ed,Abdul-Kader-Keit
Mathieu Bodmer,fr FRA,"DF,MF",32,27,2,8,"2,358",26.2,4,0,/en/players/f3642ba8/Mathieu-Bodmer,f3642ba8,Mathieu-Bodm
Matthieu Chalmé,fr FRA,DF,30,25,1,0,"2,281",25.3,3,0,/en/players/d6b7a972/Matthieu-Chalme,d6b7a972,Matthieu-Chalm
Rafael Schmitz,br BRA,DF,24,23,0,0,"2,039",22.7,5,1,/en/players/148e746e/Rafael-Schmitz,148e746e,Rafael-Schmitz
Nicolas Plestan,fr FRA,DF,23,23,1,0,"2,016",22.4,4,1,/en/players/a370441f/Nicolas-Plestan,370441f,Nicolas-Plest
Michel Bastos,br BRA,"DF,MF",25,23,1,3,"1,693",18.8,4,0,/en/players/014a3e8c/Michel-Bastos,014a3e8c,Michel-Basto
Stathis Tavlaridis,gr GRE,DF,21,21,0,1,"1,866",20.7,8,0,/en/players/8be432df/Stathis-Tavlaridis,8be432df,Stathis-Tavlaridi
Peter Odemwingie,ng NGA,FW,29,20,4,5,"1,798",20.0,5,0,/en/players/b16150ac/Peter-Odemwingie,b16150ac,Peter-Odemwingi
Stephan Lichtsteiner,ch SUI,"DF,MF",24,18,1,0,"1,660",18.4,4,0,/en/players/99b1d0e6/Stephan-Lichtsteiner,99b1d0e6,Stephan-Lichtstei
Yohan Cabaye,fr FRA,MF,22,17,0,3,"1,649",18.3,8,0,/en/players/ad7b19ef/Yohan-Cabaye,d7b19ef,Yohan-Cab
Mathieu Debuchy,fr FRA,DF,22,15,0,1,"1,447",16.1,1,0,/en/players/92232aad/Mathieu-Debuchy,92232aad,Mathieu-Debuch
Stéphane Dumont,fr FRA,MF,19,14,0,2,"1,226",13.6,0,1,/en/players/50994746/Stephane-Dumont,50994746,Stephane-Dumont
Kevin Mirallas,be BEL,"FW,MF",23,11,1,2,"1,043",11.6,3,0,/en/players/aa51343f/Kevin-Mirallas,51343f,Kevin-Mi
Nicolas Fauvergue,fr FRA,FW,28,11,0,4,867,9.6,6,0,/en/players/c2798627/Nicolas-Fauvergue,c2798627,Nicolas-Fauvergu
Ludovic Obraniak,pl POL,MF,17,8,1,0,879,9.8,2,0,/en/players/3c6dd260/Ludovic-Obraniak,3c6dd260,Ludovic-Obraniak
Peter Franquart,fr FRA,DF,7,7,0,0,630,7.0,0,0,/en/players/cbc75a76/Peter-Franquart,cbc75a76,Peter-Franquart
Mathieu Robail,fr FRA,"FW,MF",10,7,0,0,524,5.8,0,0,/en/players/ca2aa0ac/Mathieu-Robail,ca2aa0ac,Mathieu-Robai
Souleymane Youla,gn GUI,FW,16,5,1,2,654,7.3,4,0,/en/players/c6b1ad3f/Souleymane-Youla,c6b1ad3f,Souleymane-You
Grégory Malicki,fr FRA,GK,6,5,0,0,467,5.2,0,0,/en/players/506a9c32/Gregory-Malicki,506a9c32,Gregory-Malicki
Johan Audel,mq MTQ,"FW,MF",4,2,0,1,199,2.2,0,0,/en/players/216f70c6/Johan-Audel,216f70c6,Johan-Aud
Adil Rami,fr FRA,DF,2,2,0,0,180,2.0,0,0,/en/players/8dbff17c/Adil-Rami,8dbff17c,Adil-Rami
Milivoje Vitakić,rs SRB,"DF,MF",3,2,0,0,148,1.6,1,0,/en/players/d04392c7/Milivoje-Vitakic,d04392c7,Milivoje-Vitakic
Emerson,br BRA,DF,2,2,0,0,87,1.0,0,1,/en/players/cb52817d/Emerson,cb52817d,Emerso
Henri Ewane-Elong,cm CMR,MF,1,1,0,0,90,1.0,0,0,/en/players/53eebc84/Henri-Ewane-Elong,53eebc84,Henri-Ewane-Elong
Daniel Gygax,ch SUI,"FW,MF",2,1,0,0,57,0.6,1,0,/en/players/7c0c8464/Daniel-Gygax,7c0c8464,Daniel-Gygax
Chris Makiese,fr FRA,FW,3,0,0,0,27,0.3,0,0,/en/players/eb59cc9e/Chris-Makiese,b59cc9e,Chris-Maki
