Id,Player,Link,Player_name,Player_id,Nationality,Position,club
13081.0,Grégory Wimbée,/en/players/c6e3ff84/Gregory-Wimbee,Gregory-Wimb,c6e3ff84,fr FRA,GK,Lille
13082.0,Grégory Tafforeau,/en/players/d749a013/Gregory-Tafforeau,Gregory-Tafforeau,d749a013,fr FRA,DF,Lille
13083.0,Matthieu Delpierre,/en/players/40019289/Matthieu-Delpierre,Matthieu-Delpi,40019289,fr FRA,DF,Lille
13084.0,Fernando D'Amico,/en/players/b09f32a1/Fernando-DAmico,Fernando-DAmico,b09f32a1,ar ARG,MF,Lille
13085.0,Marius Baciu,/en/players/a4e0a5d1/Marius-Baciu,Marius-Baciu,4e0a5d1,ro ROU,DF,Lille
13086.0,Héctor Tapia,/en/players/e73b9d06/Hector-Tapia,Hector-Tapi,73b9d06,cl CHI,FW,Lille
13087.0,Djézon Boutoille,/en/players/29ab567a/Djezon-Boutoille,Djezon-Boutoi,29ab567a,fr FRA,FW,Lille
13088.0,Nicolas Bonnal,/en/players/a3eec824/Nicolas-Bonnal,Nicolas-Bo,3eec824,fr FRA,MF,Lille
13089.0,Grégory Malicki,/en/players/506a9c32/Gregory-Malicki,Gregory-Malicki,506a9c32,fr FRA,GK,Lille
13090.0,Grégory Campi,/en/players/b95a54e7/Gregory-Campi,Gregory-Campi,b95a54e7, MCO,MF,Lille
13091.0,Geoffrey Dernis,/en/players/1a50eab9/Geoffrey-Dernis,Geoffrey-Derni,1a50eab9,fr FRA,"FW,MF",Lille
13092.0,Nicolas Plestan,/en/players/a370441f/Nicolas-Plestan,Nicolas-Plest,370441f,fr FRA,DF,Lille
13093.0,Youssef Sofiane,/en/players/e06fbcaa/Youssef-Sofiane,Youssef-Sofi,06fbcaa,fr FRA,FW,Lille
13094.0,Ali Lukunku,/en/players/edd34bda/Ali-Lukunku,Ali-Lukunku,dd34bda,cd COD,FW,Lille
13095.0,Milivoje Vitakić,/en/players/d04392c7/Milivoje-Vitakic,Milivoje-Vitakic,d04392c7,rs SRB,"DF,MF",Lille
13096.0,Benoît Angbwa,/en/players/234e6ee4/Benoit-Angbwa,Benoit-Angbw,234e6ee4,cm CMR,DF,Lille
13097.0,Daniel Gygax,/en/players/7c0c8464/Daniel-Gygax,Daniel-Gygax,7c0c8464,ch SUI,"FW,MF",Lille
13098.0,Hicham Aboucherouane,/en/players/b367a7e7/Hicham-Aboucherouane,Hicham-Aboucherou,b367a7e7,ma MAR,"FW,MF",Lille
13099.0,Peter Franquart,/en/players/cbc75a76/Peter-Franquart,Peter-Franquart,cbc75a76,fr FRA,DF,Lille
13100.0,Larsen Touré,/en/players/db30e7db/Larsen-Toure,Larsen-Tou,db30e7db,gn GUI,"FW,MF",Lille
13101.0,Flavien Le Postollec,/en/players/38f251ab/Flavien-Le-Postollec,Flavien-Le-Postollec,38f251ab,fr FRA,MF,Lille
13102.0,Souleymane Youla,/en/players/c6b1ad3f/Souleymane-Youla,Souleymane-You,c6b1ad3f,gn GUI,FW,Lille
13103.0,Emerson,/en/players/cb52817d/Emerson,Emerso,cb52817d,br BRA,DF,Lille
13104.0,Henri Ewane-Elong,/en/players/53eebc84/Henri-Ewane-Elong,Henri-Ewane-Elong,53eebc84,cm CMR,MF,Lille
13105.0,Chris Makiese,/en/players/eb59cc9e/Chris-Makiese,Chris-Maki,b59cc9e,fr FRA,FW,Lille
13106.0,﻿Franck Béria,/en/players/c4d64855/Franck-Beria,Franck-Beri,c4d64855,fr FRA,DF,Lille
13107.0,Aurélien Chedjou,/en/players/80e4c841/Aurelien-Chedjou,Aurelien-Chedjou,80e4c841,cm CMR,DF,Lille
13108.0,Luis Yanes,/en/players/89934724/Luis-Yanes,Luis-Y,89934724,co COL,FW,Lille
13109.0,Emra Tahirović,/en/players/ef32b06b/Emra-Tahirovic,Emra-Tahirovic,f32b06b,se SWE,FW,Lille
13110.0,Marko Marić,/en/players/34aa452a/Marko-Maric,Marko-Maric,34aa452a,hr CRO,MF,Lille
13111.0,Badis Lebbihi,/en/players/29f1d2f2/Badis-Lebbihi,Badis-Lebbihi,29f1d2f2,dz ALG,DF,Lille
13112.0,Samuel Robail,/en/players/33c04a43/Samuel-Robail,Samuel-Robai,33c04a43,fr FRA,MF,Lille
13113.0,Jerry Vandam,/en/players/7ebc1f64/Jerry-Vandam,Jerry-Vandam,7ebc1f64,fr FRA,DF,Lille
13114.0,Róbert Vittek,/en/players/840573e7/Robert-Vittek,Robert-Vittek,8.41E+12,sk SVK,FW,Lille
13115.0,Emil Lyng,/en/players/4afcad8a/Emil-Lyng,Emil-Lyng,4afcad8a,dk DEN,"FW,MF",Lille
13116.0,Moussa Sow,/en/players/663fc476/Moussa-Sow,Moussa-Sow,663fc476,sn SEN,"FW,MF",Lille
13117.0,Omar Wade,/en/players/373791ff/Omar-Wade,Omar-Wad,373791ff,sn SEN,FW,Lille
13118.0,Marko Baša,/en/players/f170b78c/Marko-Basa,Marko-B,f170b78c,me MNE,DF,Lille
13119.0,Gianni Bruno,/en/players/6f919f5a/Gianni-Bruno,Gianni-Bruno,6f919f5a,be BEL,"FW,MF",Lille
13120.0,Steeve Elana,/en/players/57c09a1b/Steeve-Elana,Steeve-E,57c09a1b,gn GUI,GK,Lille
13121.0,Ryan Mendes,/en/players/ba6e01ab/Ryan-Mendes,Ryan-Mend,ba6e01ab,cv CPV,"FW,MF",Lille
13122.0,Barel Mouko,/en/players/4c12c62d/Barel-Mouko,Barel-Mouko,4c12c62d,cg CGO,GK,Lille
13123.0,﻿Vincent Enyeama,/en/players/62156b6a/Vincent-Enyeama,Vincent-Enyeam,62156b6a,ng NGA,GK,Lille
13124.0,Jonathan Delaplace,/en/players/79685569/Jonathan-Delaplace,Jonathan-Delaplac,79685569,fr FRA,"DF,MF",Lille
13125.0,Adama Soumaoro,/en/players/7b075c75/Adama-Soumaoro,Adama-Soumaoro,7b075c75,fr FRA,DF,Lille
