2005-2006,Liverpool
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Jamie Carragher,eng ENG,"DF,MF",36,36,2,0,"3,240",36.0,5,0,/en/players/d0ebce19/Jamie-Carragher,d0ebce19,Jamie-Carragh
Sami Hyypiä,fi FIN,DF,36,35,1,1,"3,093",34.4,3,0,/en/players/087b932d/Sami-Hyypia,087b932d,Sami-Hyypi
Pepe Reina,es ESP,GK,33,33,0,0,"2,962",32.9,0,1,/en/players/e358587b/Pepe-Reina,358587b,Pepe-Rei
Steve Finnan,ie IRL,DF,33,33,3,0,"2,931",32.6,2,0,/en/players/5596a89f/Steve-Finnan,5596a89f,Steve-Fi
Steven Gerrard,eng ENG,MF,32,32,5,10,"2,721",30.2,4,1,/en/players/caeb5442/Steven-Gerrard,caeb5442,Steven-Gerrard
Xabi Alonso,es ESP,MF,35,29,7,3,"2,571",28.6,7,1,/en/players/dc001a06/Xabi-Alonso,dc001a06,Xabi-Alonso
Peter Crouch,eng ENG,FW,32,27,5,8,"2,125",23.6,4,0,/en/players/73d9bdc7/Peter-Crouch,73d9bdc7,Peter-Crouch
John Arne Riise,no NOR,"DF,MF",32,24,1,1,"2,264",25.2,0,0,/en/players/9bf988c2/John-Arne-Riise,9bf988c2,John-Arne-Rii
Harry Kewell,au AUS,"FW,MF",27,22,3,3,"2,010",22.3,2,0,/en/players/51ef13b9/Harry-Kewell,51ef13b9,Harry-Kew
Mohamed Sissoko,ml MLI,MF,26,21,1,0,"1,955",21.7,9,1,/en/players/2c1a819e/Mohamed-Sissoko,2c1a819e,Mohamed-Sissoko
Fernando Morientes,es ESP,FW,28,20,5,5,"1,820",20.2,1,0,/en/players/bceebb25/Fernando-Morientes,bceebb25,Fernando-Morient
Djibril Cissé,fr FRA,FW,33,19,1,9,"1,718",19.1,3,0,/en/players/7e6917be/Djibril-Cisse,7e6917be,Djibril-Ci
Luis García,es ESP,MF,31,15,3,7,"1,580",17.6,4,1,/en/players/a5c8d2b7/Luis-Garcia,5c8d2b7,Luis-Garci
Stephen Warnock,eng ENG,DF,20,15,0,1,"1,315",14.6,1,0,/en/players/07869028/Stephen-Warnock,07869028,Stephen-Warnock
Dietmar Hamann,de GER,MF,17,13,1,0,"1,147",12.7,1,0,/en/players/01c05efb/Dietmar-Hamann,01c05efb,Dietmar-Ham
Djimi Traoré,ml MLI,DF,15,9,0,0,812,9.0,1,0,/en/players/b8c992d8/Djimi-Traore,b8c992d8,Djimi-Trao
Robbie Fowler,eng ENG,FW,14,9,1,5,769,8.5,0,0,/en/players/7cd34266/Robbie-Fowler,7cd34266,Robbie-Fow
Jan Kromkamp,nl NED,DF,13,6,1,0,603,6.7,0,0,/en/players/3c970929/Jan-Kromkamp,3c970929,Jan-Kromkam
Boudewijn Zenden,nl NED,"DF,FW",7,5,0,2,451,5.0,0,0,/en/players/4e27a622/Boudewijn-Zenden,4e27a622,Boudewijn-Zend
Jerzy Dudek,pl POL,GK,5,5,0,0,450,5.0,1,0,/en/players/1064659d/Jerzy-Dudek,1064659d,Jerzy-Dudek
Daniel Agger,dk DEN,DF,4,4,0,0,360,4.0,1,0,/en/players/f1ea4af0/Daniel-Agger,f1ea4af0,Daniel-Agg
Josemi,es ESP,DF,6,3,0,0,262,2.9,1,0,/en/players/e85dd0fc/Josemi,85dd0fc,Josemi
